Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Formula	Mode	Group1	Group2	p	q	sType	Metric
Trt	5	2.97275123197282	0.594550246394564	6.14160915327015	0.375329301701258	0.001	'Trt + rstc_run'	General					FL	bray_curtis
rstc_run	1	0.978546610434985	0.978546610434985	10.1082303068472	0.123547914815919	0.001	'Trt + rstc_run'	General					FL	bray_curtis
Trt	1	1.66027882157657	1.66027882157657	16.2736643776724	0.498831665649733		'Trt + rstc_run'	Pairwise	FV1	AT	0.001	0.004285714285714286	FL	bray_curtis
Trt	1	0.126219846172106	0.126219846172106	1.63195423505652	0.0814232880512747		'Trt + rstc_run'	Pairwise	FV1	AN2	0.18	0.20769230769230768	FL	bray_curtis
Trt	1	0.166130562333859	0.166130562333859	2.56734608942552	0.0949353312069945		'Trt + rstc_run'	Pairwise	FV1	TMR	0.061	0.0915	FL	bray_curtis
Trt	1	0.106339572748248	0.106339572748248	1.5652227325636	0.0717760686642423		'Trt + rstc_run'	Pairwise	FV1	FV2	0.189	0.21	FL	bray_curtis
Trt	1	0.163140947193214	0.163140947193214	2.03388125057523	0.086229894382274		'Trt + rstc_run'	Pairwise	FV1	AN1	0.129	0.16125	FL	bray_curtis
Trt	1	1.42473298185219	1.42473298185219	12.7053190388045	0.459494812845214		'Trt + rstc_run'	Pairwise	AT	AN2	0.001	0.004285714285714286	FL	bray_curtis
Trt	1	1.56129992322234	1.56129992322234	13.8550154688986	0.459601631965932		'Trt + rstc_run'	Pairwise	AT	TMR	0.001	0.004285714285714286	FL	bray_curtis
Trt	1	1.43735934271058	1.43735934271058	13.7228573545129	0.469030165043417		'Trt + rstc_run'	Pairwise	AT	FV2	0.001	0.004285714285714286	FL	bray_curtis
Trt	1	1.50480126541161	1.50480126541161	12.4514785950051	0.431724460352456		'Trt + rstc_run'	Pairwise	AT	AN1	0.001	0.004285714285714286	FL	bray_curtis
Trt	1	0.0112841006082585	0.0112841006082585	0.118153600847468	0.0070395864922697		'Trt + rstc_run'	Pairwise	AN2	TMR	0.97	0.97	FL	bray_curtis
Trt	1	0.153123294579168	0.153123294579168	1.86666159881391	0.0996771914272535		'Trt + rstc_run'	Pairwise	AN2	FV2	0.159	0.1908	FL	bray_curtis
Trt	1	0.0889870488815847	0.0889870488815847	0.93456518782041	0.0487429814288937		'Trt + rstc_run'	Pairwise	AN2	AN1	0.431	0.4458620689655172	FL	bray_curtis
Trt	1	0.190619234222391	0.190619234222391	2.23088350769552	0.109959382148066		'Trt + rstc_run'	Pairwise	TMR	FV2	0.078	0.11142857142857143	FL	bray_curtis
Trt	1	0.102620335629659	0.102620335629659	1.0991577499503	0.0513326030490847		'Trt + rstc_run'	Pairwise	TMR	AN1	0.368	0.3942857142857143	FL	bray_curtis
Trt	1	0.22131641877668	0.22131641877668	2.51518376149208	0.115919485968254		'Trt + rstc_run'	Pairwise	FV2	AN1	0.054	0.08526315789473685	FL	bray_curtis
Trt	5	2.1408006275854	0.42816012551708	4.24276328792845	0.311586256691653	0.001	'Trt + rstc_run'	General					FR	bray_curtis
rstc_run	1	0.89506607683055	0.89506607683055	8.86947023957584	0.130273825959157	0.001	'Trt + rstc_run'	General					FR	bray_curtis
Trt	1	0.101279530577326	0.101279530577326	1.14128897727983	0.0610446868482398		'Trt + rstc_run'	Pairwise	AN2	AN1	0.311	0.34555555555555556	FR	bray_curtis
Trt	1	0.0618723838383035	0.0618723838383035	0.642729699269679	0.0357190920803732		'Trt + rstc_run'	Pairwise	AN2	FV1	0.653	0.6755172413793104	FR	bray_curtis
Trt	1	0.357145645849435	0.357145645849435	4.44900278695077	0.197332020209092		'Trt + rstc_run'	Pairwise	AN2	FV2	0.008	0.015000000000000001	FR	bray_curtis
Trt	1	1.01671166731616	1.01671166731616	9.21421499543154	0.406936845331913		'Trt + rstc_run'	Pairwise	AN2	AT	0.001	0.004285714285714286	FR	bray_curtis
Trt	1	0.0537024774990928	0.0537024774990928	0.517483508744754	0.0309139341167441		'Trt + rstc_run'	Pairwise	AN2	TMR	0.77	0.77	FR	bray_curtis
Trt	1	0.201694354230068	0.201694354230068	1.9822582632931	0.107758177442163		'Trt + rstc_run'	Pairwise	AN1	FV1	0.105	0.13124999999999998	FR	bray_curtis
Trt	1	0.577884138145263	0.577884138145263	7.15434879447358	0.284626290358584		'Trt + rstc_run'	Pairwise	AN1	FV2	0.003	0.01	FR	bray_curtis
Trt	1	1.09010492582215	1.09010492582215	9.97302028672806	0.423908073988086		'Trt + rstc_run'	Pairwise	AN1	AT	0.001	0.004285714285714286	FR	bray_curtis
Trt	1	0.185122668205248	0.185122668205248	1.77988212147328	0.0990863277666631		'Trt + rstc_run'	Pairwise	AN1	TMR	0.122	0.1464	FR	bray_curtis
Trt	1	0.153414156675255	0.153414156675255	1.72966889098184	0.0892798213289441		'Trt + rstc_run'	Pairwise	FV1	FV2	0.155	0.17884615384615385	FR	bray_curtis
