Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Formula	Mode	Group1	Group2	p	q	sType	Metric
Trt	5	1.8513831630995	0.370276632619901	3.21673272793261	0.196048325419911	0.001	'Trt + rstc_run'	General					FL	bray_curtis
rstc_run	1	2.87262968568528	2.87262968568528	24.9556172632157	0.304191077598049	0.001	'Trt + rstc_run'	General					FL	bray_curtis
Trt	1	0.607906267894459	0.607906267894459	4.69090835833137	0.184062441700491		'Trt + rstc_run'	Pairwise	TMR	AT	0.002	0.003	FL	bray_curtis
Trt	1	0.266076403226402	0.266076403226402	2.61942876686397	0.0865163203364598		'Trt + rstc_run'	Pairwise	TMR	AN2	0.057	0.0684	FL	bray_curtis
Trt	1	0.304518358881576	0.304518358881576	2.92728076956366	0.108552979564794		'Trt + rstc_run'	Pairwise	TMR	FV1	0.01	0.014285714285714287	FL	bray_curtis
Trt	1	0.275613862346975	0.275613862346975	2.45718223693311	0.0900555316649126		'Trt + rstc_run'	Pairwise	TMR	FV2	0.052	0.06499999999999999	FL	bray_curtis
Trt	1	0.268306306169586	0.268306306169586	2.48056749901604	0.0938868367094658		'Trt + rstc_run'	Pairwise	TMR	AN1	0.04	0.05217391304347826	FL	bray_curtis
Trt	1	0.71968259511185	0.71968259511185	6.15055700757231	0.216101254545561		'Trt + rstc_run'	Pairwise	AT	AN2	0.001	0.0015789473684210528	FL	bray_curtis
Trt	1	0.664203439289991	0.664203439289991	5.68052155057798	0.223925147001966		'Trt + rstc_run'	Pairwise	AT	FV1	0.001	0.0015789473684210528	FL	bray_curtis
Trt	1	0.669480912807106	0.669480912807106	5.07432299794229	0.205639546145867		'Trt + rstc_run'	Pairwise	AT	FV2	0.001	0.0015789473684210528	FL	bray_curtis
Trt	1	0.637474740573755	0.637474740573755	5.14232870271935	0.210514136656626		'Trt + rstc_run'	Pairwise	AT	AN1	0.001	0.0015789473684210528	FL	bray_curtis
Trt	1	0.267759342527611	0.267759342527611	2.77880740298093	0.0997501257462134		'Trt + rstc_run'	Pairwise	AN2	FV1	0.026	0.035454545454545454	FL	bray_curtis
Trt	1	0.213444902802039	0.213444902802039	2.0482514102777	0.07324486968231		'Trt + rstc_run'	Pairwise	AN2	FV2	0.106	0.11777777777777777	FL	bray_curtis
Trt	1	0.200431252234918	0.200431252234918	1.97688848010833	0.074077507582071		'Trt + rstc_run'	Pairwise	AN2	AN1	0.103	0.11777777777777777	FL	bray_curtis
Trt	1	0.149740519455028	0.149740519455028	1.62419778694797	0.0589115630829896		'Trt + rstc_run'	Pairwise	FV1	FV2	0.133	0.14250000000000002	FL	bray_curtis
Trt	1	0.131838817309805	0.131838817309805	1.51813133433357	0.0566204699173822		'Trt + rstc_run'	Pairwise	FV1	AN1	0.138	0.1427586206896552	FL	bray_curtis
Trt	1	0.177671768667412	0.177671768667412	1.74593940211941	0.0668330960326821		'Trt + rstc_run'	Pairwise	FV2	AN1	0.158	0.158	FL	bray_curtis
