	id	Trt	LFC	qval	sType	Domain
22	631269ab9cbf2bd5bd0495edc4d90dd5	AN1	-0.5413890203552865	0.0012533904999729	FL	Archaea
23	018d29a002e68c0e3f2a5961567395ca	AN1	0.7677434229381125	0.0009623675506640876	FL	Archaea
27	9a99f8d6fc17c10857a85423778f0021	AN1	-0.7032342863159828	0.00014243703109851269	FL	Archaea
35	a60168264ec100a5b565b13c6ae75315	AN1	-0.6499241069226411	0.00012832999151126046	FL	Archaea
48	9a99f8d6fc17c10857a85423778f0021	AN2	-0.4709591114086452	0.0343328662300693	FL	Archaea
56	a60168264ec100a5b565b13c6ae75315	AN2	-0.5223803799707015	0.0237193090497864	FL	Archaea
64	631269ab9cbf2bd5bd0495edc4d90dd5	AT	-1.2109812237412338	0.019857247693723	FL	Archaea
67	9af52a9758c50a5a0cdfc9eb06d55d6f	AT	3.173756833542712	0.001040958687236	FL	Archaea
68	6b9f5b5a093f302fa3b606bd48968cc0	AT	4.414540637785453	3.340933157083193e-15	FL	Archaea
69	9a99f8d6fc17c10857a85423778f0021	AT	-1.263680601772763	3.302248266758852e-05	FL	Archaea
77	a60168264ec100a5b565b13c6ae75315	AT	1.6233425732134037	1.7339188744728523e-16	FL	Archaea
79	37c03b396436fff90b9707c1892c3990	AT	-1.2134354535723908	0.0275168820146868	FL	Archaea
80	c795ee00534258677d0fb6e390f08c1d	AT	2.9130525078537723	1.0915912386422124e-06	FL	Archaea
82	898c387af1af6f5578d717b5d09aa6e2	AT	2.984052491565202	1.4072372794368308e-14	FL	Archaea
94	e3d026061d084107a6d9c7abafa067cb	FV1	1.0334835406426208	0.0138084851902821	FL	Archaea
95	00e24896b791b0cf9bf1f48f89abd5fc	FV1	0.7047019243494981	0.0022924422205481	FL	Archaea
111	9a99f8d6fc17c10857a85423778f0021	FV2	-0.4674702315975224	0.00630361224633	FL	Archaea
115	e3d026061d084107a6d9c7abafa067cb	FV2	0.9227262925725016	0.0365141156082228	FL	Archaea
27	018d29a002e68c0e3f2a5961567395ca	AN1	1.0245685914844969	8.30738909571447e-05	FR	Archaea
34	23a3c9b6f70376eadf564b74d5bdf3c7	AN1	1.1231521072283948	0.0287784470684734	FR	Archaea
39	a86a104c488483155f1a146cb2454b8f	AN1	0.993165123652486	0.0005391183427833721	FR	Archaea
64	a86a104c488483155f1a146cb2454b8f	AN2	0.9762703700055716	0.00018007683698598894	FR	Archaea
78	8f96f0d1657d2d8bde7b0ef71cd13bba	AT	1.5755788660068877	0.0131506852950189	FR	Archaea
80	9af52a9758c50a5a0cdfc9eb06d55d6f	AT	5.259964719649369	0.00012671648119002616	FR	Archaea
81	6b9f5b5a093f302fa3b606bd48968cc0	AT	4.826786249537187	2.893266992368625e-06	FR	Archaea
85	d2c04c1b40a1b76a7836c93506b59ebe	AT	1.3282525315325473	0.00014129400486278537	FR	Archaea
90	a60168264ec100a5b565b13c6ae75315	AT	2.401028495063992	1.427730318486721e-07	FR	Archaea
94	c795ee00534258677d0fb6e390f08c1d	AT	4.73612040450666	6.930962623029749e-28	FR	Archaea
98	898c387af1af6f5578d717b5d09aa6e2	AT	3.056556635011014	6.874930302238593e-16	FR	Archaea
99	fa29c8518ce1e3142ffee3967b632b9b	AT	1.1895097722849437	0.001987340251482	FR	Archaea
103	8f96f0d1657d2d8bde7b0ef71cd13bba	FV1	1.755363248855036	0.00046447974080503706	FR	Archaea
111	e3d026061d084107a6d9c7abafa067cb	FV1	0.877766755711927	0.022561103750006	FR	Archaea
112	d59ea934d944dda0a94f2ad8a1495fa2	FV1	-2.0736678866511413	0.0311197159904612	FR	Archaea
118	e65f5d1eb6b518385f8e59a0afa2069c	FV1	-3.761766503932788	4.5160818284441455e-06	FR	Archaea
126	631269ab9cbf2bd5bd0495edc4d90dd5	FV2	1.0925297962823528	6.361967545305665e-06	FR	Archaea
127	018d29a002e68c0e3f2a5961567395ca	FV2	1.0427885073581025	0.0206733277649665	FR	Archaea
128	8f96f0d1657d2d8bde7b0ef71cd13bba	FV2	2.235600553099492	8.958637092249737e-08	FR	Archaea
129	20c6cd15985d1947c8242d29e42feaeb	FV2	0.9468378907369308	0.0281409055494996	FR	Archaea
131	6b9f5b5a093f302fa3b606bd48968cc0	FV2	1.5623135084190414	1.3447680830205072e-12	FR	Archaea
135	d2c04c1b40a1b76a7836c93506b59ebe	FV2	0.9731424746578003	0.00040601868627360485	FR	Archaea
136	e3d026061d084107a6d9c7abafa067cb	FV2	1.851909569179424	1.3954906678018759e-09	FR	Archaea
139	a86a104c488483155f1a146cb2454b8f	FV2	1.2103836562184207	8.402323274707096e-05	FR	Archaea
140	a60168264ec100a5b565b13c6ae75315	FV2	0.6350369918136024	0.015474967006286	FR	Archaea
