ID1	ID2	Distance	ID1_Trt	ID2_Trt	ID1_sType	ID2_sType
101s	101s	0.0	AT	AT	FR	FR
102s	101s	0.1107761868877166	AT	AT	FR	FR
103s	101s	0.6623963828183873	FV1	AT	FR	FR
104s	101s	0.6194423511680482	FV1	AT	FR	FR
105s	101s	0.7792012057272042	FV1	AT	FR	FR
106s	101s	0.7852298417483045	FV1	AT	FR	FR
107s	101s	0.7807083647324793	FV2	AT	FR	FR
108s	101s	0.5252449133383572	FV2	AT	FR	FR
109s	101s	0.7596081386586285	FV2	AT	FR	FR
10s	101s	0.7633760361718162	TMR	AT	FR	FR
110s	101s	0.7505651846269782	FV2	AT	FR	FR
11s	101s	0.7829691032403918	TMR	AT	FR	FR
123s	101s	0.6232102486812359	TMR	AT	FL	FR
124s	101s	0.6480783722682742	TMR	AT	FL	FR
125s	101s	0.6503391107761869	AN1	AT	FL	FR
126s	101s	0.7234363225320272	AN1	AT	FL	FR
127s	101s	0.5486058779201206	AN2	AT	FL	FR
128s	101s	0.6902788244159759	AN2	AT	FL	FR
129s	101s	0.8379804069329314	AT	AT	FL	FR
12s	101s	0.79879427279578	AN1	AT	FR	FR
130s	101s	0.0700828937452901	AT	AT	FL	FR
131s	101s	0.5810097965335342	FV1	AT	FL	FR
132s	101s	0.7407686510926903	FV1	AT	FL	FR
133s	101s	0.5810097965335342	FV2	AT	FL	FR
134s	101s	0.6737000753579503	FV2	AT	FL	FR
13s	101s	0.7121326299924642	AN1	AT	FR	FR
147s	101s	0.6292388847023361	TMR	AT	FL	FR
148s	101s	0.6608892238131123	TMR	AT	FL	FR
149s	101s	0.6669178598342125	AN1	AT	FL	FR
14s	101s	0.7852298417483045	AN1	AT	FR	FR
150s	101s	0.7309721175584024	AN1	AT	FL	FR
151s	101s	0.5086661642803316	AN2	AT	FL	FR
152s	101s	0.7211755840241145	AN2	AT	FL	FR
153s	101s	0.7287113790504898	AT	AT	FL	FR
154s	101s	0.0904295403165034	AT	AT	FL	FR
155s	101s	0.6013564431047476	FV1	AT	FL	FR
156s	101s	0.7543330821401658	FV1	AT	FL	FR
157s	101s	0.5154483798040693	FV2	AT	FL	FR
158s	101s	0.6902788244159759	FV2	AT	FL	FR
15s	101s	0.8025621703089676	AN1	AT	FR	FR
16s	101s	0.8070836473247928	AN2	AT	FR	FR
17s	101s	0.8681235870384325	AN2	AT	FR	FR
18s	101s	0.7354935945742276	AN2	AT	FR	FR
