ID1	ID2	Distance	ID1_Trt	ID2_Trt	ID1_sType	ID2_sType
100s	100s	0.0	AT	AT	FR	FR
101s	100s	0.4866018496561536	AT	AT	FR	FR
102s	100s	0.3660184965615366	AT	AT	FR	FR
103s	100s	0.4320607066635049	FV1	AT	FR	FR
104s	100s	0.3327009722551577	FV1	AT	FR	FR
105s	100s	0.4952572919136827	FV1	AT	FR	FR
106s	100s	0.4314678681527152	FV1	AT	FR	FR
107s	100s	0.4908702869338392	FV2	AT	FR	FR
108s	100s	0.3571259188996917	FV2	AT	FR	FR
109s	100s	0.4710694806734645	FV2	AT	FR	FR
10s	100s	0.5149395304718994	TMR	AT	FR	FR
110s	100s	0.4095328432534977	FV2	AT	FR	FR
11s	100s	0.6284088214370406	TMR	AT	FR	FR
123s	100s	0.903841593549917	TMR	AT	FL	FR
124s	100s	0.8797723500118567	TMR	AT	FL	FR
125s	100s	0.7952335783732511	AN1	AT	FL	FR
126s	100s	0.8705240692435381	AN1	AT	FL	FR
127s	100s	0.8771638605643822	AN2	AT	FL	FR
128s	100s	0.9202039364477116	AN2	AT	FL	FR
129s	100s	0.5758833293810766	AT	AT	FL	FR
12s	100s	0.4634811477353568	AN1	AT	FR	FR
130s	100s	0.8503675598766895	AT	AT	FL	FR
131s	100s	0.725515769504387	FV1	AT	FL	FR
132s	100s	0.8201327958264168	FV1	AT	FL	FR
133s	100s	0.8362580033198956	FV2	AT	FL	FR
134s	100s	0.8564145126867442	FV2	AT	FL	FR
13s	100s	0.5954470002371354	AN1	AT	FR	FR
147s	100s	0.7520749347877638	TMR	AT	FL	FR
148s	100s	0.7450794403604458	TMR	AT	FL	FR
149s	100s	0.7197059520986483	AN1	AT	FL	FR
14s	100s	0.50687692672516	AN1	AT	FR	FR
150s	100s	0.7110505098411193	AN1	AT	FL	FR
151s	100s	0.872421152478065	AN2	AT	FL	FR
152s	100s	0.8594972729428504	AN2	AT	FL	FR
153s	100s	0.7596632677258714	AT	AT	FL	FR
154s	100s	0.7242115247806498	AT	AT	FL	FR
155s	100s	0.7236186862698601	FV1	AT	FL	FR
156s	100s	0.7659473559402419	FV1	AT	FL	FR
157s	100s	0.7370168366137064	FV2	AT	FL	FR
158s	100s	0.767488736068295	FV2	AT	FL	FR
15s	100s	0.5940241878112402	AN1	AT	FR	FR
16s	100s	0.4502015650936685	AN2	AT	FR	FR
17s	100s	0.561062366611335	AN2	AT	FR	FR
18s	100s	0.4984586198719469	AN2	AT	FR	FR
19s	100s	0.6624377519563671	AN2	AT	FR	FR
1s	100s	0.9777092719943088	NoT	AT	RSP	FR
20s	100s	0.4271994308750296	AT	AT	FR	FR
21s	100s	0.5571496324401233	AT	AT	FR	FR
22s	100s	0.4747450794403604	AT	AT	FR	FR
23s	100s	0.561180934313493	AT	AT	FR	FR
24s	100s	0.4854161726345743	FV1	AT	FR	FR
25s	100s	0.5374673938819066	FV1	AT	FR	FR
27s	100s	0.6223618686269861	FV1	AT	FR	FR
28s	100s	0.4159354991700261	FV2	AT	FR	FR
29s	100s	0.5903485890443443	FV2	AT	FR	FR
2s	100s	0.9841119279108372	NoT	AT	RSP	FR
30s	100s	0.5397201802229072	FV2	AT	FR	FR
31s	100s	0.6522409295707849	FV2	AT	FR	FR
3s	100s	0.9758121887597818	NoT	AT	RSP	FR
