	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	-0.1694075445247835	0.056238017805491605	-3.0123313576006048	0.004427617544085634	-0.2829825252161731	-0.05583256383339384	0.004427617544085634	True
AN2-AN1	-0.153529589722052	0.09740710415607462	-1.5761641930762336	0.12267363666391212	-0.3502472267481931	0.04318804730408907	0.23001306874483524	False
AT-AN1	-0.4130159805793749	0.09740710415607459	-4.240101213948449	0.00012389687754587767	-0.6097336176055159	-0.21629834355323388	0.0018584531631881652	True
FV1-AN1	-0.29539950181609226	0.09740710415607459	-3.032627900966814	0.004192010655913209	-0.4921171388422333	-0.09868186478995125	0.020960053279566043	True
FV2-AN1	-0.17197273076220174	0.09740710415607462	-1.7655050137477777	0.08492580790720014	-0.3686903677883428	0.024744906263939326	0.18198387408685743	False
TMR-AN1	-0.08197612493878549	0.09740710415607456	-0.8415826099032351	0.40490369379867064	-0.27869376196492646	0.11474151208735546	0.46719656976769686	False
AT-AN2	-0.2594863908573229	0.09740710415607459	-2.6639370208722153	0.010990102823715125	-0.4562040278834639	-0.06276875383118188	0.04121288558893172	True
FV1-AN2	-0.14186991209404026	0.09740710415607462	-1.4564637078905789	0.152880512696234	-0.3385875491201813	0.0548477249321008	0.25480085449372336	False
FV2-AN2	-0.01844314104014974	0.09740710415607463	-0.18934082067154406	0.8507599319209128	-0.21516077806629083	0.17827449598599135	0.8507599319209128	False
TMR-AN2	0.0715534647832665	0.0974071041560746	0.7345815831729992	0.466775172473326	-0.12516417224287452	0.26827110180940755	0.5001162562214208	False
FV1-AT	0.11761647876328263	0.09740710415607459	1.2074733129816355	0.23416964370495114	-0.07910115826285838	0.3143341157894236	0.3193222414158425	False
FV2-AT	0.24104324981717315	0.09740710415607459	2.4745962002006707	0.017565876472667972	0.04432561279103214	0.43776088684331416	0.05269762941800392	False
TMR-AT	0.3310398556405894	0.09740710415607459	3.3985186040452144	0.0015192740805765595	0.1343222186144484	0.5277574926667304	0.011394555604324196	True
FV2-FV1	0.12342677105389052	0.09740710415607456	1.2671228872190354	0.21226177215781408	-0.07329086597225043	0.3201444080800315	0.31839265823672114	False
TMR-FV1	0.21342337687730678	0.09740710415607459	2.191045291063579	0.03418774494467977	0.016705739851165774	0.4101410139034478	0.08546936236169943	False
TMR-FV2	0.08999660582341625	0.0974071041560746	0.9239224038445433	0.36093263151247545	-0.10672103120272479	0.28671424284955727	0.4511657893905943	False
