	Feature	KW	Group1	Group2	p	q
0	Methanobacteriaceae (UBA588)	1.0967304097815352e-09	FR	FL	8.09882026517334e-10	4.859292159104005e-09
1	Methanobacteriaceae (UBA588)	1.0967304097815352e-09	FR	RSP	0.0007276399059464372	0.0014552798118928744
2	Methanobacteriaceae (UBA588)	1.0967304097815352e-09	FR	RF	0.0001122524855296722	0.0003367574565890166
3	Methanobacteriaceae (UBA588)	1.0967304097815352e-09	FL	RSP	0.7967116763478316	0.9180112220034751
4	Methanobacteriaceae (UBA588)	1.0967304097815352e-09	FL	RF	0.9180112220034751	0.9180112220034751
5	Methanobacteriaceae (UBA588)	1.0967304097815352e-09	RSP	RF	0.8589549227374772	0.9180112220034751
6	Methanimicrococcus	1.6095929548003598e-09	FR	FL	0.03135226665789931	0.03762271998947917
7	Methanimicrococcus	1.6095929548003598e-09	FR	RSP	1.2249021021895546e-05	2.449804204379109e-05
8	Methanimicrococcus	1.6095929548003598e-09	FR	RF	2.4338841542577564e-06	1.3255093714413243e-05
9	Methanimicrococcus	1.6095929548003598e-09	FL	RSP	1.9208048734965634e-05	2.8812073102448453e-05
10	Methanimicrococcus	1.6095929548003598e-09	FL	RF	4.418364571471081e-06	1.3255093714413243e-05
11	Methanimicrococcus	1.6095929548003598e-09	RSP	RF	0.41905977908729986	0.41905977908729986
12	Methanomethylophilus	1.4537294528725127e-05	FR	FL	0.0005411952931439228	0.0016235858794317686
13	Methanomethylophilus	1.4537294528725127e-05	FR	RSP	0.006766417045471844	0.010149625568207766
14	Methanomethylophilus	1.4537294528725127e-05	FR	RF	0.11614344287756016	0.1393721314530722
15	Methanomethylophilus	1.4537294528725127e-05	FL	RSP	3.40716162169037e-05	0.00020442969730142223
16	Methanomethylophilus	1.4537294528725127e-05	FL	RF	0.5783570174370836	0.5783570174370836
17	Methanomethylophilus	1.4537294528725127e-05	RSP	RF	0.0033664910799455897	0.0067329821598911795
18	Methanobrevibacter (B)	4.914647526830211e-08	FR	FL	9.918782256179232e-05	0.00029756346768537695
19	Methanobrevibacter (B)	4.914647526830211e-08	FR	RSP	0.3197694579071061	0.3197694579071061
20	Methanobrevibacter (B)	4.914647526830211e-08	FR	RF	0.0005143408549811056	0.0007715112824716585
21	Methanobrevibacter (B)	4.914647526830211e-08	FL	RSP	0.007910687364596736	0.009492824837516083
22	Methanobrevibacter (B)	4.914647526830211e-08	FL	RF	7.154446431839621e-07	4.292667859103773e-06
23	Methanobrevibacter (B)	4.914647526830211e-08	RSP	RF	0.0003792846815829484	0.0007585693631658968
24	Methanobrevibacter	1.2597949402608963e-07	FR	FL	0.43747520653429117	0.43747520653429117
25	Methanobrevibacter	1.2597949402608963e-07	FR	RSP	9.758994568904637e-06	3.2184193301610594e-05
26	Methanobrevibacter	1.2597949402608963e-07	FR	RF	0.00019032342048499808	0.0003435166639000239
27	Methanobrevibacter	1.2597949402608963e-07	FL	RSP	1.0728064433870197e-05	3.2184193301610594e-05
28	Methanobrevibacter	1.2597949402608963e-07	FL	RF	0.00022901110926668258	0.0003435166639000239
29	Methanobrevibacter	1.2597949402608963e-07	RSP	RF	0.0003792846815829484	0.00045514161789953807
30	Methanomicrobium	1.7938528462762689e-09	FR	FL	0.04398925990726681	0.05278711188872017
31	Methanomicrobium	1.7938528462762689e-09	FR	RSP	1.9253679656868217e-05	3.8507359313736434e-05
32	Methanomicrobium	1.7938528462762689e-09	FR	RF	1.018237715574017e-06	6.109426293444103e-06
33	Methanomicrobium	1.7938528462762689e-09	FL	RSP	6.230556574111785e-05	9.345834861167677e-05
34	Methanomicrobium	1.7938528462762689e-09	FL	RF	2.688252767566068e-06	8.064758302698204e-06
35	Methanomicrobium	1.7938528462762689e-09	RSP	RF	0.37425931928022627	0.37425931928022627
36	Methanomethylophilaceae (UBA71)	1.0844642665567175e-12	FR	FL	4.806888253028757e-08	2.8841329518172543e-07
37	Methanomethylophilaceae (UBA71)	1.0844642665567175e-12	FR	RSP	0.001603109652672496	0.0019237315832069952
38	Methanomethylophilaceae (UBA71)	1.0844642665567175e-12	FR	RF	9.379761621561778e-05	0.00014069642432342668
39	Methanomethylophilaceae (UBA71)	1.0844642665567175e-12	FL	RSP	8.635836840866457e-06	1.7271673681732915e-05
40	Methanomethylophilaceae (UBA71)	1.0844642665567175e-12	FL	RF	7.79937369480751e-07	2.339812108442253e-06
41	Methanomethylophilaceae (UBA71)	1.0844642665567175e-12	RSP	RF	0.4771966199887694	0.4771966199887694
42	Methanobrevibacter (A)	1.9350044659361927e-08	FR	FL	0.017524344262140026	0.02102921311456803
43	Methanobrevibacter (A)	1.9350044659361927e-08	FR	RSP	0.004992650613175456	0.007488975919763184
44	Methanobrevibacter (A)	1.9350044659361927e-08	FR	RF	0.00011225248552967039	0.00022450497105934078
45	Methanobrevibacter (A)	1.9350044659361927e-08	FL	RSP	1.1947774388624767e-05	3.5843323165874305e-05
46	Methanobrevibacter (A)	1.9350044659361927e-08	FL	RF	7.79937369480751e-07	4.679624216884506e-06
47	Methanobrevibacter (A)	1.9350044659361927e-08	RSP	RF	0.09137393673644552	0.09137393673644552
