	sType	Feature	KW	Group1	Group2	p	q
0	FL	Lachnospiraceae	0.04971166160858662	TMR	AN1	0.8336348830246775	0.8336348830246775
1	FL	Lachnospiraceae	0.04971166160858662	TMR	AN2	0.6744240722352912	0.8336348830246775
2	FL	Lachnospiraceae	0.04971166160858662	TMR	AT	0.6744240722352912	0.8336348830246775
3	FL	Lachnospiraceae	0.04971166160858662	TMR	FV1	0.3445623653256964	0.6460544349856807
4	FL	Lachnospiraceae	0.04971166160858662	TMR	FV2	0.2075784423356198	0.44481094786204245
5	FL	Lachnospiraceae	0.04971166160858662	AN1	AN2	0.17216723606659268	0.4304180901664817
6	FL	Lachnospiraceae	0.04971166160858662	AN1	AT	0.6744240722352912	0.8336348830246775
7	FL	Lachnospiraceae	0.04971166160858662	AN1	FV1	0.528612125255687	0.8336348830246775
8	FL	Lachnospiraceae	0.04971166160858662	AN1	FV2	0.011718685599768571	0.05859342799884285
9	FL	Lachnospiraceae	0.04971166160858662	AN2	AT	0.141482121482789	0.424446364448367
10	FL	Lachnospiraceae	0.04971166160858662	AN2	FV1	0.05870740843120496	0.22015278161701862
11	FL	Lachnospiraceae	0.04971166160858662	AN2	FV2	0.75271380626305	0.8336348830246775
12	FL	Lachnospiraceae	0.04971166160858662	AT	FV1	0.8336348830246775	0.8336348830246775
13	FL	Lachnospiraceae	0.04971166160858662	AT	FV2	0.006322947695810918	0.047422107718581887
14	FL	Lachnospiraceae	0.04971166160858662	FV1	FV2	0.004574439456210672	0.047422107718581887
15	FL	Cryptobacteroides	0.018411430067258663	TMR	AN1	0.75271380626305	0.75271380626305
16	FL	Cryptobacteroides	0.018411430067258663	TMR	AN2	0.17216723606659268	0.3228135676248613
17	FL	Cryptobacteroides	0.018411430067258663	TMR	AT	0.004574439456210672	0.043257707669737515
18	FL	Cryptobacteroides	0.018411430067258663	TMR	FV1	0.17216723606659268	0.3228135676248613
19	FL	Cryptobacteroides	0.018411430067258663	TMR	FV2	0.07420341132975534	0.18550852832438836
20	FL	Cryptobacteroides	0.018411430067258663	AN1	AN2	0.4008141693829329	0.5465647764312722
21	FL	Cryptobacteroides	0.018411430067258663	AN1	AT	0.008651541533947503	0.043257707669737515
