SampleID	BS	Day	Day_hour	Trt	Source	rstc_run	Day_num	Fermenter	shannon_Archaea	observed_features_Archaea	evenness_Archaea	shannon_Bacteria	observed_features_Bacteria	evenness_Bacteria	faith_pd_Archaea	faith_pd_Bacteria	POOLED	sType
1s	RSP	d0	-	NoT	C1	rstc_run1	0	-	3.7153228443395374	51.0	0.6718073758585499	10.311256960024288	1887.0	0.9443119370330068	1.384219306991981	126.2794518362932	RSP	RSP
2s	RSP	d0	-	NoT	C2	rstc_run1	0	-	4.040662426753424	48.0	0.7179543765955836	9.786323425888057	1501.0	0.9268775520099874	1.303670015958443	112.3839291190434	RSP	RSP
3s	RSP	d0	-	NoT	C3	rstc_run1	0	-	3.577974382239172	55.0	0.6150952571411922	9.935393544231292	1616.0	0.9340558458840656	2.364130272625705	119.7346230306387	RSP	RSP
4s	RF	d0	-	NoT	C1	rstc_run1	0	-	4.442332737324368	62.0	0.744974418137872	10.034749954845347	1756.0	0.9311898357739596	1.782837214575031	130.1018268994135	RF	RF
5s	RF	d0	-	NoT	C2	rstc_run1	0	-	4.163827920232222	52.0	0.7422596847323761	9.518973645834713	1451.0	0.906270792935609	1.733466898141582	113.3219612581778	RF	RF
6s	RF	d0	-	NoT	C3	rstc_run1	0	-	3.375533143121076	45.0	0.5902524432639664	8.977519338131229	1233.0	0.8735180552860835	1.571198982218616	104.8014913644481	RF	RF
7s	RF	d0	-	NoT	mix	rstc_run1	0	-	4.300271056811213	57.0	0.7282344551442355	9.9206611452914	1697.0	0.9293157591999086	1.60989565627917	128.1982463039365	RF	RF
8s	FR	d13	d13h24	TMR	HP1	rstc_run1	13	b	4.558173562233034	46.0	0.8354303449483056	6.575775013610377	426.0	0.7527757867949484	2.289579740085764	46.11847172235539	FR	FR
9s	FR	d13	d13h48	TMR	HP1	rstc_run1	13	b	4.340595838685114	46.0	0.7785582843163668	6.056586144017264	348.0	0.7106272205055768	2.334537530916899	44.3732510194742	FR	FR
10s	FR	d13	d13h24	TMR	HP2	rstc_run1	13	j	3.086080231703638	41.0	0.5553685530140056	6.139115307519236	323.0	0.7460347951566579	2.252475357093676	41.22340596006605	FR	FR
11s	FR	d13	d13h48	TMR	HP2	rstc_run1	13	j	3.9220644240049625	36.0	0.7636936755919929	6.382635010297562	378.0	0.7417801498306902	2.317335908326449	42.80049701114906	FR	FR
12s	FR	d13	d13h24	AN1	HP1	rstc_run1	13	c	2.266479225264422	35.0	0.4610561858458741	6.269121416154278	379.0	0.7304277211498919	2.096271850461963	41.30150025120878	FR	FR
13s	FR	d13	d13h48	AN1	HP1	rstc_run1	13	c	4.1032907931501645	39.0	0.7758451690668912	6.352356596537706	377.0	0.7439032461739693	2.221352795298221	43.85115128124009	FR	FR
14s	FR	d13	d13h24	AN1	HP2	rstc_run1	13	l	3.579878317288385	40.0	0.6921487441167118	5.9543959500597605	368.0	0.6970339503108898	1.622694654149135	42.27447223770636	FR	FR
15s	FR	d13	d13h48	AN1	HP2	rstc_run1	13	l	3.65971666089126	33.0	0.7385940013781555	5.712243903778603	299.0	0.698327566107678	2.224272715382708	39.0388939926396	FR	FR
16s	FR	d13	d13h24	AN2	HP1	rstc_run1	13	e	3.1369784129674176	36.0	0.5960498024589606	6.530139743589748	460.0	0.7310115602499158	2.098338409754221	47.04905276127647	FR	FR
17s	FR	d13	d13h48	AN2	HP1	rstc_run1	13	e	3.682981814964965	35.0	0.7103335942107982	6.1315620837899	392.0	0.7122332812607924	2.262583237825754	42.01443461543968	FR	FR
18s	FR	d13	d13h24	AN2	HP2	rstc_run1	13	i	3.69078852110908	39.0	0.6850771198275789	6.842633593563968	418.0	0.7862873217863984	2.340784695403271	43.71543070285776	FR	FR
19s	FR	d13	d13h48	AN2	HP2	rstc_run1	13	i	4.097326007355309	42.0	0.7676459957130828	6.432764745570392	350.0	0.7540600496526215	2.223616805495555	43.10932629902045	FR	FR
20s	FR	d13	d13h24	AT	HP1	rstc_run1	13	d				6.779626272631743	382.0	0.7908006551358026		45.28123230531266	FR	FR
21s	FR	d13	d13h48	AT	HP1	rstc_run1	13	d	3.1974050578221367	37.0	0.619963272006813	5.835060723489699	283.0	0.7201982209516481	2.333842673209293	32.83271756298066	FR	FR
22s	FR	d13	d13h24	AT	HP2	rstc_run1	13	g	3.9386378234133503	35.0	0.7706125087323596	6.419635656971217	304.0	0.7791007516604233	2.289475618391068	36.58391374574511	FR	FR
