#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
K19793	531.0	761.0	73.0	115.0	200.0	124.0	442.0	192.0	214.0	154.0	226.0	169.0	137.0	189.0	239.0	143.0	148.0	98.0	228.0	154.0	242.0	291.0	224.0	389.0	124.0	174.0	236.0	168.0	914.0	632.0	268.0	272.0	412.0	418.0	353.0	898.0	357.0	770.0	461.0	1382.0	1280.0	934.0	427.0	427.0	829.0	670.0	303.0	764.0	744.0	1181.0	690.0	524.0
K14941	662.0	583.0	231.0	146.0	436.0	461.0	737.0	510.0	559.0	265.0	1.0	239.0	226.0	424.0	225.0	193.0	375.0	466.0	961.0	572.0	459.0	536.0	0.0	3.0	586.0	371.0	391.0	426.0	0.0	11.0	68.0	193.0	25.0	34.0	90.0	158.0	128.0	153.0	127.0	0.0	1.0	105.0	109.0	98.0	134.0	174.0	118.0	148.0	242.0	127.0	93.0	113.0
K00024	15648.0	15588.0	28422.0	28463.0	7402.0	6791.0	7570.0	6982.0	6585.0	6904.0	9537.0	6870.0	5844.0	6377.0	5617.0	6100.0	5450.0	8075.0	6846.0	5314.0	6039.0	6180.0	12526.0	11036.0	6236.0	6049.0	5710.0	6654.0	7778.0	7974.0	8016.0	6167.0	7063.0	8624.0	6851.0	7851.0	7173.0	7428.0	6639.0	9155.0	7901.0	6827.0	7149.0	6157.0	7532.0	6906.0	7752.0	6763.0	8461.0	10597.0	8182.0	5390.0
K14067	0.0	0.0	19.0	3.0	20.0	12.0	11.0	26.0	30.0	3.0	0.0	0.0	9.0	23.0	5.0	10.0	14.0	53.0	0.0	2.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01499	1185.0	1099.0	260.0	213.0	465.0	340.0	698.0	520.0	499.0	326.0	133.0	415.0	304.0	390.0	346.0	305.0	431.0	419.0	662.0	469.0	416.0	453.0	64.0	161.0	566.0	411.0	456.0	548.0	5.0	27.0	55.0	268.0	53.0	68.0	119.0	182.0	151.0	161.0	141.0	8.0	9.0	174.0	144.0	188.0	149.0	225.0	138.0	151.0	317.0	256.0	138.0	159.0
K00201	2770.0	2812.0	1178.0	796.0	2035.0	1964.0	3347.0	2123.0	2053.0	1055.0	9.0	573.0	845.0	1569.0	709.0	742.0	1582.0	1948.0	3803.0	2112.0	1845.0	1985.0	10.0	17.0	2338.0	1570.0	1395.0	1755.0	0.0	24.0	174.0	867.0	75.0	151.0	331.0	438.0	373.0	432.0	306.0	3.0	3.0	449.0	354.0	347.0	380.0	699.0	367.0	681.0	1003.0	647.0	324.0	397.0
K03841	148.0	96.0	82.0	17.0	662.0	626.0	1132.0	809.0	753.0	415.0	206.0	364.0	411.0	586.0	379.0	331.0	627.0	626.0	1248.0	808.0	675.0	690.0	163.0	216.0	904.0	577.0	438.0	509.0	136.0	90.0	96.0	225.0	47.0	56.0	81.0	189.0	111.0	132.0	107.0	117.0	83.0	126.0	85.0	111.0	161.0	216.0	156.0	249.0	340.0	218.0	108.0	113.0
K06914	1048.0	1009.0	389.0	322.0	650.0	516.0	1009.0	628.0	680.0	338.0	3.0	363.0	273.0	400.0	347.0	254.0	509.0	583.0	1047.0	652.0	604.0	684.0	0.0	6.0	777.0	487.0	560.0	648.0	0.0	6.0	58.0	249.0	28.0	60.0	91.0	153.0	145.0	123.0	123.0	0.0	1.0	120.0	127.0	120.0	114.0	124.0	115.0	149.0	277.0	159.0	101.0	152.0
K17100	0.0	0.0	0.0	30.0	2.0	0.0	4.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K16792	1369.0	1289.0	624.0	417.0	172.0	67.0	52.0	148.0	143.0	223.0	1.0	409.0	161.0	175.0	303.0	219.0	294.0	194.0	239.0	270.0	228.0	295.0	2.0	5.0	235.0	281.0	344.0	317.0	0.0	15.0	44.0	30.0	11.0	43.0	73.0	54.0	134.0	107.0	136.0	0.0	1.0	57.0	147.0	116.0	160.0	9.0	15.0	0.0	13.0	10.0	45.0	112.0
