ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
K00001	2308.0	2711.0	2404.0	1714.0	7576.0	8228.0	9518.0	9450.0	10186.0	8934.0	10851.0	9456.0	10194.0	8243.0	8971.0	12843.0	10295.0	5926.0	11036.0	8133.0	8541.0	7125.0	10544.0	14810.0	10974.0	6690.0	12614.0	7428.0	26943.0	29131.0	25409.0	33863.0	31856.0	23924.0	38748.0	35600.0	34098.0	32438.0	35094.0	35120.0	37789.0	38145.0	30813.0	41247.0	37733.0	26184.0	26162.0	24465.0	26090.0	21463.0	19434.0	30148.0
K00002	1520.0	1558.0	1061.0	1065.0	2163.0	1818.0	2386.0	2072.0	2315.0	2147.0	2354.0	2660.0	2390.0	2197.0	2664.0	2356.0	2354.0	3078.0	3118.0	2659.0	2622.0	2346.0	2863.0	3636.0	3379.0	3044.0	2944.0	2768.0	933.0	1214.0	1640.0	913.0	1615.0	1692.0	5230.0	2579.0	3047.0	2962.0	4853.0	5504.0	3361.0	3987.0	4319.0	3660.0	3602.0	863.0	1642.0	982.0	1091.0	1507.0	1275.0	2847.0
K00003	5343.0	6267.0	2037.0	2421.0	10827.0	11966.0	14232.0	12592.0	14224.0	13539.0	12127.0	13719.0	12614.0	12642.0	12299.0	14989.0	12055.0	12541.0	14033.0	12013.0	12388.0	10906.0	11672.0	14173.0	12651.0	11023.0	10996.0	10890.0	28582.0	27366.0	19599.0	25921.0	22269.0	19690.0	30036.0	22869.0	25829.0	22959.0	25855.0	27034.0	26626.0	24226.0	24407.0	26737.0	23078.0	33916.0	21790.0	22435.0	26473.0	16643.0	18059.0	23853.0
K00004	320.0	363.0	108.0	81.0	697.0	578.0	749.0	550.0	674.0	799.0	1079.0	766.0	745.0	680.0	1032.0	896.0	573.0	561.0	805.0	668.0	712.0	625.0	1687.0	1337.0	752.0	633.0	828.0	691.0	587.0	810.0	1075.0	453.0	716.0	1208.0	1192.0	1725.0	1307.0	1483.0	2139.0	729.0	971.0	1127.0	1480.0	1610.0	1266.0	450.0	1189.0	504.0	498.0	1231.0	1425.0	863.0
K00005	244.0	239.0	66.0	191.0	2459.0	3048.0	3200.0	2829.0	3080.0	2853.0	5583.0	3252.0	2962.0	2278.0	2787.0	3418.0	3263.0	2156.0	2905.0	2664.0	2774.0	2711.0	5125.0	4951.0	2872.0	2714.0	2295.0	2416.0	4511.0	10235.0	8128.0	6307.0	7709.0	8545.0	12550.0	10661.0	10311.0	11265.0	16882.0	14568.0	11671.0	13531.0	13569.0	15034.0	11860.0	3704.0	10080.0	4688.0	4834.0	7390.0	7344.0	9871.0
K00006	56.0	23.0	3.0	11.0	3.0	7.0	1.0	5.0	5.0	11.0	4.0	7.0	3.0	6.0	3.0	4.0	3.0	7.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	1.0	4.0	7.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	15.0	0.0	0.0	1.0	0.0
K00008	2210.0	2655.0	1093.0	1277.0	6649.0	7548.0	7605.0	6960.0	7665.0	8171.0	8780.0	11081.0	7226.0	7002.0	8314.0	8917.0	6358.0	8106.0	8792.0	6429.0	7297.0	6175.0	9683.0	11263.0	6083.0	4921.0	6927.0	7005.0	13117.0	20830.0	9256.0	10966.0	9678.0	10746.0	22879.0	13677.0	16375.0	15440.0	26574.0	21985.0	18452.0	20261.0	21842.0	19171.0	18104.0	13720.0	12551.0	9246.0	7121.0	8583.0	10647.0	15956.0
K00009	513.0	516.0	188.0	158.0	2987.0	3124.0	2754.0	2600.0	2894.0	2526.0	3898.0	3378.0	3765.0	2234.0	2559.0	2483.0	2520.0	2464.0	1596.0	1668.0	2904.0	1934.0	3245.0	5902.0	1898.0	1657.0	1586.0	1426.0	12287.0	11796.0	8836.0	19245.0	11516.0	7946.0	7416.0	4798.0	10213.0	8731.0	5274.0	9642.0	7819.0	6882.0	6158.0	7869.0	4457.0	23501.0	11045.0	15841.0	18288.0	5303.0	9492.0	9815.0
K00010	5000.0	5818.0	2758.0	2912.0	15310.0	14810.0	19624.0	17402.0	19230.0	19778.0	18194.0	21230.0	19604.0	16467.0	19608.0	21443.0	17990.0	20858.0	21202.0	18238.0	20555.0	15652.0	23198.0	25732.0	23108.0	19222.0	23820.0	20990.0	7792.0	10040.0	10915.0	4916.0	9488.0	11086.0	14455.0	13190.0	13024.0	13056.0	16417.0	11717.0	15436.0	13069.0	14454.0	13326.0	14034.0	5590.0	10095.0	4789.0	7736.0	11933.0	9888.0	9586.0
K00011	697.0	823.0	2130.0	1842.0	2152.0	2586.0	1857.0	2070.0	2622.0	1860.0	3341.0	2075.0	2652.0	1639.0	2225.0	2397.0	2334.0	1911.0	1432.0	1609.0	2280.0	1918.0	3354.0	4003.0	1575.0	1362.0	1082.0	883.0	18595.0	14464.0	10389.0	19265.0	13615.0	8939.0	12233.0	5957.0	12526.0	10220.0	10337.0	10767.0	11726.0	9242.0	10501.0	11022.0	7659.0	27027.0	11833.0	16508.0	18524.0	6185.0	10376.0	11146.0
K00012	8802.0	9772.0	14082.0	11217.0	33655.0	34725.0	38790.0	39132.0	36906.0	36839.0	30226.0	33529.0	39800.0	42346.0	43996.0	35586.0	38090.0	40226.0	41843.0	45878.0	37359.0	47621.0	29327.0	30044.0	49141.0	48674.0	42690.0	47160.0	18663.0	26161.0	26560.0	18459.0	25408.0	28508.0	31008.0	25196.0	27551.0	22955.0	34776.0	23371.0	33192.0	23142.0	31248.0	24394.0	23767.0	11756.0	27174.0	17771.0	19686.0	29126.0	24596.0	20171.0
K00013	8402.0	9633.0	8545.0	7430.0	15551.0	16109.0	18575.0	17260.0	18034.0	19124.0	19156.0	19234.0	19034.0	17059.0	17576.0	21718.0	17387.0	19726.0	22226.0	16624.0	18456.0	15669.0	19375.0	23278.0	21207.0	17059.0	18553.0	17402.0	19514.0	24244.0	26448.0	15896.0	24803.0	27805.0	34276.0	31778.0	29905.0	29224.0	38222.0	26231.0	32175.0	30423.0	31462.0	32425.0	30951.0	13393.0	26368.0	14156.0	20566.0	28362.0	24990.0	24025.0
K00014	6247.0	7165.0	6723.0	5906.0	21908.0	23119.0	24072.0	24621.0	24439.0	23162.0	22384.0	24613.0	23294.0	23261.0	23810.0	25081.0	24388.0	24557.0	22751.0	24194.0	22967.0	23347.0	20625.0	22194.0	24961.0	23975.0	23858.0	24435.0	17197.0	22995.0	23982.0	16693.0	22057.0	23787.0	33041.0	28057.0	28018.0	26678.0	39903.0	24132.0	29131.0	29276.0	33464.0	32296.0	27796.0	12031.0	23247.0	13975.0	18823.0	23171.0	20159.0	23903.0
K00015	453.0	611.0	806.0	829.0	2294.0	2801.0	3199.0	2853.0	3010.0	2081.0	2876.0	1917.0	2830.0	2328.0	2233.0	2657.0	2765.0	2653.0	3362.0	2588.0	2802.0	2438.0	3650.0	4203.0	2789.0	1833.0	2053.0	1942.0	11403.0	11809.0	7756.0	13795.0	9772.0	6550.0	11864.0	7100.0	10066.0	8503.0	8203.0	17227.0	10906.0	8304.0	8221.0	9252.0	6965.0	19133.0	8430.0	11401.0	14471.0	5431.0	6970.0	8974.0
K00016	1767.0	1924.0	1131.0	1240.0	11611.0	10348.0	9695.0	12468.0	12242.0	10151.0	12339.0	10921.0	11389.0	9136.0	9472.0	14111.0	11743.0	9943.0	9405.0	11223.0	11041.0	8826.0	14917.0	18516.0	8238.0	7009.0	6256.0	6254.0	64755.0	64853.0	40215.0	76697.0	51214.0	38893.0	61060.0	37193.0	57148.0	47835.0	52124.0	67715.0	55362.0	46924.0	47740.0	51201.0	38852.0	85086.0	47877.0	57264.0	76949.0	29943.0	39996.0	47393.0
K00018	4157.0	4337.0	5973.0	4356.0	8658.0	9931.0	9345.0	9703.0	9271.0	10125.0	10148.0	11325.0	9521.0	9089.0	9238.0	11240.0	11212.0	13479.0	9962.0	8360.0	11740.0	8467.0	12528.0	13097.0	10966.0	8242.0	10469.0	8726.0	7962.0	11639.0	11652.0	6886.0	10715.0	13430.0	16033.0	13291.0	14133.0	13882.0	19496.0	11614.0	15090.0	12194.0	16484.0	14425.0	13331.0	5347.0	13318.0	6520.0	8927.0	13557.0	12448.0	10080.0
K00019	283.0	413.0	507.0	467.0	1467.0	1456.0	1380.0	1606.0	1487.0	1300.0	1497.0	1481.0	1303.0	1227.0	1086.0	1095.0	1673.0	1035.0	1025.0	1135.0	1959.0	601.0	1989.0	1956.0	1296.0	691.0	1015.0	628.0	978.0	3113.0	1411.0	1487.0	958.0	1106.0	3581.0	1974.0	4331.0	2180.0	1569.0	3593.0	3401.0	2677.0	1215.0	1742.0	1431.0	925.0	2799.0	919.0	7523.0	1137.0	908.0	4070.0
K00020	147.0	145.0	128.0	82.0	1615.0	1849.0	2199.0	2040.0	2320.0	2063.0	3535.0	2490.0	2556.0	1817.0	2228.0	2653.0	2377.0	1621.0	2681.0	2351.0	2215.0	2019.0	3200.0	3705.0	2891.0	2016.0	2283.0	2364.0	5496.0	6889.0	5759.0	7078.0	6806.0	6345.0	5750.0	6698.0	5869.0	6120.0	7036.0	6371.0	5769.0	6614.0	5347.0	7643.0	5901.0	5710.0	5613.0	5720.0	5509.0	5518.0	4351.0	5064.0
K00021	407.0	418.0	233.0	137.0	2020.0	1975.0	3142.0	2190.0	2409.0	2496.0	113.0	2342.0	2037.0	2191.0	2186.0	2495.0	2398.0	1815.0	3908.0	2567.0	2518.0	2292.0	198.0	272.0	3054.0	2514.0	2370.0	2013.0	3.0	57.0	333.0	396.0	202.0	367.0	316.0	259.0	346.0	354.0	331.0	15.0	2.0	352.0	262.0	289.0	379.0	366.0	290.0	266.0	600.0	346.0	473.0	278.0
K00022	15.0	8.0	0.0	0.0	5.0	3.0	4.0	2.0	1.0	4.0	20.0	15.0	4.0	3.0	2.0	20.0	1.0	2.0	0.0	1.0	0.0	4.0	16.0	29.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00023	120.0	126.0	96.0	79.0	205.0	252.0	366.0	236.0	321.0	287.0	325.0	311.0	383.0	307.0	406.0	414.0	287.0	315.0	312.0	243.0	262.0	269.0	315.0	306.0	380.0	320.0	274.0	264.0	13.0	24.0	45.0	20.0	12.0	32.0	18.0	33.0	21.0	16.0	17.0	92.0	41.0	9.0	15.0	22.0	15.0	21.0	38.0	6.0	14.0	16.0	19.0	16.0
K00024	5271.0	5671.0	8976.0	8405.0	7230.0	6878.0	8478.0	7483.0	7370.0	7751.0	10021.0	7557.0	6774.0	6729.0	6450.0	7256.0	5690.0	8585.0	7852.0	5458.0	6473.0	5877.0	12805.0	12646.0	7819.0	6197.0	6050.0	6641.0	7429.0	9104.0	9574.0	4516.0	8048.0	10598.0	9085.0	9008.0	8770.0	8412.0	9122.0	9453.0	11097.0	7488.0	9439.0	7633.0	8237.0	4730.0	9134.0	4664.0	7984.0	12432.0	9006.0	5334.0
K00025	32.0	53.0	344.0	290.0	0.0	0.0	4.0	3.0	2.0	2.0	0.0	4.0	3.0	0.0	4.0	1.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	2.0	19.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	1.0	0.0	11.0	1.0	0.0	2.0	0.0
