#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
K18551	33.0	8.0	89.0	91.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K21309	0.0	0.0	0.0	0.0	3.0	3.0	14.0	15.0	6.0	6.0	12.0	7.0	3.0	4.0	3.0	5.0	9.0	1.0	5.0	3.0	0.0	1.0	6.0	4.0	6.0	16.0	5.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K12417	713.0	616.0	63.0	257.0	40.0	31.0	57.0	47.0	36.0	58.0	22.0	59.0	39.0	56.0	46.0	50.0	43.0	69.0	68.0	53.0	80.0	67.0	51.0	30.0	32.0	74.0	99.0	78.0	0.0	3.0	72.0	8.0	16.0	81.0	28.0	47.0	83.0	25.0	31.0	0.0	21.0	40.0	48.0	19.0	12.0	36.0	3.0	10.0	8.0	31.0	12.0	15.0
K13938	0.0	0.0	0.0	0.0	25.0	5.0	61.0	20.0	31.0	12.0	18.0	18.0	21.0	25.0	29.0	29.0	33.0	34.0	22.0	24.0	27.0	26.0	22.0	52.0	27.0	41.0	43.0	18.0	2.0	5.0	0.0	12.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	4.0	0.0	0.0	3.0	1.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0
K02291	9.0	27.0	41.0	34.0	582.0	1091.0	556.0	732.0	1457.0	433.0	53.0	439.0	627.0	661.0	1143.0	934.0	1035.0	265.0	3889.0	1386.0	879.0	421.0	133.0	118.0	4120.0	576.0	580.0	441.0	26.0	30.0	19.0	115.0	35.0	10.0	17.0	42.0	21.0	24.0	5.0	12.0	11.0	61.0	8.0	20.0	6.0	80.0	5.0	123.0	88.0	7.0	32.0	43.0
K15467	148.0	80.0	0.0	0.0	27.0	7.0	58.0	47.0	32.0	17.0	6.0	8.0	35.0	20.0	35.0	13.0	15.0	3.0	0.0	1.0	3.0	21.0	27.0	2.0	3.0	1.0	2.0	2.0	0.0	0.0	6.0	1.0	2.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	2.0	4.0	0.0
K13517	33.0	5.0	89.0	108.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07007	28556.0	28905.0	28760.0	27139.0	29815.0	28621.0	24270.0	30847.0	28949.0	26362.0	23865.0	26997.0	24173.0	26329.0	25561.0	27877.0	33580.0	31242.0	29798.0	26084.0	33415.0	23306.0	25523.0	24207.0	34812.0	23087.0	34222.0	24028.0	16456.0	17131.0	20764.0	16137.0	18236.0	19240.0	25323.0	23487.0	21276.0	22276.0	30487.0	18112.0	19840.0	26232.0	23890.0	26606.0	25809.0	16999.0	19257.0	15976.0	15657.0	18819.0	18266.0	24689.0
K02799	1259.0	1220.0	222.0	237.0	1493.0	1221.0	1033.0	886.0	1289.0	1310.0	2611.0	1321.0	1459.0	784.0	1058.0	1126.0	1382.0	1055.0	847.0	940.0	1324.0	1262.0	1758.0	1973.0	843.0	794.0	731.0	863.0	9508.0	7864.0	5159.0	19095.0	6815.0	4353.0	3676.0	2946.0	5503.0	5120.0	2415.0	6374.0	3742.0	4299.0	3130.0	4393.0	2734.0	24575.0	6447.0	16715.0	13631.0	3102.0	6590.0	6268.0
K12348	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K16279	21.0	22.0	44.0	91.0	6.0	3.0	2.0	10.0	2.0	1.0	1.0	4.0	7.0	4.0	4.0	1.0	1.0	2.0	4.0	2.0	3.0	1.0	8.0	0.0	3.0	1.0	0.0	1.0	0.0	5.0	8.0	42.0	4.0	0.0	5.0	2.0	1.0	3.0	1.0	6.0	1.0	5.0	3.0	1.0	2.0	3.0	0.0	28.0	26.0	18.0	12.0	0.0
K01108	202.0	135.0	2742.0	2665.0	1.0	0.0	1.0	4.0	0.0	2.0	2.0	1.0	5.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
K00733	0.0	0.0	0.0	0.0	16.0	17.0	18.0	26.0	9.0	14.0	4.0	25.0	12.0	24.0	8.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K22133	350.0	418.0	944.0	1084.0	121.0	116.0	148.0	118.0	120.0	116.0	295.0	198.0	98.0	110.0	119.0	127.0	141.0	210.0	109.0	151.0	120.0	157.0	464.0	645.0	115.0	152.0	106.0	171.0	24.0	13.0	52.0	49.0	48.0	32.0	14.0	18.0	18.0	13.0	23.0	19.0	39.0	7.0	11.0	16.0	16.0	23.0	14.0	62.0	25.0	37.0	29.0	15.0
K02798	1814.0	1660.0	253.0	268.0	1050.0	951.0	923.0	806.0	1224.0	1138.0	2150.0	1193.0	1292.0	855.0	918.0	989.0	1275.0	1292.0	1170.0	1369.0	1457.0	1137.0	1398.0	1684.0	1103.0	1260.0	892.0	1086.0	6560.0	5252.0	3567.0	11428.0	4599.0	3204.0	2575.0	1959.0	3592.0	3492.0	1900.0	4253.0	2943.0	2582.0	2310.0	2929.0	1992.0	16313.0	4146.0	10766.0	7737.0	2293.0	4281.0	3985.0
K03856	6828.0	8548.0	2951.0	4121.0	7039.0	6790.0	9354.0	6495.0	6855.0	7126.0	6869.0	7778.0	7833.0	6877.0	7540.0	8242.0	9302.0	8928.0	9248.0	8008.0	7717.0	8324.0	6795.0	7229.0	8479.0	7942.0	8194.0	8119.0	8454.0	8061.0	9768.0	13931.0	9736.0	10674.0	8451.0	10076.0	9713.0	10020.0	11285.0	6836.0	6038.0	9772.0	9886.0	9910.0	8633.0	8547.0	9363.0	11990.0	10680.0	10966.0	10372.0	9384.0
K14449	6.0	3.0	0.0	0.0	15.0	5.0	10.0	7.0	9.0	12.0	3.0	12.0	30.0	9.0	13.0	16.0	0.0	0.0	5.0	10.0	0.0	6.0	15.0	3.0	15.0	7.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
K02818	537.0	448.0	142.0	142.0	173.0	209.0	167.0	219.0	155.0	214.0	526.0	247.0	217.0	187.0	192.0	256.0	229.0	153.0	246.0	227.0	243.0	217.0	407.0	388.0	213.0	233.0	241.0	250.0	872.0	581.0	587.0	374.0	608.0	555.0	744.0	693.0	668.0	711.0	814.0	613.0	467.0	675.0	660.0	936.0	774.0	679.0	886.0	378.0	555.0	518.0	597.0	942.0
K01902	2072.0	1883.0	652.0	840.0	2578.0	2274.0	2798.0	2771.0	2858.0	1853.0	1900.0	1877.0	2215.0	2112.0	1859.0	2037.0	2251.0	3651.0	2892.0	2358.0	2366.0	2163.0	1737.0	2253.0	2283.0	2147.0	2016.0	1848.0	2181.0	1943.0	2216.0	2645.0	2215.0	2603.0	2866.0	3497.0	2618.0	2651.0	2357.0	3480.0	3503.0	2656.0	2263.0	2266.0	2832.0	2488.0	2101.0	2736.0	2559.0	2952.0	2027.0	2107.0
K05708	0.0	0.0	0.0	0.0	0.0	4.0	2.0	4.0	4.0	4.0	7.0	6.0	28.0	0.0	13.0	1.0	0.0	0.0	18.0	5.0	3.0	0.0	3.0	4.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
