#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
Acarbose and validamycin biosynthesis	42.0	44.0	0.0	7.0	26.0	72.0	111.0	56.0	129.0	103.0	140.0	135.0	98.0	88.0	74.0	93.0	72.0	108.0	85.0	80.0	104.0	154.0	158.0	114.0	64.0	65.0	49.0	108.0	51.0	86.0	26.0	43.0	79.0	53.0	239.0	123.0	199.0	161.0	444.0	80.0	117.0	188.0	175.0	210.0	257.0	63.0	88.0	23.0	52.0	95.0	30.0	226.0
Aflatoxin biosynthesis	128.0	164.0	183.0	278.0	115.0	93.0	132.0	106.0	148.0	94.0	172.0	67.0	101.0	113.0	95.0	98.0	47.0	81.0	59.0	70.0	136.0	78.0	130.0	143.0	63.0	60.0	125.0	61.0	117.0	133.0	154.0	148.0	156.0	131.0	49.0	44.0	78.0	75.0	51.0	36.0	72.0	92.0	102.0	29.0	61.0	107.0	146.0	59.0	162.0	107.0	257.0	68.0
Alanine, aspartate and glutamate metabolism	266279.0	269641.0	345447.0	322986.0	210814.0	214995.0	205337.0	227110.0	212527.0	209087.0	230126.0	226230.0	211845.0	220483.0	213945.0	210010.0	214989.0	220461.0	215378.0	224719.0	211692.0	240488.0	244110.0	233809.0	217668.0	233976.0	238717.0	238140.0	280993.0	276167.0	227022.0	350241.0	242958.0	227244.0	262524.0	240818.0	253161.0	246673.0	256142.0	299225.0	254666.0	248913.0	238268.0	244251.0	248371.0	388981.0	245052.0	313729.0	305211.0	228375.0	239237.0	247552.0
Amino acid related enzymes	27664.0	29196.0	34883.0	35002.0	18091.0	19753.0	19739.0	17364.0	17194.0	17711.0	15842.0	18141.0	15674.0	16103.0	17186.0	17110.0	16669.0	19900.0	19365.0	14589.0	16628.0	15177.0	15458.0	14571.0	16226.0	15118.0	16106.0	15738.0	13890.0	14132.0	17082.0	15067.0	16409.0	18142.0	24388.0	20685.0	19730.0	18839.0	24949.0	22514.0	17352.0	20185.0	22102.0	20999.0	20427.0	13630.0	16645.0	16536.0	14084.0	18893.0	18460.0	20927.0
Amino sugar and nucleotide sugar metabolism	656512.0	673529.0	864113.0	786331.0	629538.0	628909.0	595403.0	637194.0	615374.0	592958.0	626778.0	576635.0	587873.0	620224.0	607236.0	583400.0	593989.0	629381.0	568127.0	653028.0	589497.0	707156.0	606001.0	555256.0	599746.0	683128.0	603181.0	695708.0	629954.0	579428.0	544325.0	747958.0	555166.0	540713.0	517470.0	506338.0	509186.0	502373.0	488704.0	610620.0	555763.0	481766.0	472368.0	505639.0	499284.0	864563.0	550763.0	732739.0	666567.0	565468.0	565040.0	520387.0
Aminobenzoate degradation	2010.0	1887.0	914.0	988.0	2801.0	2990.0	2881.0	2958.0	3779.0	2928.0	3973.0	3324.0	3237.0	2992.0	2960.0	3207.0	2854.0	2654.0	2520.0	2532.0	3065.0	2879.0	4099.0	4466.0	1807.0	2083.0	2192.0	2231.0	16214.0	16227.0	6477.0	24847.0	10284.0	6353.0	9728.0	6394.0	9907.0	8496.0	5783.0	12910.0	9049.0	9064.0	6892.0	8042.0	8375.0	33563.0	9416.0	20151.0	18758.0	5152.0	8447.0	10625.0
Anthocyanin biosynthesis	0.0	0.0	0.0	0.0	14.0	33.0	53.0	36.0	29.0	51.0	39.0	33.0	35.0	49.0	49.0	33.0	53.0	35.0	71.0	92.0	36.0	117.0	50.0	55.0	62.0	77.0	224.0	203.0	0.0	10.0	18.0	30.0	13.0	6.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	2.0	4.0	0.0	1.0	4.0	0.0	59.0	18.0	2.0	2.0	4.0
Arabinogalactan biosynthesis - Mycobacterium	8376.0	7063.0	17903.0	14620.0	19082.0	20915.0	16191.0	21374.0	20059.0	17878.0	12986.0	18623.0	16310.0	15156.0	16093.0	19345.0	24834.0	21394.0	22997.0	26671.0	22597.0	29894.0	15270.0	14333.0	22972.0	28526.0	22747.0	27161.0	21193.0	17362.0	16253.0	28652.0	19325.0	15930.0	20839.0	20432.0	21298.0	22236.0	20432.0	23320.0	19914.0	22528.0	20979.0	21701.0	21411.0	42118.0	17963.0	27751.0	27749.0	16596.0	17032.0	22396.0
Arachidonic acid metabolism	27275.0	26156.0	53242.0	46231.0	22870.0	21282.0	20165.0	22060.0	19806.0	20792.0	20416.0	23066.0	20361.0	27345.0	27385.0	19261.0	19456.0	20657.0	16997.0	21427.0	20355.0	22358.0	20965.0	18600.0	18969.0	22895.0	22851.0	22319.0	14327.0	15889.0	16372.0	11912.0	16032.0	18588.0	17076.0	18766.0	17911.0	18363.0	19111.0	18954.0	18347.0	17619.0	19512.0	18053.0	19048.0	14647.0	16563.0	13452.0	15276.0	20127.0	17445.0	17140.0
Arginine and proline metabolism	176564.0	178417.0	203747.0	191979.0	153774.0	152669.0	157993.0	148915.0	154061.0	148273.0	161234.0	155787.0	154076.0	153269.0	153126.0	150309.0	141700.0	138219.0	150248.0	158068.0	139282.0	168115.0	159057.0	154724.0	150465.0	164742.0	175454.0	166254.0	204268.0	198276.0	179479.0	252123.0	186217.0	181156.0	203373.0	190614.0	194614.0	197804.0	208330.0	212209.0	187234.0	210270.0	196752.0	202913.0	202123.0	284391.0	189293.0	233222.0	210908.0	185350.0	180908.0	198784.0
Arginine biosynthesis	103154.0	109101.0	97138.0	94838.0	79197.0	80807.0	78300.0	82889.0	79931.0	79972.0	81857.0	80716.0	79171.0	81125.0	77121.0	81400.0	83053.0	84830.0	83823.0	90132.0	82035.0	93130.0	85439.0	82497.0	78480.0	91360.0	80745.0	90810.0	102917.0	90630.0	84643.0	117656.0	91251.0	86088.0	98364.0	98574.0	97097.0	95309.0	98718.0	95671.0	91650.0	96785.0	89796.0	94267.0	96309.0	134956.0	88843.0	109493.0	111576.0	91073.0	89843.0	97892.0
Ascorbate and aldarate metabolism	16722.0	15112.0	20557.0	18146.0	20128.0	19566.0	19606.0	21664.0	20237.0	19866.0	23000.0	22279.0	19337.0	17352.0	17380.0	19849.0	13843.0	16276.0	15854.0	15150.0	15767.0	15079.0	20007.0	21705.0	15466.0	14319.0	19113.0	15111.0	22486.0	25141.0	26125.0	34048.0	25759.0	22809.0	26046.0	26293.0	26139.0	25468.0	30027.0	27088.0	24919.0	30874.0	30861.0	28828.0	26351.0	18449.0	22225.0	33218.0	28047.0	21549.0	19558.0	31353.0
Atrazine degradation	264.0	352.0	364.0	396.0	527.0	438.0	508.0	479.0	605.0	657.0	627.0	485.0	492.0	438.0	399.0	532.0	352.0	496.0	555.0	388.0	424.0	367.0	544.0	630.0	323.0	217.0	356.0	537.0	143.0	236.0	64.0	79.0	119.0	221.0	1713.0	354.0	689.0	500.0	2114.0	474.0	489.0	499.0	929.0	728.0	555.0	46.0	163.0	55.0	121.0	99.0	154.0	521.0
Benzoate degradation	35659.0	36866.0	33698.0	37255.0	29901.0	31742.0	27663.0	23683.0	27848.0	28522.0	33993.0	28422.0	27822.0	23910.0	25321.0	29208.0	25841.0	30114.0	37072.0	21828.0	24923.0	23510.0	29852.0	32730.0	32258.0	21491.0	44449.0	22377.0	65119.0	56112.0	46270.0	99739.0	56901.0	44141.0	56564.0	48953.0	56739.0	55810.0	55694.0	65641.0	45877.0	58183.0	50515.0	57524.0	52991.0	132977.0	52432.0	89723.0	80628.0	40812.0	51047.0	64825.0
Benzoxazinoid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	22.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	12.0	0.0	18.0	0.0	0.0	6.0	0.0
Betalain biosynthesis	0.0	0.0	0.0	0.0	758.0	908.0	1037.0	1159.0	926.0	836.0	1658.0	1085.0	1034.0	909.0	836.0	1284.0	1170.0	563.0	1345.0	1069.0	1030.0	974.0	2001.0	2677.0	1144.0	1124.0	944.0	918.0	2677.0	3521.0	4533.0	3091.0	4448.0	4949.0	7781.0	6986.0	6099.0	7034.0	10233.0	5665.0	5155.0	8009.0	7662.0	8412.0	7472.0	3310.0	5041.0	2681.0	2689.0	4318.0	4182.0	7134.0
Biofilm formation - Pseudomonas aeruginosa	2328.0	2350.0	1526.0	1653.0	2313.0	2273.0	2559.0	2375.0	2403.0	2958.0	3002.0	2901.0	2788.0	2463.0	2711.0	2825.0	2388.0	3568.0	2129.0	2157.0	2237.0	2038.0	3904.0	9754.0	1974.0	3149.0	2543.0	2553.0	2372.0	2555.0	2769.0	2346.0	2894.0	2618.0	5122.0	4200.0	3894.0	3530.0	5393.0	4382.0	3368.0	3445.0	3941.0	4422.0	4322.0	1959.0	2617.0	2390.0	2147.0	2476.0	2732.0	4339.0
Biosynthesis of ansamycins	522.0	569.0	874.0	850.0	574.0	717.0	1041.0	807.0	809.0	893.0	423.0	608.0	877.0	838.0	766.0	854.0	927.0	770.0	827.0	697.0	944.0	877.0	950.0	621.0	1093.0	1016.0	1863.0	962.0	5.0	44.0	148.0	126.0	62.0	144.0	721.0	239.0	413.0	206.0	163.0	2973.0	348.0	129.0	414.0	143.0	328.0	46.0	176.0	66.0	193.0	117.0	246.0	246.0
Biosynthesis of enediyne antibiotics	1095.0	834.0	2786.0	1691.0	2460.0	2468.0	1405.0	1835.0	1541.0	2697.0	715.0	2150.0	1489.0	2092.0	1858.0	2484.0	4819.0	2624.0	25074.0	2746.0	2208.0	2355.0	1749.0	1268.0	27057.0	2483.0	3639.0	2327.0	192.0	107.0	165.0	178.0	140.0	267.0	1070.0	272.0	531.0	426.0	1347.0	213.0	363.0	267.0	615.0	236.0	337.0	126.0	201.0	115.0	182.0	156.0	314.0	380.0
Biosynthesis of siderophore group nonribosomal peptides	12095.0	13470.0	19916.0	21210.0	6949.0	6007.0	6639.0	6698.0	6047.0	7622.0	6094.0	6994.0	6874.0	6969.0	7010.0	8106.0	6210.0	7238.0	5843.0	5733.0	6212.0	5757.0	8234.0	7027.0	5239.0	6347.0	6245.0	7606.0	2663.0	3317.0	4126.0	3276.0	3407.0	3402.0	3159.0	3868.0	3563.0	4126.0	3581.0	2979.0	3529.0	3937.0	4481.0	5124.0	4582.0	2641.0	3596.0	2413.0	2881.0	3088.0	3283.0	3040.0
Biosynthesis of type II polyketide backbone	95.0	39.0	79.0	115.0	41.0	22.0	18.0	30.0	7.0	28.0	27.0	24.0	23.0	25.0	24.0	17.0	23.0	9.0	15.0	18.0	8.0	19.0	17.0	22.0	37.0	18.0	8.0	10.0	0.0	0.0	3.0	0.0	4.0	2.0	2.0	2.0	5.0	0.0	7.0	0.0	0.0	3.0	1.0	3.0	2.0	0.0	0.0	10.0	0.0	0.0	2.0	0.0
Biosynthesis of type II polyketide products	668.0	663.0	285.0	336.0	417.0	538.0	524.0	376.0	523.0	572.0	221.0	301.0	546.0	438.0	524.0	436.0	185.0	1030.0	227.0	269.0	277.0	221.0	167.0	154.0	178.0	196.0	278.0	197.0	185.0	308.0	442.0	357.0	352.0	567.0	460.0	705.0	554.0	631.0	717.0	196.0	232.0	436.0	458.0	605.0	497.0	334.0	548.0	453.0	362.0	579.0	826.0	416.0
Biosynthesis of unsaturated fatty acids	1307.0	1133.0	1308.0	1676.0	4293.0	4146.0	6440.0	3836.0	3238.0	4463.0	2369.0	3850.0	4471.0	6534.0	6786.0	4717.0	3154.0	2062.0	4478.0	2921.0	2949.0	2489.0	1384.0	2286.0	5331.0	2391.0	3011.0	2564.0	1329.0	1647.0	1927.0	2044.0	1815.0	2213.0	3849.0	3942.0	3446.0	3320.0	2966.0	2845.0	3287.0	3126.0	3187.0	3358.0	3772.0	2161.0	2575.0	2532.0	2240.0	2749.0	2912.0	2616.0
Biosynthesis of vancomycin group antibiotics	3762.0	4144.0	2304.0	3315.0	2252.0	1953.0	2034.0	1737.0	2189.0	1734.0	2230.0	2216.0	1868.0	1844.0	1729.0	1960.0	3056.0	4357.0	3322.0	2210.0	2598.0	2779.0	2557.0	3187.0	2682.0	2622.0	2917.0	3097.0	3524.0	3200.0	3135.0	2377.0	2902.0	2522.0	9263.0	6134.0	5901.0	5622.0	9358.0	6584.0	5062.0	6300.0	6993.0	6938.0	6808.0	2213.0	2766.0	2342.0	2221.0	2658.0	2717.0	6161.0
Biotin metabolism	66151.0	67908.0	61744.0	65426.0	64973.0	68354.0	65153.0	71515.0	64841.0	62233.0	53674.0	63643.0	62266.0	66582.0	65691.0	68427.0	83007.0	69459.0	68394.0	74327.0	78350.0	73777.0	55548.0	51506.0	81979.0	70662.0	78504.0	68778.0	47378.0	51865.0	51457.0	64898.0	51078.0	53242.0	57062.0	57010.0	57971.0	56653.0	58918.0	59221.0	52898.0	61611.0	55806.0	56678.0	57613.0	64149.0	53560.0	55007.0	70070.0	55164.0	51120.0	58067.0
Bisphenol degradation	0.0	0.0	0.0	0.0	11.0	10.0	23.0	2.0	7.0	35.0	7.0	9.0	29.0	8.0	3.0	14.0	4.0	2.0	8.0	8.0	1.0	5.0	10.0	8.0	4.0	7.0	3.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brassinosteroid biosynthesis	137.0	71.0	339.0	362.0	177.0	170.0	78.0	78.0	102.0	67.0	331.0	62.0	81.0	73.0	99.0	85.0	200.0	148.0	175.0	82.0	220.0	165.0	343.0	319.0	85.0	94.0	92.0	202.0	30.0	62.0	20.0	104.0	80.0	32.0	127.0	108.0	114.0	202.0	282.0	33.0	51.0	193.0	158.0	154.0	171.0	64.0	53.0	144.0	57.0	37.0	74.0	166.0
Butanoate metabolism	138934.0	143540.0	142009.0	140426.0	160917.0	170982.0	157841.0	150861.0	158900.0	154924.0	176663.0	173632.0	159515.0	163672.0	159768.0	142664.0	147610.0	157234.0	149122.0	171027.0	139029.0	184021.0	143417.0	145174.0	131727.0	174719.0	148026.0	177241.0	146207.0	154608.0	146934.0	184888.0	145640.0	140169.0	201637.0	172818.0	173300.0	176831.0	224983.0	190073.0	161402.0	188829.0	190324.0	188830.0	186241.0	212867.0	152510.0	169479.0	163234.0	137508.0	139944.0	185099.0
