	Name	Path	Lev1	Lev2	Lev3
K00001	alcohol dehydrogenase [EC:1.1.1.1]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism	Glycolysis / Gluconeogenesis
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00003	homoserine dehydrogenase [EC:1.1.1.3]	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	Metabolism; Carbohydrate metabolism; Butanoate metabolism	Metabolism	Carbohydrate metabolism	Butanoate metabolism
K00005	glycerol dehydrogenase [EC:1.1.1.6]	Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism	Metabolism	Carbohydrate metabolism	Propanoate metabolism
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism
K00011	aldehyde reductase [EC:1.1.1.21]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
