	s100	s102	s104	s106	s108	s110	s11	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s13	s15	s17	s19	s1	s21	s23	s25	s27	s29	s31	s44	s45	s46	s47	s48	s49	s4	s50	s51	s52	s53	s54	s55	s80	s83	s88	s90	s92	s94	s96	s98	s9
rstcMAG_005 Bacteroidaceae (Ga6A1 sp900102385)	36371.164	18797.622	18309.448	6567.594	9886.103	26936.673	1584.263	547.914	907.388	516.263	785.799	592.298	774.484	6532.91	697.011	765.829	594.212	625.202	925.945	1707.893	2348.88	2381.885	1439.524	4503.411	5738.274	17215.489	1780.301	2492.405	1773.589	2349.297	534.036	614.126	453.193	468.724	657.597	598.718	5322.275	4050.016	3767.135	588.854	460.455	821.666	479.46	3828.719	5046.298	4934.273	19623.699	11088.428	8888.523	32357.668	24513.349	1608.267
rstcMAG_007 Prevotella (sp905236755)	72715.697	62841.633	97396.579	25007.672	55340.798	77216.494	8225.08	3677.632	3807.264	3553.488	3691.458	3219.463	5007.317	28956.526	4593.69	6940.472	4316.454	4434.6	4690.561	19223.523	14579.744	20071.227	12828.827	4447.127	18232.88	39512.672	11020.81	17878.111	14344.565	11729.687	6148.835	1895.909	3441.008	2565.29	3452.668	2274.243	6671.102	22363.798	25523.762	5759.062	4604.444	3598.177	2586.787	3578.086	5408.911	21538.391	62036.43	33777.551	24854.703	102614.644	59962.781	11626.109
rstcMAG_010 Gastranaerophilaceae (RGIG6874)	586.033	518.307	807.434	1002.307	793.047	619.574	358.097	5523.922	6172.008	6213.113	6225.571	7783.213	6626.896	2033.56	2645.438	3664.026	7321.403	7484.967	4501.584	330.065	319.169	316.473	296.058	1835.422	336.137	294.001	343.865	272.697	326.472	326.34	566.091	1026.818	361.075	245.004	311.006	376.061	1960.143	353.573	487.832	206.585	194.604	265.115	181.408	1754.662	2717.021	700.275	625.455	883.103	773.099	564.485	770.578	315.756
rstcMAG_014 Faecousia	109.795	147.679	409.42	273.391	294.472	469.535	405.583	865.724	1084.361	1783.853	1897.114	1786.405	1597.594	514.955	962.923	1446.147	1655.327	2261.419	3397.779	2096.557	770.943	915.736	760.217	10183.211	173.42	163.21	620.763	637.669	709.747	747.039	1140.999	717.911	2495.215	1407.935	1972.902	1075.905	2412.611	613.552	548.678	1136.824	579.287	2660.417	1051.936	10925.623	3660.262	117.643	281.315	157.961	270.449	227.006	336.983	610.931
rstcMAG_015 Bacteroidaceae (UBA6382 sp900316315)	78.496	495.888	100.418	38.266	82.489	209.184	1014.287	81.368	82.407	169.225	103.642	102.684	100.133	203.307	222.731	113.357	114.79	131.952	135.488	1468.101	971.492	1043.45	1327.284	872.587	1099.079	1309.086	1213.634	1858.706	1185.258	1135.536	571.937	250.509	366.13	398.255	329.682	270.966	1013.236	1963.249	1528.963	413.772	518.135	250.093	278.148	831.674	1045.805	29.199	85.337	69.761	60.51	127.353	126.678	954.697
rstcMAG_017 Lachnospiraceae (NK4A144 sp900114405)	3189.75	3343.005	7482.237	2832.834	4088.855	6827.796	8122.465	282.931	478.967	180.052	402.673	155.051	213.292	201.379	176.997	281.185	261.378	223.622	283.168	4383.234	14168.652	6886.171	5056.292	1569.543	979.071	1412.767	8952.544	5279.26	3143.901	4490.419	768.989	316.921	284.431	887.579	487.838	457.686	677.392	329.134	259.975	1022.087	1040.46	390.107	310.81	1308.244	908.89	3207.829	5514.499	3853.573	7369.266	11680.433	6340.881	5805.603
rstcMAG_018 Cryptobacteroides (sp900316045)	566.733	1166.898	103.13	81.191	86.915	116.516	4058.442	191.48	130.503	360.186	205.293	142.533	222.57	2480.873	3542.549	167.579	168.319	174.594	234.937	8675.626	5546.099	5346.026	6916.944	1065.505	4085.112	9615.065	5483.076	6691.185	5177.425	7128.536	3615.665	1685.831	5998.703	3974.034	5364.035	3891.557	631.724	8680.336	10929.392	5224.089	4283.3	3547.553	5120.343	1119.327	724.535	212.882	145.014	91.899	127.246	89.164	130.401	5550.022
rstcMAG_020 Anaerovoracaceae (RUG11894)	137.518	286.603	261.004	151.196	297.609	203.817	286.252	1600.664	3198.313	1895.269	1308.033	1960.069	1998.097	1316.166	3076.021	2206.748	2456.871	2636.729	2115.844	361.735	260.18	258.815	341.245	4531.141	234.41	210.908	275.659	288.827	326.749	372.223	712.3	505.203	1943.483	356.946	1635.359	375.196	1151.848	1332.794	955.352	368.91	434.737	2249.06	586.872	5187.797	1594.487	145.083	235.952	136.564	162.551	195.229	226.706	314.144
rstcMAG_032 Oscillospirales (CAG-272)	15.548	82.893	124.099	177.317	95.694	104.646	87.006	1393.266	2225.285	2430.071	2569.609	2043.101	1833.996	89.623	2163.823	1902.439	1816.257	2628.477	2299.17	105.779	111.294	117.071	78.899	1116.413	27.769	29.341	82.715	81.477	96.722	87.43	1801.694	1197.144	713.599	781.54	1007.511	628.052	468.09	101.907	86.708	552.42	499.236	1039.641	592.669	1260.895	755.338	80.212	109.57	100.097	202.845	104.055	167.407	163.648
rstcMAG_034 Oribacterium (sp900318695)	15035.126	14150.073	14579.828	10118.046	12416.146	17982.73	3690.027	1296.773	2318.111	1570.407	1979.736	1214.506	2392.677	3757.49	2036.172	2765.587	1704.777	1984.86	2401.018	5937.217	3654.125	4568.633	3295.957	1234.087	3945.333	4905.604	3095.441	4014.486	3735.409	2890.036	1527.136	813.342	1792.868	1507.461	1757.869	1234.733	860.377	3988.946	3830.742	1943.891	3236.135	1792.732	1688.17	1059.508	921.676	5711.613	11044.191	9201.049	7495.223	14445.381	14280.348	2248.062
