	KO	Gene	Category	Module
0	K00200	fwdA	Methanogenesis	M00567: CO2 => methane
1	K00201	fwdB	Methanogenesis	M00567: CO2 => methane
2	K00202	fwdC	Methanogenesis	M00567: CO2 => methane
3	K00203	fwdD	Methanogenesis	M00567: CO2 => methane
4	K11261	fwdE	Methanogenesis	M00567: CO2 => methane
5	K00205	fwdF	Methanogenesis	M00567: CO2 => methane
6	K11260	fwdG	Methanogenesis	M00567: CO2 => methane
7	K00204	fwdH	Methanogenesis	M00567: CO2 => methane
8	K00672	ftr	Methanogenesis	M00567: CO2 => methane
9	K01499	mch	Methanogenesis	M00567: CO2 => methane
10	K00319	mtd	Methanogenesis	M00567: CO2 => methane
11	K13942	hmd	Methanogenesis	M00567: CO2 => methane
12	K00320	mer	Methanogenesis	M00567: CO2 => methane
13	K00577	mtrA	Methanogenesis	M00567: CO2 => methane
14	K00578	mtrB	Methanogenesis	M00567: CO2 => methane
15	K00579	mtrC	Methanogenesis	M00567: CO2 => methane
16	K00580	mtrD	Methanogenesis	M00567: CO2 => methane
17	K00581	mtrE	Methanogenesis	M00567: CO2 => methane
18	K00582	mtrF	Methanogenesis	M00567: CO2 => methane
19	K00583	mtrG	Methanogenesis	M00567: CO2 => methane
20	K00584	mtrH	Methanogenesis	M00567: CO2 => methane
21	K00399	mcrA	Methanogenesis	M00567: CO2 => methane
22	K00401	mcrB	Methanogenesis	M00567: CO2 => methane
23	K00402	mcrG	Methanogenesis	M00567: CO2 => methane
24	K22480	hdrA1	Methanogenesis	M00567: CO2 => methane
25	K22481	hdrB1	Methanogenesis	M00567: CO2 => methane
26	K22482	hdrC1	Methanogenesis	M00567: CO2 => methane
27	K03388	hdrA2	Methanogenesis	M00567: CO2 => methane
28	K03389	hdrB2	Methanogenesis	M00567: CO2 => methane
29	K03390	hdrC2	Methanogenesis	M00567: CO2 => methane
30	K08264	hdrD	Methanogenesis	M00567: CO2 => methane
31	K08265	hdrE	Methanogenesis	M00567: CO2 => methane
32	K03388	hdrA2	Methanogenesis	M00567: CO2 => methane
33	K03389	hdrB2	Methanogenesis	M00567: CO2 => methane
34	K03390	hdrC2	Methanogenesis	M00567: CO2 => methane
35	K14127	mvhD	Methanogenesis	M00567: CO2 => methane
36	K14126	mvhA	Methanogenesis	M00567: CO2 => methane
37	K14128	mvhG	Methanogenesis	M00567: CO2 => methane
38	K22516	fdhA	Methanogenesis	M00567: CO2 => methane
39	K00125	fdhB	Methanogenesis	M00567: CO2 => methane
40	K00925	ackA	Methanogenesis	M00357: acetate => methane
41	K00625	pta	Methanogenesis	M00357: acetate => methane
42	K01895	ACSS1_2	Methanogenesis	M00357: acetate => methane
43	K00193	cdhC	Methanogenesis	M00357: acetate => methane
44	K00197	cdhE	Methanogenesis	M00357: acetate => methane
45	K00194	cdhD	Methanogenesis	M00357: acetate => methane
46	K00577	mtrA	Methanogenesis	M00357: acetate => methane
47	K00578	mtrB	Methanogenesis	M00357: acetate => methane
48	K00579	mtrC	Methanogenesis	M00357: acetate => methane
49	K00580	mtrD	Methanogenesis	M00357: acetate => methane
50	K00581	mtrE	Methanogenesis	M00357: acetate => methane
51	K00582	mtrF	Methanogenesis	M00357: acetate => methane
52	K00583	mtrG	Methanogenesis	M00357: acetate => methane
53	K00584	mtrH	Methanogenesis	M00357: acetate => methane
54	K00399	mcrA	Methanogenesis	M00357: acetate => methane
55	K00401	mcrB	Methanogenesis	M00357: acetate => methane
56	K00402	mcrG	Methanogenesis	M00357: acetate => methane
57	K22480	hdrA1	Methanogenesis	M00357: acetate => methane
58	K22481	hdrB1	Methanogenesis	M00357: acetate => methane
59	K22482	hdrC1	Methanogenesis	M00357: acetate => methane
60	K03388	hdrA2	Methanogenesis	M00357: acetate => methane
61	K03389	hdrB2	Methanogenesis	M00357: acetate => methane
62	K03390	hdrC2	Methanogenesis	M00357: acetate => methane
63	K08264	hdrD	Methanogenesis	M00357: acetate => methane
64	K08265	hdrE	Methanogenesis	M00357: acetate => methane
65	K03388	hdrA2	Methanogenesis	M00357: acetate => methane
66	K03389	hdrB2	Methanogenesis	M00357: acetate => methane
67	K03390	hdrC2	Methanogenesis	M00357: acetate => methane
68	K14127	mvhD	Methanogenesis	M00357: acetate => methane
69	K14126	mvhA	Methanogenesis	M00357: acetate => methane
70	K14128	mvhG	Methanogenesis	M00357: acetate => methane
71	K22516	fdhA	Methanogenesis	M00357: acetate => methane
72	K00125	fdhB	Methanogenesis	M00357: acetate => methane
73	K14080	mtaA	Methanogenesis	M00356: methanol => methane
74	K04480	mtaB	Methanogenesis	M00356: methanol => methane
75	K14081	mtaC	Methanogenesis	M00356: methanol => methane
76	K00399	mcrA	Methanogenesis	M00356: methanol => methane
77	K00401	mcrB	Methanogenesis	M00356: methanol => methane
78	K00402	mcrG	Methanogenesis	M00356: methanol => methane
79	K22480	hdrA1	Methanogenesis	M00356: methanol => methane
80	K22481	hdrB1	Methanogenesis	M00356: methanol => methane
81	K22482	hdrC1	Methanogenesis	M00356: methanol => methane
82	K03388	hdrA2	Methanogenesis	M00356: methanol => methane
83	K03389	hdrB2	Methanogenesis	M00356: methanol => methane
84	K03390	hdrC2	Methanogenesis	M00356: methanol => methane
85	K08264	hdrD	Methanogenesis	M00356: methanol => methane
86	K08265	hdrE	Methanogenesis	M00356: methanol => methane
87	K03388	hdrA2	Methanogenesis	M00356: methanol => methane
88	K03389	hdrB2	Methanogenesis	M00356: methanol => methane
89	K03390	hdrC2	Methanogenesis	M00356: methanol => methane
90	K14127	mvhD	Methanogenesis	M00356: methanol => methane
91	K14126	mvhA	Methanogenesis	M00356: methanol => methane
92	K14128	mvhG	Methanogenesis	M00356: methanol => methane
93	K22516	fdhA	Methanogenesis	M00356: methanol => methane
94	K00125	fdhB	Methanogenesis	M00356: methanol => methane
95	K14082	mtbA	Methanogenesis	M00563: di/tri/methylamine => methane
96	K16177	mtmC	Methanogenesis	M00563: di/tri/methylamine => methane
97	K16176	mtmB	Methanogenesis	M00563: di/tri/methylamine => methane
98	K16179	mtbC	Methanogenesis	M00563: di/tri/methylamine => methane
99	K16178	mtbB	Methanogenesis	M00563: di/tri/methylamine => methane
100	K14084	mttC	Methanogenesis	M00563: di/tri/methylamine => methane
101	K14083	mttB	Methanogenesis	M00563: di/tri/methylamine => methane
102	K00399	mcrA	Methanogenesis	M00563: di/tri/methylamine => methane
103	K00401	mcrB	Methanogenesis	M00563: di/tri/methylamine => methane
104	K00402	mcrG	Methanogenesis	M00563: di/tri/methylamine => methane
105	K22480	hdrA1	Methanogenesis	M00563: di/tri/methylamine => methane
106	K22481	hdrB1	Methanogenesis	M00563: di/tri/methylamine => methane
107	K22482	hdrC1	Methanogenesis	M00563: di/tri/methylamine => methane
108	K03388	hdrA2	Methanogenesis	M00563: di/tri/methylamine => methane
109	K03389	hdrB2	Methanogenesis	M00563: di/tri/methylamine => methane
110	K03390	hdrC2	Methanogenesis	M00563: di/tri/methylamine => methane
111	K08264	hdrD	Methanogenesis	M00563: di/tri/methylamine => methane
