# Constructed from biom file
#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanomicrobiaceae;g_Methanofollis;s_Unclassified Methanofollis	1.2685960320853308e-05	1.490385657612348e-05	0.0	0.0	0.0	2.703334698517356e-06	2.3082747031558734e-06	3.313423798086581e-06	5.293318667311746e-06	2.858639559140607e-06	0.0	5.105440101700367e-06	3.6788050064121573e-06	7.89913749317712e-07	4.525885628781291e-06	5.895240109445132e-06	7.659005746169061e-07	8.474651681222587e-07	1.2900925834942546e-06	3.3130519337455876e-07	4.074175802722976e-06	1.4776920223840787e-06	0.0	0.0	4.127091300339165e-06	3.9184287623120296e-06	1.0832765214979837e-05	4.413717835031277e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Archaea;p_Candidatus Micrarchaeota;c_Candidatus Micrarchaeota archaeon (no class in NCBI);o_Candidatus Micrarchaeota archaeon (no order in NCBI);f_Candidatus Micrarchaeota archaeon (no family in NCBI);g_Candidatus Micrarchaeota archaeon (no genus in NCBI);s_Candidatus Micrarchaeota archaeon	0.0	0.0	5.902329101222836e-05	0.00010606928445660705	2.6125144667988598e-06	1.8022231323449041e-06	0.0	0.0	2.823103289232931e-06	0.0	0.0	7.293485859571953e-07	7.357610012824314e-07	0.0	0.0	0.0	2.2977017238507184e-06	4.2373258406112936e-07	0.0	0.0	0.0	1.4776920223840787e-06	0.0	0.0	1.3756971001130548e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter ruminantium	0.010304805568629142	0.00990429014286024	0.0020468434133169193	0.002672945968306498	0.00040711683774282233	0.00018292564793300777	6.607436337783687e-05	0.00027791342106451195	0.00030242493985907775	0.00033874878775816197	0.00015241772618155493	0.010472716345759367	0.0003285172870726056	0.00023539429729667818	0.0004755661360704033	0.0015268671883462894	0.0006621210467563153	0.0007944985951146176	0.0008611367994824148	0.001001535599571291	0.0013230885919342864	0.001051747296931868	0.00030665110098504944	0.0003852234966234323	0.0009847239842609246	0.0014726761431689379	0.0027024138289636367	0.0015825184673966689	0.0	0.013057671381936888	0.0005356801224411709	0.00012121032217208897	0.00046801938451196217	0.0011677496526584063	0.0012345762300224653	0.0035928013818049692	0.0017525064148348015	0.0018770440691770276	0.0020891477431433246	0.0	0.0003391103198536981	0.0016831374823781686	0.003987213807280901	0.005513573407202216	0.002817731843360599	0.00019831183558552268	0.00018392342097563015	1.4859006601113683e-05	0.00021395087432461777	0.00023434067275301468	0.0003778751029864523	0.0014799182994722
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacteriaceae archaeon (no genus in NCBI);s_Methanobacteriaceae archaeon	2.5371920641706615e-06	2.7097921047497237e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.620886309077746e-05	7.293485859571953e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0759687753861382e-05	2.6798156286847464e-05	5.502788400452219e-07	0.0	0.0	0.0	0.0	0.0	6.12205854218481e-05	3.463152062059685e-05	8.509443354762948e-06	3.977736043118659e-05	2.698527278737629e-05	7.592334995512388e-05	4.8497032863352996e-05	5.090289001158041e-05	0.00015235773596404358	0.0	0.0	7.607401050296807e-05	0.0001317776045843546	3.9889196675900274e-05	0.00020080878944343921	0.0	1.114687399852304e-05	2.2288509901670523e-05	4.470615284394998e-05	2.4410486745105696e-05	7.020630328710042e-05	3.841009326874413e-05
k_Archaea;p_Thaumarchaeota;c_Unclassified Thaumarchaeota;o_Unclassified Thaumarchaeota;f_Unclassified Thaumarchaeota;g_Unclassified Thaumarchaeota;s_Unclassified Thaumarchaeota	3.29834968342186e-05	2.167833683799779e-05	0.00019182569578974216	0.00018486361005294372	3.4833526223984797e-06	4.956113613948486e-06	5.193618082100715e-06	6.626847596173162e-06	3.5288791115411638e-06	0.0	0.0	4.376091515743172e-06	0.0	3.159654997270848e-06	3.4814504836779157e-06	3.6845250684032077e-07	1.5318011492338121e-06	5.084791008733552e-06	3.6552623199003877e-06	1.325220773498235e-06	3.0556318520422317e-06	1.4776920223840787e-06	0.00029589141323118804	0.000150739629113517	3.851951880316554e-06	1.6326786509633457e-06	6.860751302820563e-06	1.6049883036477372e-06	0.0	1.8288055156774352e-05	0.0	0.0	0.0	1.7047440184794252e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.422216570383558e-05	0.0	3.765074416695846e-06	0.0	0.0	1.1172497779466066e-05	0.0	0.0	0.0	0.0	0.0	0.0
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium subterraneum	0.0	0.0	0.0	0.0	4.3541907779980996e-07	0.0	1.1541373515779367e-06	5.384313671890694e-06	5.293318667311746e-06	3.930629393818335e-06	0.0	0.0	1.4715220025648628e-06	3.94956874658856e-07	1.0444351451033747e-06	7.369050136806415e-07	1.5318011492338121e-06	6.77972134497807e-06	2.580185166988509e-06	0.0	8.487866255672866e-06	7.388460111920394e-07	0.0	6.699539071711866e-06	1.925975940158277e-06	5.224571683082707e-06	5.416382607489918e-06	4.012470759119343e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanomicrobiaceae;g_Methanoplanus;s_Methanoplanus limicola	0.0	0.0	0.0	0.0	0.00011582147469474945	0.0001297600655288331	0.0002692025372555537	0.0001524174947119827	0.00012527520845971132	6.467672002555624e-05	1.2701477181796243e-05	0.0	5.407843359425871e-05	0.00010900809740584425	4.282184094923836e-05	4.237203828663689e-05	4.6719935051631275e-05	8.050919097161458e-05	3.612259233783912e-05	9.607850607862204e-05	8.623672115763631e-05	8.903094434864074e-05	0.0	0.0	4.209633126345948e-05	8.065432535758928e-05	4.5136521729082655e-05	4.2532190046665036e-05	0.0	0.0	0.0001300937440214272	0.0003586836064276102	6.807554683810358e-05	0.00017331564187874157	0.00010794109114950515	7.050025352975789e-05	0.00016533079385233976	0.00023118395880259435	0.00017313379086823135	0.0	2.422216570383558e-05	0.00012599757989554088	8.471417437565654e-05	0.0002858725761772853	6.836043895946867e-05	0.0002681399467071856	0.00032883278295642966	0.0007020880619026215	0.00024269054401001417	0.000402773031294244	0.0002498518440511515	0.00013782445231725834
k_Archaea;p_Candidatus Aenigmarchaeota;c_Candidatus Aenigmarchaeota archaeon (no class in NCBI);o_Candidatus Aenigmarchaeota archaeon (no order in NCBI);f_Candidatus Aenigmarchaeota archaeon (no family in NCBI);g_Candidatus Aenigmarchaeota archaeon (no genus in NCBI);s_Candidatus Aenigmarchaeota archaeon	3.171490080213327e-05	7.045459472349281e-05	0.00013701835413553013	0.00024244407875795897	4.3541907779981e-06	4.956113613948486e-06	5.770686757889683e-07	4.141779747608226e-07	2.470215378078815e-06	7.146598897851518e-07	0.00010161181745436994	1.0940228789357929e-05	0.0	0.0	6.962900967355832e-07	1.473810027361283e-06	3.8295028730845304e-07	8.474651681222587e-07	0.0	3.3130519337455873e-06	2.037087901361488e-06	4.8024990727482556e-06	1.0759687753861382e-05	0.0	0.0	0.0	0.0	0.0	0.0006898137502874224	3.6576110313548705e-05	0.0	0.0	8.509443354762948e-06	1.1364960123196168e-05	0.0	0.0	0.0	2.5451445005790203e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.586248889733033e-06	0.0	1.4859006601113683e-05	0.0	4.882097349021139e-06	0.0	2.2594172511025955e-06
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanosphaera;s_Methanosphaera sp.	0.03673600389712701	0.032484987751739684	0.029138533987929736	0.04131550157134069	0.00035878532010704344	0.0004275774381488285	0.00024352298118294463	0.0004982561036372695	0.00033983105844141405	0.0004931153239517548	0.01460669875906568	0.0005958777947270285	0.00036456957613544477	0.0003499317909477464	0.0006983789670257899	0.0004819358789471396	0.014615680665414419	0.0009199234399967118	0.00025221310007312675	0.0002832659403352477	0.00034936057508349515	0.00034836589427704657	0.0030127125710811874	0.015817611748311717	0.0006295189930117338	0.0005077630604496006	0.0007911529528673607	0.0004433780188826874	0.03472062543113359	0.0020574062051371147	0.0008111727568394873	0.00040815720731417714	0.0011615390179251423	0.0011052423719808274	0.0016865795492110181	0.0010683499957971003	0.0009302612667424984	0.0010307835227345032	0.002144550556221159	0.002857557998740737	0.0034274364470927346	0.0008130409872504713	0.0025828410498533504	0.001325207756232687	0.00182436921473082	0.0008379373334599549	0.0005879976034220903	0.0005089209760881436	0.0005348771858115444	0.00036615730117658545	0.0008775787910887552	0.002352053358397802
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanococcoides;s_Methanococcoides sp.	0.0	0.0	0.0	0.0	4.3541907779980996e-07	1.351667349258678e-06	5.770686757889683e-07	0.0	3.5288791115411638e-06	7.146598897851518e-07	0.0	0.0	2.207283003847294e-06	0.0	6.962900967355832e-07	7.369050136806415e-07	1.5318011492338121e-06	2.542395504366776e-06	5.160370333977018e-06	4.306967513869264e-06	7.129807654765207e-06	4.0636530615562165e-06	0.0	0.0	4.402230720361775e-06	3.2653573019266914e-06	5.055290433657257e-06	5.216211986855146e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
