Feature ID	Taxon
k_Archaea;p_Candidatus Aenigmarchaeota;c_Candidatus Aenigmarchaeota archaeon (no class in NCBI);o_Candidatus Aenigmarchaeota archaeon (no order in NCBI);f_Candidatus Aenigmarchaeota archaeon (no family in NCBI);g_Candidatus Aenigmarchaeota archaeon (no genus in NCBI);s_Candidatus Aenigmarchaeota archaeon	k_Archaea;p_Candidatus Aenigmarchaeota;c_Candidatus Aenigmarchaeota archaeon (no class in NCBI);o_Candidatus Aenigmarchaeota archaeon (no order in NCBI);f_Candidatus Aenigmarchaeota archaeon (no family in NCBI);g_Candidatus Aenigmarchaeota archaeon (no genus in NCBI);s_Candidatus Aenigmarchaeota archaeon
k_Archaea;p_Candidatus Altiarchaeota;c_Candidatus Altiarchaeales (no class in NCBI);o_Candidatus Altiarchaeales;f_Candidatus Altiarchaeales archaeon (no family in NCBI);g_Candidatus Altiarchaeales archaeon (no genus in NCBI);s_Candidatus Altiarchaeales archaeon	k_Archaea;p_Candidatus Altiarchaeota;c_Candidatus Altiarchaeales (no class in NCBI);o_Candidatus Altiarchaeales;f_Candidatus Altiarchaeales archaeon (no family in NCBI);g_Candidatus Altiarchaeales archaeon (no genus in NCBI);s_Candidatus Altiarchaeales archaeon
k_Archaea;p_Candidatus Bathyarchaeota;c_Candidatus Bathyarchaeota archaeon (no class in NCBI);o_Candidatus Bathyarchaeota archaeon (no order in NCBI);f_Candidatus Bathyarchaeota archaeon (no family in NCBI);g_Candidatus Bathyarchaeota archaeon (no genus in NCBI);s_Candidatus Bathyarchaeota archaeon	k_Archaea;p_Candidatus Bathyarchaeota;c_Candidatus Bathyarchaeota archaeon (no class in NCBI);o_Candidatus Bathyarchaeota archaeon (no order in NCBI);f_Candidatus Bathyarchaeota archaeon (no family in NCBI);g_Candidatus Bathyarchaeota archaeon (no genus in NCBI);s_Candidatus Bathyarchaeota archaeon
k_Archaea;p_Candidatus Diapherotrites;c_Candidatus Diapherotrites archaeon (no class in NCBI);o_Candidatus Diapherotrites archaeon (no order in NCBI);f_Candidatus Diapherotrites archaeon (no family in NCBI);g_Candidatus Diapherotrites archaeon (no genus in NCBI);s_Candidatus Diapherotrites archaeon	k_Archaea;p_Candidatus Diapherotrites;c_Candidatus Diapherotrites archaeon (no class in NCBI);o_Candidatus Diapherotrites archaeon (no order in NCBI);f_Candidatus Diapherotrites archaeon (no family in NCBI);g_Candidatus Diapherotrites archaeon (no genus in NCBI);s_Candidatus Diapherotrites archaeon
k_Archaea;p_Candidatus Heimdallarchaeota;c_Candidatus Heimdallarchaeota archaeon (no class in NCBI);o_Candidatus Heimdallarchaeota archaeon (no order in NCBI);f_Candidatus Heimdallarchaeota archaeon (no family in NCBI);g_Candidatus Heimdallarchaeota archaeon (no genus in NCBI);s_Candidatus Heimdallarchaeota archaeon	k_Archaea;p_Candidatus Heimdallarchaeota;c_Candidatus Heimdallarchaeota archaeon (no class in NCBI);o_Candidatus Heimdallarchaeota archaeon (no order in NCBI);f_Candidatus Heimdallarchaeota archaeon (no family in NCBI);g_Candidatus Heimdallarchaeota archaeon (no genus in NCBI);s_Candidatus Heimdallarchaeota archaeon
k_Archaea;p_Candidatus Helarchaeota;c_Candidatus Helarchaeota archaeon (no class in NCBI);o_Candidatus Helarchaeota archaeon (no order in NCBI);f_Candidatus Helarchaeota archaeon (no family in NCBI);g_Candidatus Helarchaeota archaeon (no genus in NCBI);s_Candidatus Helarchaeota archaeon	k_Archaea;p_Candidatus Helarchaeota;c_Candidatus Helarchaeota archaeon (no class in NCBI);o_Candidatus Helarchaeota archaeon (no order in NCBI);f_Candidatus Helarchaeota archaeon (no family in NCBI);g_Candidatus Helarchaeota archaeon (no genus in NCBI);s_Candidatus Helarchaeota archaeon
k_Archaea;p_Candidatus Korarchaeota;c_Candidatus Korarchaeota archaeon (no class in NCBI);o_Candidatus Korarchaeota archaeon (no order in NCBI);f_Candidatus Korarchaeota archaeon (no family in NCBI);g_Candidatus Korarchaeota archaeon (no genus in NCBI);s_Candidatus Korarchaeota archaeon	k_Archaea;p_Candidatus Korarchaeota;c_Candidatus Korarchaeota archaeon (no class in NCBI);o_Candidatus Korarchaeota archaeon (no order in NCBI);f_Candidatus Korarchaeota archaeon (no family in NCBI);g_Candidatus Korarchaeota archaeon (no genus in NCBI);s_Candidatus Korarchaeota archaeon
k_Archaea;p_Candidatus Lokiarchaeota;c_Candidatus Lokiarchaeota archaeon (no class in NCBI);o_Candidatus Lokiarchaeota archaeon (no order in NCBI);f_Candidatus Lokiarchaeota archaeon (no family in NCBI);g_Candidatus Lokiarchaeota archaeon (no genus in NCBI);s_Candidatus Lokiarchaeota archaeon	k_Archaea;p_Candidatus Lokiarchaeota;c_Candidatus Lokiarchaeota archaeon (no class in NCBI);o_Candidatus Lokiarchaeota archaeon (no order in NCBI);f_Candidatus Lokiarchaeota archaeon (no family in NCBI);g_Candidatus Lokiarchaeota archaeon (no genus in NCBI);s_Candidatus Lokiarchaeota archaeon
k_Archaea;p_Candidatus Lokiarchaeota;c_Lokiarchaeum (no class in NCBI);o_Lokiarchaeum (no order in NCBI);f_Lokiarchaeum (no family in NCBI);g_Lokiarchaeum;s_Lokiarchaeum sp.	k_Archaea;p_Candidatus Lokiarchaeota;c_Lokiarchaeum (no class in NCBI);o_Lokiarchaeum (no order in NCBI);f_Lokiarchaeum (no family in NCBI);g_Lokiarchaeum;s_Lokiarchaeum sp.
k_Archaea;p_Candidatus Lokiarchaeota;c_Unclassified Candidatus Lokiarchaeota;o_Unclassified Candidatus Lokiarchaeota;f_Unclassified Candidatus Lokiarchaeota;g_Unclassified Candidatus Lokiarchaeota;s_Unclassified Candidatus Lokiarchaeota	k_Archaea;p_Candidatus Lokiarchaeota;c_Unclassified Candidatus Lokiarchaeota;o_Unclassified Candidatus Lokiarchaeota;f_Unclassified Candidatus Lokiarchaeota;g_Unclassified Candidatus Lokiarchaeota;s_Unclassified Candidatus Lokiarchaeota
k_Archaea;p_Candidatus Pacearchaeota archaeon (no phylum in NCBI);c_Candidatus Pacearchaeota archaeon (no class in NCBI);o_Candidatus Pacearchaeota archaeon (no order in NCBI);f_Candidatus Pacearchaeota archaeon (no family in NCBI);g_Candidatus Pacearchaeota archaeon (no genus in NCBI);s_Candidatus Pacearchaeota archaeon	k_Archaea;p_Candidatus Pacearchaeota archaeon (no phylum in NCBI);c_Candidatus Pacearchaeota archaeon (no class in NCBI);o_Candidatus Pacearchaeota archaeon (no order in NCBI);f_Candidatus Pacearchaeota archaeon (no family in NCBI);g_Candidatus Pacearchaeota archaeon (no genus in NCBI);s_Candidatus Pacearchaeota archaeon
k_Archaea;p_Candidatus Thermoplasmatota;c_Aciduliprofundum (no class in NCBI);o_Aciduliprofundum (no order in NCBI);f_Aciduliprofundum (no family in NCBI);g_Aciduliprofundum;s_Aciduliprofundum sp.	k_Archaea;p_Candidatus Thermoplasmatota;c_Aciduliprofundum (no class in NCBI);o_Aciduliprofundum (no order in NCBI);f_Aciduliprofundum (no family in NCBI);g_Aciduliprofundum;s_Aciduliprofundum sp.
k_Archaea;p_Candidatus Thermoplasmatota;c_Candidatus Poseidoniia;o_Candidatus Poseidoniales;f_Candidatus Poseidoniales archaeon (no family in NCBI);g_Candidatus Poseidoniales archaeon (no genus in NCBI);s_Candidatus Poseidoniales archaeon	k_Archaea;p_Candidatus Thermoplasmatota;c_Candidatus Poseidoniia;o_Candidatus Poseidoniales;f_Candidatus Poseidoniales archaeon (no family in NCBI);g_Candidatus Poseidoniales archaeon (no genus in NCBI);s_Candidatus Poseidoniales archaeon
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilaceae archaeon (no genus in NCBI);s_Candidatus Methanomethylophilaceae archaeon	k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilaceae archaeon (no genus in NCBI);s_Candidatus Methanomethylophilaceae archaeon
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilus;s_Candidatus Methanomethylophilus alvus	k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilus;s_Candidatus Methanomethylophilus alvus
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilus;s_Candidatus Methanomethylophilus sp.	k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilus;s_Candidatus Methanomethylophilus sp.
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilus;s_Unclassified Candidatus Methanomethylophilus	k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Candidatus Methanomethylophilus;s_Unclassified Candidatus Methanomethylophilus
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Unclassified Candidatus Methanomethylophilaceae;s_Unclassified Candidatus Methanomethylophilaceae	k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_Unclassified Candidatus Methanomethylophilaceae;s_Unclassified Candidatus Methanomethylophilaceae
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Candidatus Methanoplasma;s_Candidatus Methanoplasma termitum	k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Candidatus Methanoplasma;s_Candidatus Methanoplasma termitum
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Methanomassiliicoccaceae archaeon (no genus in NCBI);s_Methanomassiliicoccaceae archaeon	k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Methanomassiliicoccaceae archaeon (no genus in NCBI);s_Methanomassiliicoccaceae archaeon
