	id	Trt	LFC	qval	Domain
60	k_Bacteria;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Oscillospiraceae bacterium (no genus in NCBI);s_Oscillospiraceae bacterium	AN1	0.3694353765627235	0.0086416130561355	Bacteria
112	k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Anaerovibrio;s_Unclassified Anaerovibrio	AT	0.9226240409138066	0.0004000411041111807	Bacteria
119	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroidaceae bacterium (no genus in NCBI);s_Bacteroidaceae bacterium	AT	1.0622781999769644	0.000706867017856054	Bacteria
126	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified Alphaproteobacteria;f_Unclassified Alphaproteobacteria;g_Unclassified Alphaproteobacteria;s_Unclassified Alphaproteobacteria	AT	-4.135888000228015	6.127484317998501e-49	Bacteria
136	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridia bacterium (no order in NCBI);f_Clostridia bacterium (no family in NCBI);g_Clostridia bacterium (no genus in NCBI);s_Clostridia bacterium	AT	-0.9137722687277362	0.000513615743051777	Bacteria
139	k_Bacteria;p_Firmicutes;c_Clostridia;o_Unclassified Clostridia;f_Unclassified Clostridia;g_Unclassified Clostridia;s_Unclassified Clostridia	AT	-0.6126647713188593	0.0459848072724674	Bacteria
140	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_Sodaliphilus;s_Sodaliphilus pleomorphus	AT	1.5323285029912823	0.0156238653606916	Bacteria
144	k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Selenomonas;s_Selenomonas ruminantium	FV1	0.8582195529582519	0.0257910986348385	Bacteria
168	k_Bacteria;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Oscillospiraceae bacterium (no genus in NCBI);s_Oscillospiraceae bacterium	FV1	0.34824077936658	0.0027249640702533	Bacteria
199	k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Unclassified Lactobacillus	FV2	-0.708822977668928	0.0220636678260197	Bacteria
45	k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanomicrobiaceae;g_Methanomicrobium;s_Unclassified Methanomicrobium	AT	-3.991602756689963	1.8491806723179672e-16	Archaea
