	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	-0.00019481770361558584	0.004721094301037528	-0.04126537010132839	0.9675651192996153	-0.010155456004364013	0.009765820597132841	0.9675651192996153	False
AN2-AN1	-0.009524103139698745	0.008177175196720878	-1.164717999868463	0.2602177496221606	-0.026776434752411555	0.007728228473014066	0.4842863940164496	False
AT-AN1	-0.04315815328286075	0.008177175196720874	-5.27788047150654	6.152568376109672e-05	-0.06041048489557356	-0.02590582167014795	0.0009228852564164509	True
FV1-AN1	-0.00891983365575819	0.008177175196720872	-1.090820905896101	0.2905718364098697	-0.02617216526847099	0.00833249795695461	0.4842863940164496	False
FV2-AN1	-0.013111436399660113	0.008177175196720876	-1.60341879490584	0.1272582800555297	-0.03036376801237292	0.004140895213052694	0.2726963144047065	False
TMR-AN1	-0.015884888176055392	0.00817717519672087	-1.9425887050121406	0.06881866423095274	-0.033137219788768185	0.0013674434366574041	0.17204666057738185	False
AT-AN2	-0.03363405014316201	0.008177175196720878	-4.113162471638075	0.0007257629748796645	-0.050886381755874815	-0.0163817185304492	0.0036288148743983226	True
FV1-AN2	0.0006042694839405553	0.008177175196720876	0.07389709397236262	0.941954829367516	-0.01664806212877225	0.017856601096653362	0.941954829367516	False
FV2-AN2	-0.0035873332599613682	0.00817717519672088	-0.43870079503737686	0.6664027830655781	-0.020839664872674184	0.013664998352751445	0.7689262881525901	False
TMR-AN2	-0.006360785036356648	0.00817717519672088	-0.777870705143676	0.4473366023512675	-0.02361311664906946	0.010891546576356166	0.6100044577517284	False
FV1-AT	0.03423831962710257	0.008177175196720876	4.187059565610439	0.0006186641005680066	0.01698598801438976	0.051490651239815374	0.0036288148743983226	True
FV2-AT	0.03004671688320064	0.008177175196720876	3.6744616766006986	0.0018792026037948307	0.012794385270487832	0.047299048495913446	0.007047009764230615	True
TMR-AT	0.02727326510680536	0.008177175196720872	3.335291766494401	0.003919639808353266	0.010020933494092561	0.04452559671951816	0.0117589194250598	True
FV2-FV1	-0.004191602743901924	0.008177175196720872	-0.5125978890097399	0.6148284516651286	-0.02144393435661472	0.013060728868810876	0.7685355645814107	False
TMR-FV1	-0.006965054520297203	0.008177175196720874	-0.8517677991160391	0.4061824574442676	-0.024217386133010006	0.0102872770924156	0.6092736861664014	False
TMR-FV2	-0.0027734517763952794	0.008177175196720876	-0.33916991010629927	0.7386354358147691	-0.020025783389108084	0.014478879836317527	0.7913951098015383	False
