	AB_ratios	Run	Trt	residual	fitted_values
s123	0.04078310505696802	rstc_run2	TMR	9.748629287582161e-05	0.0406856187640922
s124	0.039217386369145985	rstc_run2	TMR	-0.0014682323949462145	0.0406856187640922
s125	0.05920263713185392	rstc_run2	AN1	0.0026321301917063278	0.05657050694014759
s126	0.03963667615542878	rstc_run2	AN1	-0.016933830784718815	0.05657050694014759
s127	0.04785369314667688	rstc_run2	AN2	0.000807289346228035	0.04704640380044885
s128	0.04715422764992578	rstc_run2	AN2	0.00010782384947693319	0.04704640380044885
s129	0.0013623283936621754	rstc_run2	AT	-0.01205002526362466	0.013412353657286834
s130	0.04495270067704782	rstc_run2	AT	0.03154034701976098	0.013412353657286834
s131	0.045902802591912824	rstc_run2	FV1	-0.0017478706924765816	0.047650673284389405
s132	0.043264616855152836	rstc_run2	FV1	-0.004386056429236569	0.047650673284389405
s133	0.04511733945661393	rstc_run2	FV2	0.00165826891612645	0.04345907054048748
s134	0.04320174048931569	rstc_run2	FV2	-0.0002573300511717891	0.04345907054048748
s44	0.04453842415432837	rstc_run1	TMR	0.003657987686620588	0.04088043646770778
s45	0.03859319488315748	rstc_run1	TMR	-0.0022872415845502994	0.04088043646770778
s46	0.07875534213181325	rstc_run1	AN1	0.021990017488050073	0.056765324643763174
s47	0.049077007748725594	rstc_run1	AN1	-0.007688316895037579	0.056765324643763174
s48	0.049241187799267595	rstc_run1	AN2	0.0019999662952031663	0.04724122150406443
s49	0.04432614201315629	rstc_run1	AN2	-0.0029150794909081415	0.04724122150406443
s50	0.0030260734881698967	rstc_run1	AT	-0.010581097872732523	0.01360717136090242
s51	0.004697947477498589	rstc_run1	AT	-0.00890922388340383	0.01360717136090242
s52	0.05352201700012598	rstc_run1	FV1	0.005676526012120993	0.04784549098800499
s53	0.048302892097597125	rstc_run1	FV1	0.0004574011095921371	0.04784549098800499
s54	0.04553273382093383	rstc_run1	FV2	0.0018788455768307677	0.04365388824410306
s55	0.040374103802317665	rstc_run1	FV2	-0.003279784441785394	0.04365388824410306
