	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	-94.77513867765016	40.558854190692855	-2.336731166813841	0.031949946481842004	-180.34684106823852	-9.203436287061791	0.031949946481842004	True
AN2-AN1	0.1103192743792647	70.24999615505794	0.0015703812159044764	0.9987652985765996	-148.10421695628304	148.32485550504157	0.9987652985765996	False
AT-AN1	-257.45930364040794	70.2499961550579	-3.664901320024787	0.0019186181918836478	-405.67383987107013	-109.24476740974575	0.005755854575650944	True
FV1-AN1	5.554999349842248	70.2499961550579	0.0790747281691103	0.9378965394028028	-142.65953688081993	153.76953558050445	0.9987652985765996	False
FV2-AN1	32.001160793816624	70.24999615505793	0.45553256292260413	0.6544907297497935	-116.21337543684562	180.21569702447886	0.9987652985765996	False
TMR-AN1	8.694947515006085	70.24999615505787	0.12377150164982699	0.9029478388810432	-139.51958871565606	156.9094837456682	0.9987652985765996	False
AT-AN2	-257.5696229147872	70.24999615505794	-3.6664717012406896	0.0019120875937687705	-405.7841591454495	-109.3550866841249	0.005755854575650944	True
FV1-AN2	5.444680075462983	70.24999615505793	0.07750434695320581	0.9391272419618168	-142.76985615519925	153.65921630612524	0.9987652985765996	False
FV2-AN2	31.89084151943736	70.24999615505796	0.4539621817066995	0.6555981245863008	-116.32369471122497	180.1053777500997	0.9987652985765996	False
TMR-AN2	8.58462824062682	70.24999615505796	0.12220112043392237	0.9041726974448638	-139.62990799003552	156.79916447128915	0.9987652985765996	False
FV1-AT	263.0143029902502	70.24999615505793	3.7439760481938964	0.001615923174229954	114.79976675958795	411.22883922091245	0.005755854575650944	True
FV2-AT	289.46046443422455	70.24999615505793	4.12043388294739	0.0007144418460975147	141.2459282035623	437.6750006648868	0.005755854575650944	True
TMR-AT	266.15425115541404	70.2499961550579	3.7886728216746146	0.0014664698120566552	117.93971492475185	414.36878738607624	0.005755854575650944	True
FV2-FV1	26.446161443974376	70.2499961550579	0.376457834753494	0.7112338212283862	-121.76837478668782	174.66069767463657	0.9987652985765996	False
TMR-FV1	3.139948165163837	70.2499961550579	0.04469677348071662	0.9648698394179456	-145.07458806549835	151.35448439582603	0.9987652985765996	False
TMR-FV2	-23.30621327881054	70.24999615505793	-0.3317610612727772	0.7441247430943352	-171.52074950947278	124.90832295185172	0.9987652985765996	False
