	AE_ratios	Run	Trt	residual	fitted_values
s123	251.0535636205575	rstc_run2	TMR	-18.122597472082816	269.1761610926403
s124	429.4661377708968	rstc_run2	TMR	160.2899766782565	269.1761610926403
s125	214.85289194725559	rstc_run2	AN1	-45.62832163037862	260.4812135776342
s126	163.35730717191842	rstc_run2	AN1	-97.12390640571579	260.4812135776342
s127	328.8570268075584	rstc_run2	AN2	68.26549395554491	260.5915328520135
s128	253.26099547511294	rstc_run2	AN2	-7.330537376900537	260.5915328520135
s129	4.16213787270063	rstc_run2	AT	1.1402279354743756	3.021909937226255
s130	149.33955996079675	rstc_run2	AT	146.31765002357048	3.021909937226255
s131	224.0028018129945	rstc_run2	FV1	-42.033411114481964	266.03621292747647
s132	251.95760772221777	rstc_run2	FV1	-14.078605205258697	266.03621292747647
s133	274.26391673840993	rstc_run2	FV2	-18.218457633040885	292.4823743714508
s134	159.00486261646404	rstc_run2	FV2	-133.47751175498678	292.4823743714508
s44	362.37926727733844	rstc_run1	TMR	-1.5720324929520189	363.95129977029046
s45	223.35595305706818	rstc_run1	TMR	-140.59534671322228	363.95129977029046
s46	507.677000327621	rstc_run1	AN1	152.42064807233663	355.25635225528436
s47	345.5879322190425	rstc_run1	AN1	-9.668420036241855	355.25635225528436
s48	396.79118954625824	rstc_run1	AN2	41.42451801659462	355.3666715296636
s49	253.0071969344249	rstc_run1	AN2	-102.35947459523871	355.3666715296636
s50	15.1824716164358	rstc_run1	AT	-82.61457699844061	97.79704861487642
s51	32.95374765427211	rstc_run1	AT	-64.84330096060431	97.79704861487642
s52	401.6045303870063	rstc_run1	FV1	40.7931787818797	360.8113516051266
s53	376.13018914298755	rstc_run1	FV1	15.31883753786093	360.8113516051266
s54	416.76087283700735	rstc_run1	FV2	29.50335978790639	387.25751304910096
s55	509.45012264922246	rstc_run1	FV2	122.1926096001215	387.25751304910096
