	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	7.171831434454098e-05	1.8906669453833516e-05	3.7932812291272895	0.0014518705266441758	3.182872860590027e-05	0.00011160790008318168	0.0014518705266441758	True
AN2-AN1	-4.608186615485869e-05	3.274731209595018e-05	-1.4071953759086557	0.1773899461176507	-0.00011517265534705932	2.3008923037341948e-05	0.36435226004496685	False
AT-AN1	3.8718369915414094e-05	3.274731209595016e-05	1.1823373412134905	0.2533457574916017	-3.03724192767865e-05	0.0001078091591076147	0.42224292915266953	False
FV1-AN1	-4.425022961914983e-05	3.274731209595016e-05	-1.3512629521927153	0.19432120535731565	-0.00011334101881135042	2.4840559573050764e-05	0.36435226004496685	False
FV2-AN1	-4.7654559987784064e-05	3.2747312095950175e-05	-1.4552205032326135	0.16382576092235235	-0.00011674534917998469	2.1436229204416558e-05	0.36435226004496685	False
TMR-AN1	-6.646718893053568e-05	3.2747312095950154e-05	-2.029699070744669	0.05833981422654817	-0.00013555797812273625	2.623600261664896e-06	0.17501944267964453	False
AT-AN2	8.480023607027279e-05	3.274731209595018e-05	2.589532717122146	0.019088656680297324	1.5709446878072153e-05	0.00015389102526247342	0.08032511121142004	False
FV1-AN2	1.831636535708857e-06	3.2747312095950175e-05	0.055932423715941364	0.9560477626665613	-6.725915265649176e-05	7.092242572790948e-05	0.9622559200950391	False
FV2-AN2	-1.5726938329253766e-06	3.274731209595019e-05	-0.048025127323957355	0.9622559200950391	-7.066348302512602e-05	6.751809535927527e-05	0.9622559200950391	False
TMR-AN2	-2.0385322775676997e-05	3.274731209595019e-05	-0.6225036948360113	0.5418713945929068	-8.947611196787765e-05	4.870546641652365e-05	0.7164602615509302	False
FV1-AT	-8.296859953456392e-05	3.274731209595017e-05	-2.533600293406205	0.021420029656378677	-0.00015205938872676452	-1.387781034236331e-05	0.08032511121142004	False
FV2-AT	-8.637292990319815e-05	3.274731209595017e-05	-2.637557844446104	0.017281494458567498	-0.00015546371909539876	-1.7282140710997543e-05	0.08032511121142004	False
TMR-AT	-0.00010518555884594979	3.274731209595016e-05	-3.2120364119581595	0.00511336869333422	-0.0001742763480381504	-3.609476965374919e-05	0.0767005304000133	False
FV2-FV1	-3.4043303686342335e-06	3.274731209595016e-05	-0.10395755103989877	0.9184196411282463	-7.249511956083483e-05	6.568645882356636e-05	0.9622559200950391	False
TMR-FV1	-2.2216959311385854e-05	3.274731209595016e-05	-0.6784361185519532	0.5066262299570772	-9.130774850358645e-05	4.687382988081474e-05	0.7164602615509302	False
TMR-FV2	-1.881262894275162e-05	3.274731209595017e-05	-0.5744785675120543	0.5731682092407442	-8.790341813495223e-05	5.027816024944899e-05	0.7164602615509302	False
