	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
FR-FL	-0.05020312805648085	0.005728813670716668	-8.763267744786068	2.382072404584149e-10	-0.0618332381088717	-0.03857301800408999	2.382072404584149e-10	True
AN2-AN1	-0.009524103139698762	0.005728813670716663	-1.6624913441297726	0.10534591625133168	-0.021154213192089606	0.002106006912692082	0.1975235929712469	False
AT-AN1	-0.04315815328286073	0.0057288136707166586	-7.533523651409275	7.932300643339611e-09	-0.054788263335251566	-0.0315280432304699	1.1898450965009417e-07	True
FV1-AN1	-0.0089198336557582	0.005728813670716663	-1.5570123534219165	0.12846489813525674	-0.020549943708149044	0.0027102763966326444	0.21410816355876125	False
FV2-AN1	-0.013111436399660113	0.005728813670716664	-2.288682640645196	0.02824791041536525	-0.02474154645205096	-0.001481326347269267	0.060531236604354104	False
TMR-AN1	-0.01588488817605537	0.005728813670716662	-2.7728058703065144	0.00884735463975279	-0.027514998228446212	-0.004254778123664529	0.022118386599381975	True
AT-AN2	-0.03363405014316197	0.0057288136707166586	-5.8710323072795	1.1418256336171664e-06	-0.0452641601955528	-0.022003940090771133	5.709128168085831e-06	True
FV1-AN2	0.0006042694839405623	0.005728813670716658	0.10547899070785627	0.9165979485333335	-0.011025840568450272	0.012234379536331396	0.9165979485333335	False
FV2-AN2	-0.003587333259961351	0.005728813670716662	-0.6261912965154238	0.5352523042211565	-0.015217443312352193	0.008042776792429492	0.617598812562873	False
TMR-AN2	-0.0063607850363566094	0.00572881367071666	-1.1103145261767418	0.27443363399632065	-0.017990895088747447	0.0052693250160342296	0.37422768272225543	False
FV1-AT	0.03423831962710253	0.0057288136707166586	5.976511297987357	8.29100569370426e-07	0.0226082095747117	0.04586842967949337	5.709128168085831e-06	True
FV2-AT	0.030046716883200618	0.005728813670716659	5.244841010764076	7.645996269163056e-06	0.01841660683080978	0.04167682693559145	2.8672486009361458e-05	True
TMR-AT	0.02727326510680536	0.005728813670716662	4.7607177811027555	3.298166229294234e-05	0.01564315505441452	0.0389033751591962	9.894498687882702e-05	True
FV2-FV1	-0.004191602743901913	0.00572881367071666	-0.7316702872232802	0.46924077843355305	-0.015821712796292752	0.007438507308488926	0.5865509730419413	False
TMR-FV1	-0.006965054520297172	0.00572881367071666	-1.215793516884598	0.23220056756598445	-0.018595164572688012	0.004665055532093667	0.3483008513489767	False
TMR-FV2	-0.0027734517763952585	0.005728813670716662	-0.4841232296613176	0.6313140563642293	-0.014403561828786101	0.008856658275995584	0.6764079175331028	False
rstc_run2-rstc_run1	-0.00026535028089401174	0.0023387783874560847	-0.11345678680682363	0.9103167266958805	-0.005013322827689161	0.0044826222659011365	0.9103167266958805	False
