	AB_ratios	BS	Trt	Run	residual	fitted_values
s123	0.04078310505696802	FL	TMR	rstc_run2	0.000132752581514968	0.04065035247545305
s124	0.039217386369145985	FL	TMR	rstc_run2	-0.0014329661063070681	0.04065035247545305
s125	0.05920263713185392	FL	AN1	rstc_run2	0.002667396480345495	0.056535240651508424
s126	0.03963667615542878	FL	AN1	rstc_run2	-0.016898564496079647	0.056535240651508424
s127	0.04785369314667688	FL	AN2	rstc_run2	0.0008425556348672231	0.04701113751180966
s128	0.04715422764992578	FL	AN2	rstc_run2	0.0001430901381161212	0.04701113751180966
s129	0.0013623283936621754	FL	AT	rstc_run2	-0.012014758974985516	0.013377087368647692
s130	0.04495270067704782	FL	AT	rstc_run2	0.03157561330840013	0.013377087368647692
s131	0.045902802591912824	FL	FV1	rstc_run2	-0.0017126044038374005	0.047615406995750224
s132	0.043264616855152836	FL	FV1	rstc_run2	-0.004350790140597388	0.047615406995750224
s133	0.04511733945661393	FL	FV2	rstc_run2	0.0016935352047656102	0.043423804251848316
s134	0.04320174048931569	FL	FV2	rstc_run2	-0.00022206376253262883	0.043423804251848316
s44	0.04453842415432837	FL	TMR	rstc_run1	0.003622721397981303	0.04091570275634707
s45	0.03859319488315748	FL	TMR	rstc_run1	-0.0023225078731895846	0.04091570275634707
s46	0.07875534213181325	FL	AN1	rstc_run1	0.02195475119941081	0.05680059093240244
s47	0.049077007748725594	FL	AN1	rstc_run1	-0.007723583183676844	0.05680059093240244
s48	0.049241187799267595	FL	AN2	rstc_run1	0.001964700006563923	0.04727648779270367
s49	0.04432614201315629	FL	AN2	rstc_run1	-0.002950345779547385	0.04727648779270367
s50	0.0030260734881698967	FL	AT	rstc_run1	-0.010616364161371808	0.013642437649541705
s51	0.004697947477498589	FL	AT	rstc_run1	-0.008944490172043115	0.013642437649541705
s52	0.05352201700012598	FL	FV1	rstc_run1	0.005641259723481742	0.04788075727664424
s53	0.048302892097597125	FL	FV1	rstc_run1	0.0004221348209528866	0.04788075727664424
s54	0.04553273382093383	FL	FV2	rstc_run1	0.0018435792881915034	0.04368915453274232
s55	0.040374103802317665	FL	FV2	rstc_run1	-0.003315050730424658	0.04368915453274232
s100	6.560488427382892e-05	FR	AT	rstc_run2	-0.0005152636566680718	0.0005808685409419007
s102	0.0015324465188271347	FR	AT	rstc_run2	0.000951577977885234	0.0005808685409419007
s104	0.005952370197295795	FR	FV1	rstc_run2	-0.0004414763770287109	0.006393846574324506
s106	0.006686009303578139	FR	FV1	rstc_run2	0.00029216272925363263	0.006393846574324506
s108	0.003471821131364032	FR	FV2	rstc_run2	-0.0018936938899508497	0.005365515021314882
s110	0.005106052071462646	FR	FV2	rstc_run2	-0.0002594629498522353	0.005365515021314882
s11	0.005491387808611985	FR	TMR	rstc_run1	-0.0004017979540738969	0.005893185762685882
s13	0.00565087779196274	FR	AN1	rstc_run1	-0.0009465850839588509	0.006597462875921591
s15	0.006156993229378592	FR	AN1	rstc_run1	-0.0004404696465429986	0.006597462875921591
s17	0.006943880805004433	FR	AN2	rstc_run1	0.000355346006200556	0.006588534798803877
s19	0.005262316691704645	FR	AN2	rstc_run1	-0.001326218107099232	0.006588534798803877
s21	0.00029210063648564045	FR	AT	rstc_run1	-0.0005541181853502741	0.0008462188218359146
s23	0.0009640226859689657	FR	AT	rstc_run1	0.00011780386413305112	0.0008462188218359146
s25	0.006457277311448615	FR	FV1	rstc_run1	-0.00020191954376990503	0.00665919685521852
s27	0.0070104300467634575	FR	FV1	rstc_run1	0.0003512331915449373	0.00665919685521852
s29	0.006092457240907282	FR	FV2	rstc_run1	0.00046159193869839323	0.005630865302208889
s31	0.007322430203313598	FR	FV2	rstc_run1	0.0016915649011047095	0.005630865302208889
s88	0.005155886794685728	FR	TMR	rstc_run2	-0.00047194868710614	0.005627835481791868
s90	0.005184818040187377	FR	TMR	rstc_run2	-0.00044301744160449123	0.005627835481791868
s92	0.005065093575071678	FR	AN1	rstc_run2	-0.0012670190199558983	0.006332112595027577
s94	0.008986186345485312	FR	AN1	rstc_run2	0.0026540737504577357	0.006332112595027577
s96	0.006177516049236704	FR	AN2	rstc_run2	-0.00014566846867315915	0.006323184517909863
s98	0.007439725087481663	FR	AN2	rstc_run2	0.0011165405695717995	0.006323184517909863
s9	0.007209949845470289	FR	TMR	rstc_run1	0.0013167640827844067	0.005893185762685882
