	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
FR-FL	-305.2759579493998	52.60052090014747	-5.803667962317536	1.400954166053753e-06	-412.06069245888705	-198.49122343991257	1.400954166053753e-06	True
AN2-AN1	0.11031927437929312	52.60052090014742	0.0020973038382778434	0.9983385036029349	-106.67441523510783	106.89505378386642	0.9983385036029349	False
AT-AN1	-257.45930364040777	52.60052090014739	-4.894615095716407	2.2047487471417352e-05	-364.24403814989483	-150.6745691309207	6.614246241425206e-05	True
FV1-AN1	5.554999349842248	52.60052090014742	0.10560730682472537	0.9164968762697125	-101.22973515964487	112.33973385932937	0.9983385036029349	False
FV2-AN1	32.001160793816666	52.60052090014744	0.6083810625101047	0.5468629976935379	-74.78357371567049	138.78589530330382	0.9983385036029349	False
TMR-AN1	8.694947515006305	52.600520900147416	0.1653015477073334	0.8696577385431173	-98.0897869944808	115.47968202449341	0.9983385036029349	False
AT-AN2	-257.56962291478703	52.60052090014739	-4.896712399554684	2.1908590355094204e-05	-364.3543574242741	-150.78488840529997	6.614246241425206e-05	True
FV1-AN2	5.444680075462955	52.60052090014738	0.1035100029864476	0.9181490596123776	-101.34005443402408	112.22941458494999	0.9983385036029349	False
FV2-AN2	31.890841519437373	52.60052090014742	0.606283758671827	0.5482387713466881	-74.89389299004975	138.6755760289245	0.9983385036029349	False
TMR-AN2	8.584628240627012	52.6005209001474	0.16320424386905558	0.8712963506954853	-98.20010626886007	115.36936275011409	0.9983385036029349	False
FV1-AT	263.01430299025003	52.60052090014739	5.000222402541133	1.6032053342389386e-05	156.22956848076296	369.7990374997371	6.614246241425206e-05	True
FV2-AT	289.46046443422443	52.60052090014739	5.502996158226512	3.492292457597351e-06	182.67572992473737	396.2451989437115	5.2384386863960265e-05	True
TMR-AT	266.15425115541404	52.60052090014741	5.059916643423738	1.3385676006804294e-05	159.36951664592695	372.9389856649011	6.614246241425206e-05	True
FV2-FV1	26.446161443974418	52.6005209001474	0.5027737556853796	0.6182725168051111	-80.33857306551266	133.2308959534615	0.9983385036029349	False
TMR-FV1	3.139948165164057	52.6005209001474	0.059694240882608024	0.9527387080665468	-103.64478634432302	109.92468267465114	0.9983385036029349	False
TMR-FV2	-23.30621327881036	52.60052090014742	-0.44307951480277147	0.660434890516895	-130.09094778829748	83.47852123067676	0.9983385036029349	False
rstc_run2-rstc_run1	-48.38193763860646	21.47407273499388	-2.2530396648868507	0.030627221949396922	-91.97662294974205	-4.787252327470867	0.030627221949396922	True
