	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	-1.9887365995631348	0.7474142561985953	-2.6608224061419405	0.016465922469106442	-3.565642840385531	-0.4118303587407386	0.016465922469106442	True
AN2-AN1	0.9060187368546562	1.2945594660372688	0.6998664492624961	0.4934775118413177	-1.8252629910221778	3.6373004647314904	0.6729238797836151	False
AT-AN1	-2.3006768876953614	1.2945594660372688	-1.777189034612588	0.09343209267159658	-5.031958615572195	0.4306048401814726	0.45718949968800476	False
FV1-AN1	-0.5362220816190012	1.294559466037269	-0.41421201241563044	0.6838981411725868	-3.2675038094958357	2.195059646257833	0.8548726764657335	False
FV2-AN1	-0.19314800942472174	1.294559466037269	-0.14919979691312318	0.8831516542869958	-2.924429737301556	2.5381337184521127	0.8831516542869958	False
TMR-AN1	1.2351621293291568	1.2945594660372692	0.9541177224635872	0.35339520165238036	-1.496119598547678	3.9664438572059915	0.5889920027539673	False
AT-AN2	-3.2066956245500178	1.2945594660372692	-2.4770554838750836	0.02404968796414989	-5.937977352426852	-0.4754138966731829	0.18037265973112418	False
FV1-AN2	-1.4422408184736573	1.294559466037269	-1.1140784616781263	0.2807494449369183	-4.173522546350492	1.2890409094031772	0.5348684898089118	False
FV2-AN2	-1.099166746279378	1.294559466037269	-0.8490662461756191	0.40764237906838163	-3.8304484741562126	1.6321149815974565	0.6114635686025724	False
TMR-AN2	0.32914339247450064	1.294559466037269	0.25425127320109137	0.8023512821597085	-2.402138335402334	3.060425120351335	0.8596620880282592	False
FV1-AT	1.76445480607636	1.294559466037269	1.3629770221969573	0.19067189189382458	-0.9668269218004744	4.4957365339531945	0.4766797297345614	False
FV2-AT	2.1075288782706396	1.294559466037269	1.6279892376994647	0.12191719991680126	-0.6237528496061948	4.838810606147474	0.45718949968800476	False
TMR-AT	3.535839017024518	1.294559466037269	2.731306757076175	0.014213791053122626	0.8045572891476835	6.267120744901352	0.18037265973112418	False
FV2-FV1	0.34307407219427943	1.2945594660372686	0.2650122155025073	0.794186636826367	-2.388207655682554	3.074355800071113	0.8596620880282592	False
TMR-FV1	1.771384210948158	1.2945594660372688	1.3683297348792178	0.18902274791863494	-0.9598975169286761	4.502665938824991	0.4766797297345614	False
TMR-FV2	1.4283101387538786	1.2945594660372688	1.1033175193767106	0.28526319456475296	-1.3029715891229554	4.159591866630713	0.5348684898089118	False
