	AE_ratios	Run	Trt	residual	fitted_values
s100	0.013356428376191469	rstc_run2	AT	0.7155766487934042	-0.7022202204172128
s102	0.16869278172408136	rstc_run2	AT	0.8709130021412941	-0.7022202204172128
s104	0.5025974425575408	rstc_run2	FV1	-0.5596371431016065	1.0622345856591473
s106	0.19075220606311435	rstc_run2	FV1	-0.8714823795960329	1.0622345856591473
s108	0.4211789203563925	rstc_run2	FV2	-0.9841297374970346	1.405308657853427
s110	1.7090117168343026	rstc_run2	FV2	0.3037030589808756	1.405308657853427
s11	3.620787363107272	rstc_run1	TMR	-1.2015680330631686	4.82235539617044
s13	6.081277620209875	rstc_run1	AN1	2.4940843533685912	3.5871932668412834
s15	3.3754938946804853	rstc_run1	AN1	-0.21169937216079804	3.5871932668412834
s17	3.0830788546169354	rstc_run1	AN2	-1.410133149079004	4.493212003695939
s19	4.999319099827162	rstc_run1	AN2	0.5061070961312231	4.493212003695939
s21	0.17521363894803335	rstc_run1	AT	-1.1113027401978886	1.286516379145922
s23	0.8113294684091137	rstc_run1	AT	-0.4751869107368083	1.286516379145922
s25	2.0816903220697967	rstc_run1	FV1	-0.9692808631524854	3.050971185222282
s27	5.451371571072409	rstc_run1	FV1	2.400400385850127	3.050971185222282
s29	2.8617542791550914	rstc_run1	FV2	-0.5322909782614702	3.3940452574165616
s31	4.606762914194198	rstc_run1	FV2	1.2127176567776368	3.3940452574165616
s88	0.4876733824336621	rstc_run2	TMR	-2.3459454141736433	2.8336187966073054
s90	7.0829796893200685	rstc_run2	TMR	4.2493608927127635	2.8336187966073054
s92	0.07670544723022418	rstc_run2	AN1	-1.5217512200479244	1.5984566672781486
s94	0.8378229061182844	rstc_run2	AN1	-0.7606337611598643	1.5984566672781486
s96	4.738364023318199	rstc_run2	AN2	2.233888619185394	2.504475404132805
s98	1.174612837895194	rstc_run2	AN2	-1.3298625662376107	2.504475404132805
s9	4.120507950694492	rstc_run1	TMR	-0.7018474454759485	4.82235539617044
