	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
FR-FL	0.019674150449284798	0.006880148392146617	2.8595532142507225	0.007104936151091302	0.005706706650849104	0.033641594247720494	0.007104936151091302	True
AN2-AN1	-4.608186615485306e-05	0.006880148392146611	-0.00669780119967376	0.994693999424862	-0.014013525664590534	0.013921361932280829	0.9998189140506314	False
AT-AN1	3.8718369915420355e-05	0.006880148392146606	0.005627548667353703	0.9955418437934109	-0.013928725428520252	0.01400616216835109	0.9998189140506314	False
FV1-AN1	-4.4250229619146266e-05	0.006880148392146611	-0.00643158070102906	0.9949048963489111	-0.014011694028054827	0.013923193568816536	0.9998189140506314	False
FV2-AN1	-4.765455998778231e-05	0.006880148392146613	-0.006926385489327221	0.9945129177958805	-0.014015098358423468	0.013919789238447902	0.9998189140506314	False
TMR-AN1	-6.646718893053793e-05	0.0068801483921466094	-0.009660720255163006	0.9923468374482268	-0.014033910987366217	0.01390097660950514	0.9998189140506314	False
AT-AN2	8.480023607027341e-05	0.006880148392146606	0.012325349867027467	0.9902360324875592	-0.013882643562365397	0.014052244034505945	0.9998189140506314	False
FV1-AN2	1.831636535706797e-06	0.006880148392146606	0.0002662204986446995	0.999789098403667	-0.013965612161899964	0.013969275434971378	0.9998189140506314	False
FV2-AN2	-1.5726938329292458e-06	0.00688014839214661	-0.0002285842896534626	0.9998189140506314	-0.013969016492268609	0.013965871104602751	0.9998189140506314	False
TMR-AN2	-2.038532277568487e-05	0.006880148392146609	-0.002962919055489244	0.9976527599153275	-0.01398782912121136	0.013947058475659992	0.9998189140506314	False
FV1-AT	-8.296859953456663e-05	0.006880148392146606	-0.012059129368382769	0.990446917963262	-0.014050412397970238	0.013884475198901104	0.9998189140506314	False
FV2-AT	-8.637292990320266e-05	0.006880148392146606	-0.012553934156680931	0.9900549609477292	-0.014053816728338874	0.013881070868532469	0.9998189140506314	False
TMR-AT	-0.0001051855588459583	0.0068801483921466094	-0.015288268922516708	0.9878890198586523	-0.014072629357281636	0.01386225823958972	0.9998189140506314	False
FV2-FV1	-3.4043303686360428e-06	0.006880148392146608	-0.0004948047882981622	0.9996080124665662	-0.01397084812880431	0.01396403946806704	0.9998189140506314	False
TMR-FV1	-2.221695931139167e-05	0.006880148392146609	-0.0032291395541339434	0.9974418593567376	-0.013989660757747067	0.013945226839124285	0.9998189140506314	False
TMR-FV2	-1.8812628942755626e-05	0.00688014839214661	-0.002734334765835781	0.9978338451101953	-0.013986256427378435	0.013948631169492924	0.9998189140506314	False
rstc_run2-rstc_run1	0.006183164023729069	0.0028088088192315492	2.201347411541059	0.03439699664657397	0.00048097897086761803	0.011885349076590519	0.03439699664657397	True
