	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	0.012294609733113618	0.005300126938743173	2.3196821274678863	0.033060393269285365	0.0011123193532599843	0.023476900112967252	0.033060393269285365	True
AN2-AN1	-0.017142393764603015	0.009180089144467675	-1.8673450219090493	0.07919414003331408	-0.03651068884749819	0.002225901318292159	0.3979829866748995	False
AT-AN1	-0.015665128180124062	0.009180089144467675	-1.7064244076066035	0.10612879644663986	-0.03503342326301924	0.003703166902771112	0.3979829866748995	False
FV1-AN1	-0.007057505365269711	0.009180089144467676	-0.7687839686745168	0.4525705231924234	-0.026425800448164893	0.01231078971762547	0.7542842053207057	False
FV2-AN1	-0.01614067093995948	0.009180089144467676	-1.7582259481310762	0.09669749310455045	-0.035508966022854666	0.0032276241429357	0.3979829866748995	False
TMR-AN1	-0.016235274859968257	0.009180089144467678	-1.7685312859682132	0.09491079608403027	-0.03560356994286344	0.003133020222926927	0.3979829866748995	False
AT-AN2	0.0014772655844789533	0.009180089144467678	0.16092061430244584	0.8740527695710932	-0.01789102949841623	0.020845560667374138	0.9918976473699136	False
FV1-AN2	0.010084888399333304	0.009180089144467676	1.098561053234532	0.2872752903939733	-0.009283406683561876	0.029453183482228487	0.6779257219571132	False
FV2-AN2	0.001001722824643534	0.009180089144467676	0.10911907377797263	0.9143857370703505	-0.018366572258251647	0.020370017907538715	0.9918976473699136	False
TMR-AN2	0.0009071189046347579	0.009180089144467676	0.09881373594083533	0.9224419854412692	-0.018461176178260423	0.02027541398752994	0.9918976473699136	False
FV1-AT	0.008607622814854351	0.009180089144467676	0.9376404389320862	0.36156038504379373	-0.01076067226804083	0.02797591789774953	0.6779257219571132	False
FV2-AT	-0.0004755427598354192	0.009180089144467676	-0.051801540524473236	0.9592906550916187	-0.0198438378427306	0.018892752323059762	0.9918976473699136	False
TMR-AT	-0.0005701466798441954	0.009180089144467676	-0.06210687836161054	0.9512020894949084	-0.019938441762739376	0.018798148403050986	0.9918976473699136	False
FV2-FV1	-0.00908316557468977	0.009180089144467675	-0.9894419794565597	0.33632177646543693	-0.028451460657584943	0.010285129508205404	0.6779257219571132	False
TMR-FV1	-0.009177769494698547	0.009180089144467675	-0.9997473172936969	0.3314515507520849	-0.02854606457759372	0.010190525588196627	0.6779257219571132	False
TMR-FV2	-9.460392000877615e-05	0.009180089144467675	-0.010305337837137305	0.9918976473699136	-0.01946289900290395	0.019273691162886398	0.9918976473699136	False
