	EB_ratios	Run	Trt	residual	fitted_values
s100	0.004911858352100554	rstc_run2	AT	-0.0054483004284760035	0.010360158780576558
s102	0.0090842447623731	rstc_run2	AT	-0.0012759140182034574	0.010360158780576558
s104	0.011843216246796415	rstc_run2	FV1	-0.007124565348634494	0.01896778159543091
s106	0.03505075742802121	rstc_run2	FV1	0.0160829758325903	0.01896778159543091
s108	0.008243102784978536	rstc_run2	FV2	-0.0016415132357626028	0.009884616020741139
s110	0.0029877220976114024	rstc_run2	FV2	-0.006896893923129736	0.009884616020741139
s11	0.0015166280860799872	rstc_run1	TMR	0.004021225718461243	-0.0025045976323812558
s13	0.0009292254267726917	rstc_run1	AN1	-0.012801451800814309	0.013730677227587001
s15	0.001824027363545682	rstc_run1	AN1	-0.01190664986404132	0.013730677227587001
s17	0.002252255337097822	rstc_run1	AN2	0.005663971874113835	-0.0034117165370160137
s19	0.001052606682355318	rstc_run1	AN2	0.004464323219371332	-0.0034117165370160137
s21	0.0016671112947564237	rstc_run1	AT	0.0036015622472934843	-0.0019344509525370604
s23	0.001188201246848902	rstc_run1	AT	0.0031226521993859627	-0.0019344509525370604
s25	0.003101939439785756	rstc_run1	FV1	-0.0035712324225315346	0.006673171862317291
s27	0.001285993800893001	rstc_run1	FV1	-0.0053871780614242895	0.006673171862317291
s29	0.00212892395594007	rstc_run1	FV2	0.004538917668312549	-0.0024099937123724796
s31	0.0015894957782072916	rstc_run1	FV2	0.003999489490579771	-0.0024099937123724796
s88	0.010572417893623873	rstc_run2	TMR	0.000782405792891511	0.009790012100732362
s90	0.0007320108580863506	rstc_run2	TMR	-0.009058001242646012	0.009790012100732362
s92	0.06603303621800517	rstc_run2	AN1	0.040007749257304555	0.026025286960700618
s94	0.010725639368251693	rstc_run2	AN1	-0.015299647592448925	0.026025286960700618
s96	0.0013037233988009832	rstc_run2	AN2	-0.007579169797296621	0.008882893196097605
s98	0.006333767899909058	rstc_run2	AN2	-0.002549125296188546	0.008882893196097605
s9	0.0017497720989120007	rstc_run1	TMR	0.004254369731293256	-0.0025045976323812558
