	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
FR-FL	-3.530127986204919	3.410686122192029	-1.0350198932806298	0.30775832787355806	-10.454188923640373	3.3939329512305356	0.30775832787355806	False
AN2-AN1	-2.210851977962763	3.4106861221920264	-0.6482132623044956	0.5210772492551108	-9.134912915398212	4.713208959472686	0.6012429799097432	False
AT-AN1	-10.07828721130386	3.4106861221920237	-2.9549148910913607	0.005562773405261947	-17.0023481487393	-3.1542262738684155	0.027813867026309735	True
FV1-AN1	0.3898950933059009	3.4106861221920264	0.11431573570168274	0.9096407848369307	-6.534165844129548	7.31395603074135	0.9096407848369307	False
FV2-AN1	-4.014991335569321	3.4106861221920273	-1.1771799549203052	0.24706717808334028	-10.939052273004773	2.90906960186613	0.33690978829546403	False
TMR-AN1	4.445752116640491	3.4106861221920255	1.3034773524639771	0.20092126827885773	-2.4783088207949566	11.369813054075937	0.33690978829546403	False
AT-AN2	-7.867435233341096	3.4106861221920237	-2.3067016287868647	0.027109437461553133	-14.79149617077654	-0.9433742959056524	0.0813283123846594	False
FV1-AN2	2.600747071268664	3.4106861221920237	0.762528998006179	0.4508530810732184	-4.32331386616678	9.524808008704108	0.563566351341523	False
FV2-AN2	-1.8041393576065579	3.410686122192026	-0.5289666926158099	0.6001674714917675	-8.728200295042006	5.11992157982889	0.6430365765983224	False
TMR-AN2	6.656604094603254	3.4106861221920246	1.9516906147684736	0.059013432738902166	-0.26745684283219173	13.580665032038699	0.1475335818472554	False
FV1-AT	10.46818230460976	3.4106861221920237	3.0692306267930434	0.004129091654361506	3.5441213671743164	17.392243242045204	0.027813867026309735	True
FV2-AT	6.063295875734538	3.410686122192024	1.777734936171054	0.08413768745216062	-0.8607650617009064	12.987356813169983	0.18029504454034417	False
TMR-AT	14.524039327944351	3.4106861221920255	4.2583922435553365	0.00014691240827179633	7.599978390508904	21.4481002653798	0.0022036861240769447	True
FV2-FV1	-4.404886428875222	3.4106861221920246	-1.291495690621989	0.20499614503774188	-11.328947366310668	2.5191745085602237	0.33690978829546403	False
TMR-FV1	4.05585702333459	3.4106861221920246	1.189161616762295	0.24238142421548284	-2.8682039141008557	10.979917960770035	0.33690978829546403	False
TMR-FV2	8.460743452209812	3.410686122192026	2.480657307384283	0.01806881442790573	1.5366825147743635	15.38480438964526	0.0677580541046465	False
rstc_run2-rstc_run1	6.8336055232418715	1.3924067786937164	4.907765193195055	2.1190817468172942e-05	4.006869482466238	9.660341564017505	2.1190817468172942e-05	True
