	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	4.3555553207590645	1.6361908940624228	2.662009265890031	0.016425317445007585	0.9034942841573654	7.8076163573607635	0.016425317445007585	True
AN2-AN1	-0.49946556701627376	2.8339657593976626	-0.17624262585389572	0.8621858046818633	-6.478610673239301	5.479679539206754	0.9379328806515815	False
AT-AN1	-8.112708341375445	2.8339657593976626	-2.8626698521226093	0.010781695504354195	-14.091853447598472	-2.133563235152417	0.058540794545793924	False
FV1-AN1	-0.22396364828834825	2.8339657593976635	-0.07902835365800252	0.9379328806515815	-6.203108754511378	5.7551814579346825	0.9379328806515815	False
FV2-AN1	-2.823766654172444	2.8339657593976635	-0.996401119106186	0.3330274633025173	-8.802911760395475	3.155378452050586	0.697086378396782	False
TMR-AN1	0.47832638346470535	2.833965759397664	0.1687834025088467	0.8679589568542028	-5.500818722758326	6.4574714896877365	0.9379328806515815	False
AT-AN2	-7.613242774359171	2.833965759397664	-2.6864272262687123	0.015610878545545047	-13.592387880582201	-1.6340976681361399	0.058540794545793924	False
FV1-AN2	0.2755019187279255	2.8339657593976635	0.09721427219589315	0.9236931753504374	-5.703643187495105	6.254647024950955	0.9379328806515815	False
FV2-AN2	-2.3243010871561705	2.8339657593976635	-0.8201584932522903	0.42347689497190044	-8.303446193379202	3.65484401906686	0.7057948249531675	False
TMR-AN2	0.9777919504809791	2.8339657593976635	0.34502602836274243	0.7343068037353017	-5.001353155742051	6.956937056704009	0.9379328806515815	False
FV1-AT	7.888744693087096	2.8339657593976635	2.7836414984646054	0.012736121808170872	1.9095995868640658	13.867889799310127	0.058540794545793924	False
FV2-AT	5.288941687203001	2.8339657593976635	1.8662687330164223	0.07935212241175238	-0.6902034190200297	11.268086793426031	0.23805636723525714	False
TMR-AT	8.59103472484015	2.8339657593976635	3.0314532546314545	0.007531843578580845	2.611889618617119	14.570179831063179	0.058540794545793924	False
FV2-FV1	-2.599803005884096	2.8339657593976626	-0.9173727654481837	0.37177940181161706	-8.578948112107124	3.3793421003389317	0.697086378396782	False
TMR-FV1	0.7022900317530536	2.833965759397663	0.2478117561668493	0.8072484786702405	-5.276855074469976	6.681435137976083	0.9379328806515815	False
TMR-FV2	3.3020930376371496	2.8339657593976626	1.1651845216150332	0.2600339984434262	-2.677052068585878	9.281238143860177	0.6500849961085654	False
