	ratios	Run	Trt	residual	fitted_values
s100	0.0	rstc_run2	AT	-3.4260615193777477	3.4260615193777477
s102	0.18599257884971007	rstc_run2	AT	-3.2400689405280376	3.4260615193777477
s104	12.114143920597327	rstc_run2	FV1	0.799337708132482	11.314806212464845
s106	12.172661870508078	rstc_run2	FV1	0.857855658043233	11.314806212464845
s108	10.115044247788646	rstc_run2	FV2	1.4000410412078974	8.715003206580748
s110	7.1964529331517	rstc_run2	FV2	-1.5185502734290486	8.715003206580748
s11	10.44973544973599	rstc_run1	TMR	2.788194526277156	7.661540923458833
s13	2.2300884955752247	rstc_run1	AN1	-4.953126044418903	7.183214539994128
s15	4.2843205574912835	rstc_run1	AN1	-2.8988939825028446	7.183214539994128
s17	4.25732899022802	rstc_run1	AN2	-2.4264199827498345	6.683748972977854
s19	9.156498673740177	rstc_run1	AN2	2.472749700762323	6.683748972977854
s21	3.200000000000083	rstc_run1	AT	4.1294938013813995	-0.9294938013813168
s23	1.607142857143078	rstc_run1	AT	2.5366366585243947	-0.9294938013813168
s25	6.194214876033177	rstc_run1	FV1	-0.765036015672603	6.95925089170578
s27	6.067093541202666	rstc_run1	FV1	-0.8921573505031146	6.95925089170578
s29	2.658115316230634	rstc_run1	FV2	-1.7013325695910497	4.359447885821684
s31	6.179289687633898	rstc_run1	FV2	1.8198418018122142	4.359447885821684
s88	7.346774193549295	rstc_run2	TMR	-4.670322050668603	12.017096244217898
s90	14.009174311928481	rstc_run2	TMR	1.9920780677105832	12.017096244217898
s92	22.69999999999932	rstc_run2	AN1	11.161230139246129	11.538769860753192
s94	8.22955974842882	rstc_run2	AN1	-3.3092101123243722	11.538769860753192
s96	10.811059907835627	rstc_run2	AN2	-0.22824438590129148	11.039304293736919
s98	11.22121896162573	rstc_run2	AN2	0.18191466788881172	11.039304293736919
s9	7.551590380139705	rstc_run1	TMR	-0.10995054331912879	7.661540923458833
