Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Formula	Mode	Group1	Group2	p	q	sType	Metric
Trt	5	0.0469764822545953	0.009395296450919	2.26982056514521	0.337936512712145	0.008	'Trt + rstc_run'	General					FL	bray_curtis
rstc_run	1	0.0216664903878894	0.0216664903878894	5.23443253907562	0.155863058555822	0.001	'Trt + rstc_run'	General					FL	bray_curtis
Trt	1	0.0016274896719338	0.0016274896719338	0.347878181208846	0.0473711714904092		'Trt + rstc_run'	Pairwise	AN2	AN1	0.82	0.8493103448275862	FL	bray_curtis
Trt	1	0.0022561313217423	0.0022561313217423	0.504771451630456	0.0656689633530055		'Trt + rstc_run'	Pairwise	AN2	FV1	0.664	0.7968	FL	bray_curtis
Trt	1	0.0021697773610483	0.0021697773610483	0.527847378619228	0.0669760098707499		'Trt + rstc_run'	Pairwise	AN2	FV2	0.704	0.8055555555555555	FL	bray_curtis
Trt	1	0.0200917342135699	0.0200917342135699	4.19828357401254	0.382110203354723		'Trt + rstc_run'	Pairwise	AN2	AT	0.018	0.06749999999999999	FL	bray_curtis
Trt	1	0.0023156000374161	0.0023156000374161	0.783985375313583	0.0819717986773907		'Trt + rstc_run'	Pairwise	AN2	TMR	0.564	0.7049999999999998	FL	bray_curtis
Trt	1	0.001733455586694	0.001733455586694	0.359230485236149	0.0483665849548811		'Trt + rstc_run'	Pairwise	AN1	FV1	0.725	0.8055555555555555	FL	bray_curtis
Trt	1	0.0024661455769964	0.0024661455769964	0.533171063842644	0.0710721282903807		'Trt + rstc_run'	Pairwise	AN1	FV2	0.821	0.8493103448275862	FL	bray_curtis
Trt	1	0.0231514036566166	0.0231514036566166	4.69423644321749	0.401605329254066		'Trt + rstc_run'	Pairwise	AN1	AT	0.009	0.054	FL	bray_curtis
Trt	1	0.0045618118060608	0.0045618118060608	1.31666477478222	0.140357216180233		'Trt + rstc_run'	Pairwise	AN1	TMR	0.189	0.25772727272727275	FL	bray_curtis
Trt	1	0.0012095869322485	0.0012095869322485	0.273740579993568	0.0368619148387798		'Trt + rstc_run'	Pairwise	FV1	FV2	0.895	0.895	FL	bray_curtis
Trt	1	0.0251397722726946	0.0251397722726946	5.1124228549536	0.426048101511795		'Trt + rstc_run'	Pairwise	FV1	AT	0.004	0.030000000000000002	FL	bray_curtis
Trt	1	0.00603571463466	0.00603571463466	1.83466327812451	0.180998803596161		'Trt + rstc_run'	Pairwise	FV1	TMR	0.131	0.22666666666666668	FL	bray_curtis
Trt	1	0.0222447275000612	0.0222447275000612	4.60240966144369	0.410128718991258		'Trt + rstc_run'	Pairwise	FV2	AT	0.033	0.099	FL	bray_curtis
Trt	1	0.0052320272058649	0.0052320272058649	1.60825781177408	0.170593348094722		'Trt + rstc_run'	Pairwise	FV2	TMR	0.113	0.22666666666666668	FL	bray_curtis
Trt	1	0.020694068986178	0.020694068986178	6.89975086011338	0.427613528358203		'Trt + rstc_run'	Pairwise	AT	TMR	0.003	0.030000000000000002	FL	bray_curtis
Trt	5	0.0487027300160567	0.0097405460032113	1.59594567983478	0.217891333132316	0.156	'Trt + rstc_run'	General					FR	bray_curtis
rstc_run	1	0.0710594917048583	0.0710594917048583	11.642785605677	0.317913336155318	0.001	'Trt + rstc_run'	General					FR	bray_curtis
