Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Formula	Mode	Group1	Group2	p	q	sType	Metric
Trt	5	0.110059886152646	0.0220119772305292	4.57440898107934	0.551229516693276	0.002	'Trt + rstc_run'	General					FL	bray_curtis
rstc_run	1	0.0077989479617927	0.0077989479617927	1.62073480386466	0.0390606465804677	0.176	'Trt + rstc_run'	General					FL	bray_curtis
Trt	1	0.0042105839504458	0.0042105839504458	1.0343571949547	0.135871783465937		'Trt + rstc_run'	Pairwise	AN2	AN1	0.426	0.49153846153846154	FL	bray_curtis
Trt	1	0.0054582631860789	0.0054582631860789	2.21369939059787	0.235245861210503		'Trt + rstc_run'	Pairwise	AN2	TMR	0.012	0.06	FL	bray_curtis
Trt	1	0.0023882053136348	0.0023882053136348	0.755182334304681	0.0945223215434677		'Trt + rstc_run'	Pairwise	AN2	FV2	0.495	0.5314285714285714	FL	bray_curtis
Trt	1	0.0537325686049641	0.0537325686049641	7.61738173627251	0.537607397433795		'Trt + rstc_run'	Pairwise	AN2	AT	0.01	0.06	FL	bray_curtis
Trt	1	0.0020251642537495	0.0020251642537495	0.524309303298271	0.0757593995184747		'Trt + rstc_run'	Pairwise	AN2	FV1	0.726	0.7510344827586206	FL	bray_curtis
Trt	1	0.011213641657711	0.011213641657711	3.64382149159153	0.357386236826083		'Trt + rstc_run'	Pairwise	AN1	TMR	0.006	0.06	FL	bray_curtis
Trt	1	0.0081385424292513	0.0081385424292513	2.02759785041446	0.243410643376449		'Trt + rstc_run'	Pairwise	AN1	FV2	0.104	0.25999999999999995	FL	bray_curtis
Trt	1	0.0768235677321578	0.0768235677321578	9.50090161101384	0.612346583800851		'Trt + rstc_run'	Pairwise	AN1	AT	0.024	0.09	FL	bray_curtis
Trt	1	0.0048045666100394	0.0048045666100394	1.14980918433037	0.150471930232321		'Trt + rstc_run'	Pairwise	AN1	FV1	0.401	0.4812	FL	bray_curtis
Trt	1	0.0083810506435779	0.0083810506435779	3.68354714801252	0.34009510013104		'Trt + rstc_run'	Pairwise	TMR	FV2	0.002	0.030000000000000002	FL	bray_curtis
Trt	1	0.0335631341203904	0.0335631341203904	5.89685029245401	0.458747590934053		'Trt + rstc_run'	Pairwise	TMR	AT	0.036	0.12	FL	bray_curtis
Trt	1	0.0102358070652233	0.0102358070652233	3.83861946276917	0.361350516132266		'Trt + rstc_run'	Pairwise	TMR	FV1	0.002	0.030000000000000002	FL	bray_curtis
Trt	1	0.0479717843132139	0.0479717843132139	5.96611303508193	0.51746758877562		'Trt + rstc_run'	Pairwise	FV2	AT	0.101	0.25999999999999995	FL	bray_curtis
Trt	1	0.0011393780963473	0.0011393780963473	0.321662222862559	0.0467651472498781		'Trt + rstc_run'	Pairwise	FV2	FV1	0.888	0.888	FL	bray_curtis
Trt	1	0.0600934004811525	0.0600934004811525	7.84339307737896	0.563437032370909		'Trt + rstc_run'	Pairwise	AT	FV1	0.012	0.06	FL	bray_curtis
Trt	5	0.0483384763973289	0.0096676952794657	2.2075998290648	0.279891665740612	0.037	'Trt + rstc_run'	General					FR	bray_curtis
rstc_run	1	0.0499180192214386	0.0499180192214386	11.3986847449117	0.289037607133442	0.001	'Trt + rstc_run'	General					FR	bray_curtis
Trt	1	0.0161927857285084	0.0161927857285084	2.8191228293759	0.252852780600296		'Trt + rstc_run'	Pairwise	TMR	AN2	0.03	0.06923076923076922	FR	bray_curtis
Trt	1	0.0101174558729486	0.0101174558729486	1.98914482731162	0.183937908792786		'Trt + rstc_run'	Pairwise	TMR	AT	0.16	0.19999999999999998	FR	bray_curtis
Trt	1	0.0027423724423239	0.0027423724423239	0.536265010069675	0.0445031065595271		'Trt + rstc_run'	Pairwise	TMR	AN1	0.559	0.5989285714285715	FR	bray_curtis
Trt	1	0.0038633069384868	0.0038633069384868	0.525639463639893	0.0580158094840814		'Trt + rstc_run'	Pairwise	TMR	FV1	0.525	0.5977777777777779	FR	bray_curtis
Trt	1	0.0097994907014102	0.0097994907014102	1.85156382949983	0.18344732249133		'Trt + rstc_run'	Pairwise	TMR	FV2	0.114	0.14869565217391303	FR	bray_curtis
Trt	1	0.025245592328921	0.025245592328921	7.71835061422739	0.493242759594933		'Trt + rstc_run'	Pairwise	AN2	AT	0.003	0.03	FR	bray_curtis
Trt	1	0.0122263279670427	0.0122263279670427	2.75246224588867	0.234418326476978		'Trt + rstc_run'	Pairwise	AN2	AN1	0.11	0.14869565217391303	FR	bray_curtis
Trt	1	0.005630245872994	0.005630245872994	0.959189902508074	0.11395516784416		'Trt + rstc_run'	Pairwise	AN2	FV1	0.464	0.5568	FR	bray_curtis
Trt	1	0.0021400611821098	0.0021400611821098	0.899828495759751	0.0798257804897543		'Trt + rstc_run'	Pairwise	AN2	FV2	0.538	0.5977777777777779	FR	bray_curtis
Trt	1	0.0114596664594464	0.0114596664594464	4.45595548146832	0.236627907919697		'Trt + rstc_run'	Pairwise	AT	AN1	0.046	0.092	FR	bray_curtis
Trt	1	0.0131309214727321	0.0131309214727321	2.73297782172477	0.243399950665416		'Trt + rstc_run'	Pairwise	AT	FV1	0.08	0.12600000000000003	FR	bray_curtis
Trt	1	0.0166010806949763	0.0166010806949763	7.27554724673651	0.43333700194831		'Trt + rstc_run'	Pairwise	AT	FV2	0.003	0.03	FR	bray_curtis
Trt	1	0.0024872912893348	0.0024872912893348	0.517053487558568	0.0434107361099037		'Trt + rstc_run'	Pairwise	AN1	FV1	0.586	0.603	FR	bray_curtis
Trt	1	0.009981943638562	0.009981943638562	3.04121944253107	0.218503988247343		'Trt + rstc_run'	Pairwise	AN1	FV2	0.106	0.14869565217391303	FR	bray_curtis
Trt	1	0.0033968866021894	0.0033968866021894	0.705344572585191	0.079097299020904		'Trt + rstc_run'	Pairwise	FV1	FV2	0.603	0.603	FR	bray_curtis
