feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	sType
K04037	Trt	FV1	7.21410668146394	0.431094328538593	24	18	2.0388922353887597e-12	1.7899611771116e-08	FR
K00202	Trt	AT	-7.12188076759521	0.429359987018963	24	21	2.3684567345174997e-12	1.7899611771116e-08	FR
K13812	Trt	AT	-5.20772396798974	0.334933701086616	24	21	1.74877687715307e-11	7.32774570841596e-08	FR
K04037	Trt	FV2	6.31023514308606	0.431094328538593	24	18	1.9391983350091898e-11	7.32774570841596e-08	FR
K05289	Trt	FV1	10.0911252843493	0.701387525024407	24	20	5.98930667941425e-11	1.81056740918693e-07	FR
K05289	Trt	AN1	9.27896212919515	0.701387525024407	24	20	2.2319056376771202e-10	3.74836152372107e-07	FR
K05289	Trt	AN2	9.30487697786746	0.701387525024407	24	20	2.13701878111317e-10	3.74836152372107e-07	FR
K05289	Trt	FV2	9.49417719457284	0.701387525024407	24	20	1.56064101097685e-10	3.74836152372107e-07	FR
K04037	Trt	AN2	5.47006717364293	0.431094328538593	24	18	2.04430194365233e-10	3.74836152372107e-07	FR
K07144	Trt	AT	-6.50941047771097	0.55109183255417	24	21	6.505825806339111e-10	8.9395960966196e-07	FR
K11260	Trt	AT	-5.58604512101257	0.472756329260325	24	22	6.470013500453401e-10	8.9395960966196e-07	FR
K04037	Trt	AN1	5.05693995842306	0.431094328538593	24	18	7.26835445384453e-10	9.15509813082167e-07	FR
K04038	Trt	FV1	3.77793363408988	0.311251598567503	24	16	8.44712654323424e-10	9.82140905392196e-07	FR
K07072	Trt	AT	-5.25648077130918	0.436141582490927	24	23	9.41515335045916e-10	1.01650030637279e-06	FR
K15904	Trt	AT	-4.31523280684141	0.379058061674381	24	21	1.17296287440485e-09	1.18195558977529e-06	FR
K00578	Trt	AT	-5.06074812823878	0.431996135620388	24	21	1.45252636553717e-09	1.37218350094339e-06	FR
K08966	Trt	AT	-5.86135521197529	0.502666725911757	24	21	1.55888810704038e-09	1.38603492575973e-06	FR
K11781	Trt	AT	-4.60657332952444	0.415579438414703	24	21	1.7901962216704402e-09	1.50326754947493e-06	FR
K16305	Trt	AT	-5.58273582206616	0.496963531885072	24	21	2.7425210056828e-09	2.07266025004477e-06	FR
K06982	Trt	AT	-5.27474935506242	0.487341727304407	24	24	2.60726280558418e-09	2.07266025004477e-06	FR
K00200	Trt	AT	-6.95985949659936	0.647359900219182	24	23	2.89700912740909e-09	2.08515680765659e-06	FR
K06914	Trt	AT	-6.54839991570662	0.614724185227031	24	22	3.3469544754881504e-09	2.2995098589547e-06	FR
K00584	Trt	AT	-4.21075872278	0.384083049972671	24	21	3.9576520665681e-09	2.60086569505117e-06	FR
K04038	Trt	FV2	3.35957872742322	0.311251598567503	24	16	4.99690892426215e-09	3.1470115995926e-06	FR
