feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	sType
K00202	Trt	AT	-7.00112179593741	0.424352363011009	24	21	2.5940702997061597e-12	1.14139093187071e-09	FR
K13812	Trt	AT	-5.0869649963319	0.326774677557624	24	21	1.7156327181364097e-11	3.7743919799001105e-09	FR
K07144	Trt	AT	-6.38865150605316	0.538886593975083	24	21	6.13358899925252e-10	8.73746731285084e-08	FR
K11260	Trt	AT	-5.51049195858904	0.472370780824516	24	22	7.94315210259167e-10	8.73746731285084e-08	FR
K07072	Trt	AT	-5.10624220322637	0.425861132502984	24	23	1.0186357147883701e-09	8.9639942901377e-08	FR
K11781	Trt	AT	-4.48581435786663	0.406108615134196	24	21	1.8923595673046103e-09	1.18948315659147e-07	FR
K00578	Trt	AT	-4.93998915658096	0.428432164535172	24	21	1.84865493347259e-09	1.18948315659147e-07	FR
K00200	Trt	AT	-6.79911521222285	0.637400880461579	24	23	3.2771105920538204e-09	1.8024108256296e-07	FR
K06914	Trt	AT	-6.37071930365501	0.605356949830607	24	22	4.04722806015675e-09	1.97864482940997e-07	FR
K00584	Trt	AT	-4.08999975112217	0.377114168936599	24	21	4.6519406700266806e-09	2.04685389481174e-07	FR
K00577	Trt	AT	-7.49248806336707	0.765547392273506	24	22	1.2424472352478e-08	4.96978894099119e-07	FR
K00201	Trt	AT	-6.41778843779513	0.663119091882707	24	23	1.47393262267728e-08	5.40441961648334e-07	FR
K00203	Trt	AT	-4.83836579801834	0.497896876668163	24	21	2.35224223492751e-08	7.96143525667773e-07	FR
K00320	Trt	AT	-6.80521312276172	0.743446342095497	24	22	3.42089718601205e-08	1.07513911560379e-06	FR
K00579	Trt	AT	-6.46964614294544	0.714551026125133	24	22	4.02768505526454e-08	1.17305856745635e-06	FR
K00582	Trt	AT	-4.18269236376117	0.448520373881837	24	21	4.26566751802308e-08	1.17305856745635e-06	FR
K14941	Trt	AT	-6.17265454642145	0.696457120317353	24	22	5.53145033907363e-08	1.35213230510689e-06	FR
K00401	Trt	AT	-4.95687918261469	0.558788056693458	24	23	5.45955211379596e-08	1.35213230510689e-06	FR
K00581	Trt	AT	-5.65360344046847	0.661899151176043	24	22	9.52509619274635e-08	2.20581174989915e-06	FR
K00402	Trt	AT	-5.30203473812279	0.62579381994486	24	24	1.07215938378085e-07	2.35875064431788e-06	FR
K00319	Trt	AT	-6.21750187511917	0.745913436847573	24	22	1.35874136559896e-07	2.84688667077878e-06	FR
K00672	Trt	AT	-6.39742626287918	0.774913092760515	24	22	1.56124288612779e-07	3.12248577225558e-06	FR
K18933	Trt	AT	-6.42295819587885	0.783696768120272	24	22	1.7340371565087e-07	3.317288473321e-06	FR
K00580	Trt	AT	-6.27791091699254	0.802404378128133	24	22	3.36006544797959e-07	6.16011998796257e-06	FR
K01499	Trt	AT	-3.74211865820955	0.493310457740542	24	24	5.18199529848165e-07	9.12031172532771e-06	FR
K11212	Trt	AT	-5.35993420216673	0.713601304902722	24	23	5.94468598006645e-07	1.00602378124201e-05	FR
K00197	Trt	AT	-2.77766129088628	0.363114389782329	24	24	6.68021998757869e-07	1.04974885519094e-05	FR
K09733	Trt	AT	-4.3248536610129	0.580073701656251	24	21	6.58591285373825e-07	1.04974885519094e-05	FR
K11780	Trt	AT	-3.24841748740593	0.446061987068626	24	21	9.09674152280924e-07	1.38019526552968e-05	FR
K00399	Trt	AT	-5.40164496768512	0.794810201484733	24	23	2.30149515274835e-06	3.37552622403091e-05	FR
K00194	Trt	AT	-2.64954652788647	0.39222478898789	24	24	3.36472216685764e-06	4.77573468844311e-05	FR
K00205	Trt	AT	-4.87148703895884	0.788552920626991	24	24	7.84713457695445e-06	0.0001078981004331	FR
K04480	Trt	AT	-3.69056337901157	0.661339465238023	24	24	2.69115918040883e-05	0.0003482676586411	FR
K14083	Trt	AT	-3.08271170236772	0.541062561027082	24	24	2.61819966280767e-05	0.0003482676586411	FR
K22481	Trt	AT	-3.81770901890751	0.698896936474608	24	19	4.21381230293682e-05	0.0005297364037977	FR
K14128	Trt	AT	-4.00447547589763	0.739963290474549	24	24	4.68172442956922e-05	0.000572210763614	FR
K22482	Trt	AT	-4.4366627074951	0.842221992594517	24	20	6.28170204200125e-05	0.0007470132158055	FR
K14081	Trt	AT	-3.37663415087396	0.674365181624306	24	23	9.14199965888085e-05	0.0010343272689672	FR
K14126	Trt	AT	-4.17514165320305	0.834057086742749	24	23	9.16790079311919e-05	0.0010343272689672	FR
K01689	Trt	AT	0.147067173792228	0.0300825289462743	24	24	0.0001383752446141	0.0015221276907555	FR
K22480	Trt	AT	-3.4266690547924	0.735683627376501	24	19	0.0002255382781652	0.0024204107900655	FR
K08097	Trt	AT	-2.87762607397835	0.631342262166913	24	19	0.000278984950527	0.0029226994817118	FR
K06034	Trt	AT	-4.49488374029687	1.00489021152579	24	20	0.000334521313596	0.0034230087902856	FR
K13831	Trt	AT	-2.08620607583588	0.495163099689447	24	24	0.0005227028545349	0.0052270285453497	FR
K16178	Trt	AT	-3.08691497282031	0.734319498233201	24	23	0.0005967402180782	0.0058347932434318	FR
K16176	Trt	AT	-1.55202914226541	0.385185286113207	24	24	0.0008701753693362	0.0083234165762598	FR
K00583	Trt	AT	-3.46249605240136	1.00654170787817	24	22	0.0031251192869917	0.0292564358782205	FR
K19793	Trt	AT	1.42023839753505	0.418928359531495	24	24	0.0034810451229547	0.0319095802937519	FR
K00125	Trt	AT	-0.725414814906409	0.215916584376715	24	24	0.0037182047028044	0.0333879605966115	FR
K00204	Trt	AT	-2.31343405849024	0.695939366196279	24	18	0.0040148015244029	0.0353302534147456	FR
K16792	Trt	AT	-4.16988392068694	1.28980651083042	24	21	0.0048881603196194	0.0421723635418152	FR
K14082	Trt	AT	-2.02223591813743	0.647262162697099	24	19	0.0058593431317771	0.0495790572688831	FR
K13039	Trt	AT	-3.52113401494236	1.12336267489338	24	19	0.0060412188029077	0.0501535145901778	FR
K10977	Trt	AT	-1.94980698852902	0.626022127999301	24	24	0.0063041657038184	0.0513672761051873	FR
K14084	Trt	AT	-0.862944499865348	0.278083364411844	24	24	0.006460276838915	0.0516822147113201	FR
K13942	Trt	AT	-2.60994791082569	0.871002502076132	24	20	0.0081152399207673	0.0637625993774574	FR
K10978	Trt	AT	-3.55548079701583	1.25149411556413	24	21	0.011286964071558	0.0871274419558863	FR
K16793	Trt	AT	-2.66757537236	0.96865142537687	24	22	0.0135565134080551	0.102842515509383	FR
K16179	Trt	AT	-0.838162876436579	0.314785104309844	24	24	0.0164034018360373	0.122330454370447	FR
K08094	Trt	FV1	0.493308575067597	0.195087867499308	24	24	0.0210162515004901	0.152463010680047	FR
K00125	Trt	AN2	0.54844436201735	0.215916584376715	24	24	0.0211369173897338	0.152463010680047	FR
K00193	Trt	AT	-2.32199149760691	0.935988251487442	24	16	0.0238669381267316	0.169378270576805	FR
K08094	Trt	AN1	0.470302555000393	0.195087867499308	24	24	0.0268294770346879	0.184956558661591	FR
K08264	Trt	AT	-0.863490566565857	0.356525270468595	24	24	0.0269027721689586	0.184956558661591	FR
K19793	Trt	AN2	1.00275789674755	0.418928359531495	24	24	0.0284913028728543	0.190291789938877	FR
K14127	Trt	AT	-0.531107231400236	0.221968368801813	24	24	0.0285437684908315	0.190291789938877	FR
K00925	Trt	AN2	-0.396850936186068	0.167833278218343	24	24	0.0302122371868084	0.195490946502878	FR
K00204	Trt	FV2	1.64685417004397	0.695939366196279	24	18	0.030101621412985	0.195490946502878	FR
K07072	Trt	FV2	-0.985029291984634	0.425861132502984	24	23	0.0335033849165926	0.209310526495243	FR
K01689	Trt	AN2	-0.0698836828243365	0.0300825289462743	24	24	0.0328372083783632	0.209310526495243	FR
K14127	Trt	AN2	0.512522532250689	0.221968368801813	24	24	0.0337751076844597	0.209310526495243	FR
K03390	Trt	AN2	0.508523401217011	0.225257801793555	24	24	0.0374209777281359	0.228683752783053	FR
K03388	Trt	AN2	0.47576710640276	0.211504760622418	24	24	0.0380252679781886	0.229193396032918	FR
K00018	Trt	AN2	0.532613612876345	0.239427937517046	24	24	0.0399462951257448	0.237518511558483	FR
K00201	Trt	AT	-5.63374482391299	0.81923543175775	24	24	1.96859614003416e-06	0.0004269678864363	FL
K07144	Trt	AT	-6.36899683351937	0.952427768826703	24	23	2.84645257624235e-06	0.0004269678864363	FL
K00200	Trt	AT	-4.72102391056892	0.688481053859611	24	24	2.04486923951284e-06	0.0004269678864363	FL
K22481	Trt	AT	-2.55568567302157	0.425733220609421	24	21	1.42545262237115e-05	0.0004419145630846	FL
K11212	Trt	AT	-2.6751537767275	0.42984730126897	24	24	7.15395579290496e-06	0.0004419145630846	FL
K22482	Trt	AT	-4.02444693945942	0.648862900728653	24	23	7.46686430686246e-06	0.0004419145630846	FL
K11781	Trt	AT	-7.3358866022689	1.13597879780966	24	24	4.47440866970588e-06	0.0004419145630846	FL
K09733	Trt	AT	-5.11502190186341	0.81372375788344	24	23	6.30824826197566e-06	0.0004419145630846	FL
K00579	Trt	AT	-5.09598097271622	0.863709879568139	24	23	1.3837286580149e-05	0.0004419145630846	FL
K00578	Trt	AT	-5.34944680998951	0.911353413369435	24	23	1.47304854361544e-05	0.0004419145630846	FL
K00582	Trt	AT	-5.43242191777355	0.910639381111048	24	22	1.2095936247693e-05	0.0004419145630846	FL
K13039	Trt	AT	-3.36936884739089	0.552601933908147	24	23	1.18457087738107e-05	0.0004419145630846	FL
K00672	Trt	AT	-4.55195324112524	0.761968166848396	24	24	1.18882941680856e-05	0.0004419145630846	FL
K22480	Trt	AT	-2.67916045069676	0.427486324385707	24	24	8.50957642282057e-06	0.0004419145630846	FL
K11260	Trt	AT	-4.55969201079191	0.768028757786787	24	24	1.28285993841292e-05	0.0004419145630846	FL
K00577	Trt	AT	-6.28016249419633	1.08215252120889	24	23	1.68991283745963e-05	0.0004752879855355	FL
K00584	Trt	AT	-5.28652166388168	0.917505390097782	24	23	1.84215161280266e-05	0.0004876283680948	FL
K07072	Trt	AT	-4.4649988757519	0.783744868834307	24	22	2.10843242630902e-05	0.0005271081065772	FL
K14941	Trt	AT	-6.35270303648441	1.13667502440471	24	23	2.64404850294954e-05	0.000540828102876	FL
K11780	Trt	AT	-5.25439680077067	0.939601795606928	24	23	2.62576411948986e-05	0.000540828102876	FL
K00581	Trt	AT	-6.05602648908921	1.07836550877314	24	23	2.49800740789425e-05	0.000540828102876	FL
K00580	Trt	AT	-5.07687169955157	0.900595199325275	24	24	2.3889459539532e-05	0.000540828102876	FL
K13812	Trt	AT	-6.26227924121061	1.14439586486506	24	23	3.38100920670951e-05	0.0006085816572077	FL
K18933	Trt	AT	-5.27103093026718	0.958288574264121	24	23	3.18463530856324e-05	0.0006085816572077	FL
K00320	Trt	AT	-6.00801025612343	1.09698916216092	24	24	3.34765793395078e-05	0.0006085816572077	FL
K06914	Trt	AT	-5.53514627546295	1.01677711475587	24	23	3.58964383708647e-05	0.0006212845102649	FL
K00319	Trt	AT	-5.8317041525607	1.09248943679615	24	22	4.49367919553615e-05	0.0007489465325893	FL
K03841	Trt	AT	-1.18402958291587	0.222845724659248	24	24	4.73714364411649e-05	0.0007613266570901	FL
K00203	Trt	AT	-5.20218439658296	0.985696732538562	24	24	5.11043181747129e-05	0.000792998040642	FL
K06034	Trt	AT	-2.74692494991674	0.524272012785235	24	24	6.65963272778654e-05	0.0009989449091679	FL
K00202	Trt	AT	-4.83367120387377	0.940976716682351	24	24	6.9104153862554e-05	0.0010031248141338	FL
K00205	Trt	AT	-4.45028560992602	0.874357258210855	24	24	7.64767267064604e-05	0.0010754539693096	FL
K13831	Trt	AT	-1.95198627118389	0.408501536704031	24	24	0.0001503212202835	0.0020498348220482	FL
K00399	Trt	AT	-3.0913876135176	0.659063414843041	24	24	0.000182173582492	0.002411120944747	FL
K14082	Trt	AT	-4.42466834304767	0.938687348109016	24	22	0.0002003099126485	0.0025754131626238	FL
K00402	Trt	AT	-3.08101014513117	0.671366835063223	24	24	0.0002276101801699	0.0028451272521238	FL
K14067	Trt	AT	-4.61025340597306	0.99983002699594	24	15	0.0002491328903042	0.0030299946118081	FL
K16177	Trt	AT	-4.24802180265508	0.933457137227412	24	23	0.0002832453393796	0.003354221124233	FL
K16176	Trt	AT	-1.9956022905092	0.452684241390964	24	24	0.0003391235305607	0.0039129638141627	FL
K00925	Trt	AN1	-0.272723047566341	0.0631881690402152	24	24	0.0004160331895447	0.0044574984594075	FL
K04480	Trt	AT	-3.00859639387906	0.695339139959069	24	24	0.0004062322273969	0.0044574984594075	FL
K00401	Trt	AT	-2.90092387569953	0.671757349155781	24	24	0.000413859009341	0.0044574984594075	FL
K08097	Trt	AT	-1.93401233238143	0.456883776515527	24	24	0.0005602219848667	0.0058627882137218	FL
K10978	Trt	AT	-4.06131841503077	0.992172246555207	24	22	0.0006822255917025	0.0069773071878673	FL
K14081	Trt	AT	-1.9866582926844	0.4868622405296	24	24	0.0007019764106944	0.0070197641069447	FL
K00193	Trt	AT	2.04642296191469	0.517831093177885	24	24	0.001029061978731	0.0100669106614993	FL
K14126	Trt	AT	-2.46835885038679	0.634214260229869	24	24	0.0010683043767439	0.0102284461603145	FL
K00024	Trt	AT	0.810651218063163	0.21289045427015	24	24	0.0012886989303603	0.0120815524721285	FL
K01689	Trt	AT	0.321301185958025	0.0837204945346324	24	24	0.0013181701095506	0.0121056438632203	FL
K14084	Trt	AT	-1.2869044581709	0.342765065064484	24	24	0.0014513853672163	0.0130624683049475	FL
K11529	Trt	AT	0.59598833887152	0.161526929252162	24	24	0.0018179835335951	0.0160410311787806	FL
K14128	Trt	AT	-2.34423016795564	0.647547753221231	24	24	0.0019573811432293	0.0169388752779463	FL
K16792	Trt	AT	-4.02125910657989	1.15093303651803	24	24	0.0025915186412228	0.0220034601613261	FL
K00204	Trt	AT	-4.09895710882715	1.18222308980831	24	22	0.0027500433137831	0.02261535206676	FL
K00125	Trt	AT	-0.854226407713949	0.246539761692082	24	24	0.0027640985859373	0.02261535206676	FL
K01499	Trt	AT	-1.11016097925921	0.327314806170439	24	24	0.0032505487689537	0.0261204811790926	FL
K01624	Trt	AN1	-0.196337829828846	0.0579826980975716	24	24	0.0035114929509793	0.0277223127708895	FL
K01624	Trt	AT	0.192249163698783	0.0579826980975716	24	24	0.00408971770737	0.0317305684192507	FL
K00193	Trt	FV1	1.68945142956734	0.517831093177885	24	24	0.0045860526882644	0.0349783679613393	FL
K19793	Trt	AT	1.1047103834675	0.342380132173641	24	24	0.004680870731775	0.0351065304883127	FL
K13942	Trt	AT	-3.90584021118217	1.23007416569204	24	23	0.0052393641999522	0.038651047376697	FL
K03841	Trt	FV2	-0.691604025712789	0.222845724659248	24	24	0.0061320473076996	0.0444889496496724	FL
K16793	Trt	AT	-3.11833262107468	1.00709010959871	24	24	0.0062284529509541	0.0444889496496724	FL
K00583	Trt	AT	-3.08379222084569	1.00473488070602	24	22	0.0066087381195218	0.0464676899028883	FL
K14067	Trt	FV2	-3.0678104891468	0.99983002699594	24	15	0.0069608909026035	0.0481907831718708	FL
K16178	Trt	AT	-1.428656574238	0.484412111134647	24	24	0.0085804265643433	0.05850290839325	FL
K01595	Trt	AT	1.01463287796494	0.343191133866831	24	24	0.0088370780269102	0.0593535091359644	FL
K00925	Trt	FV1	-0.177484919123109	0.0631881690402152	24	24	0.0116147450399938	0.0768622833529004	FL
K08093	Trt	AT	0.91589916586465	0.340975824779361	24	24	0.0150899540620347	0.0970068475416514	FL
K14083	Trt	AT	-1.21960228279662	0.453396070534781	24	24	0.0149683232679086	0.0970068475416514	FL
K00193	Trt	AN1	1.39177775096643	0.517831093177885	24	24	0.0155693084704587	0.0986787156578371	FL
K00925	Trt	AN2	-0.167955404812149	0.0631881690402152	24	24	0.0160150265832345	0.09872276660898	FL
K00018	Trt	AN1	-0.420480469917427	0.157010911791042	24	24	0.0158864047817812	0.09872276660898	FL
K00925	Trt	FV2	-0.167088732620831	0.0631881690402152	24	24	0.0164860849303943	0.100253219171317	FL
K14067	Trt	FV1	-2.56579376923399	0.99983002699594	24	15	0.0200290451083792	0.120174270650275	FL
K08265	Trt	AT	-1.99411264541333	0.787340230116682	24	21	0.0208384676353603	0.123385663630423	FL
K00018	Trt	FV1	-0.385367277007843	0.157010911791042	24	24	0.0251866812035544	0.147194890150643	FL
K12234	Trt	AT	-0.581842749265144	0.24009737262602	24	24	0.0268264938302578	0.154768233636103	FL
K00018	Trt	AT	0.360963730411202	0.157010911791042	24	24	0.0344576760841402	0.195660212423532	FL
K16179	Trt	AT	-1.06928834531148	0.468312170772668	24	24	0.0347840377641834	0.195660212423532	FL
K14067	Trt	AN1	-2.23266501815576	0.99983002699594	24	15	0.0392795527867957	0.215558521390952	FL
K00625	Trt	AT	0.277438826754398	0.124658892374047	24	24	0.0390611793556473	0.215558521390952	FL
K03841	Trt	AN1	0.4927658666229	0.222845724659248	24	24	0.040197052341254	0.217935825946558	FL
K05884	Trt	FV1	-0.390813037226579	0.178677978069649	24	24	0.0429886266690625	0.230296214298549	FL
