feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	sType
C5.Branched.dibasic.acid.metabolism	Trt	AT	0.596515291502952	0.10198857957053	24	24	1.93440820619689e-05	0.0058032246185906	FL
Citrate.cycle..TCA.cycle.	Trt	AT	0.13942102761397	0.0226885408867661	24	24	1.07909606225038e-05	0.0058032246185906	FL
Galactose.metabolism	Trt	AT	0.284719263705942	0.0507006085490711	24	24	3.08748605734716e-05	0.0061749721146943	FL
Folate.biosynthesis	Trt	AT	-0.207050726443447	0.0407388309327277	24	24	9.22572547968529e-05	0.0093491079594753	FL
Nitrogen.metabolism	Trt	FV1	0.0995031089372799	0.019334829971985	24	24	8.07740927542323e-05	0.0093491079594753	FL
Nitrogen.metabolism	Trt	FV2	0.0969309711813339	0.019334829971985	24	24	0.0001065757634411	0.0093491079594753	FL
Pentose.and.glucuronate.interconversions	Trt	AT	0.351113361694151	0.0701916592020156	24	24	0.0001090729261938	0.0093491079594753	FL
Alanine..aspartate.and.glutamate.metabolism	Trt	AT	0.16366961090155	0.0336673946340446	24	24	0.0001465983454826	0.0097157498835226	FL
Glycolysis...Gluconeogenesis	Trt	AT	-0.0989738696012123	0.0205587196930928	24	24	0.0001619291647253	0.0097157498835226	FL
Penicillin.and.cephalosporin.biosynthesis	Trt	AT	0.648163646603425	0.132143115347261	24	24	0.000133734151361	0.0097157498835226	FL
Betalain.biosynthesis	Trt	AT	1.14909761844169	0.244483643825113	24	24	0.0002061621952129	0.0101079867708866	FL
Furfural.degradation	Trt	AT	-1.85902519112109	0.403316106901799	24	24	0.0002177272787567	0.0101079867708866	FL
Valine..leucine.and.isoleucine.biosynthesis	Trt	AT	0.453402758575014	0.0970544464567971	24	24	0.0002190063800358	0.0101079867708866	FL
One.carbon.pool.by.folate	Trt	AT	-0.258510038859676	0.0568874953260338	24	24	0.0002512682201157	0.0107686380049595	FL
Propanoate.metabolism	Trt	AT	0.376409905049483	0.086148801147778	24	24	0.0003697457999775	0.0147898319991029	FL
Caprolactam.degradation	Trt	AT	0.741455552781716	0.175665543072153	24	24	0.0005138782920712	0.017129276402374	FL
Porphyrin.and.chlorophyll.metabolism	Trt	AT	-0.368365259933054	0.0852037669903197	24	24	0.0004612168801847	0.017129276402374	FL
Steroid.degradation	Trt	AT	0.711347642133469	0.165925008204584	24	24	0.000498564594501	0.017129276402374	FL
Limonene.and.pinene.degradation	Trt	AT	0.462582327147826	0.116221360102054	24	24	0.000967889929395	0.0276539979827144	FL
Selenocompound.metabolism	Trt	AT	-0.133349453906761	0.033360802884674	24	24	0.0009328693347396	0.0276539979827144	FL
Starch.and.sucrose.metabolism	Trt	AT	0.34633740926595	0.0872807048099031	24	24	0.0009017023040325	0.0276539979827144	FL
Isoflavonoid.biosynthesis	Trt	AT	0.726298162664991	0.184294496976133	24	24	0.0010537804384885	0.0287394665042341	FL
Fructose.and.mannose.metabolism	Trt	AT	0.125867815006321	0.0334593857489269	24	24	0.001554548746968	0.040553445573079	FL
Methane.metabolism	Trt	AT	-0.482663871807857	0.134273397555592	24	24	0.0020717759429361	0.0517943985734039	FL
Arginine.and.proline.metabolism	Trt	AT	0.153404924995849	0.0432866664133451	24	24	0.0023190135973105	0.0556563263354538	FL
Arabinogalactan.biosynthesis...Mycobacterium	Trt	AT	-0.453881893753502	0.135278969191817	24	24	0.0037549189269704	0.0812611678207516	FL
Nicotinate.and.nicotinamide.metabolism	Trt	AN1	0.0859126169231139	0.025401730237456	24	24	0.0035419286875606	0.0812611678207516	FL
Nitrogen.metabolism	Trt	AN1	0.064783018159379	0.019334829971985	24	24	0.003792187831635	0.0812611678207516	FL
Aminobenzoate.degradation	Trt	AT	0.529206418678898	0.159503949468019	24	24	0.0040703611311209	0.0819860182845526	FL
Ascorbate.and.aldarate.metabolism	Trt	AT	0.378264389154402	0.114122529743382	24	24	0.0040993009142276	0.0819860182845526	FL
Other.types.of.O.glycan.biosynthesis	Trt	AT	0.885748032225743	0.268465582874581	24	24	0.0042365103469955	0.0819969744579779	FL
Pantothenate.and.CoA.biosynthesis	Trt	FV1	0.114724620226594	0.0351108697111431	24	24	0.0045374295071146	0.0850768032583994	FL
Prenyltransferases	Trt	AT	0.735663454714858	0.228831835621729	24	24	0.0050823271404051	0.092405948007366	FL
Tyrosine.metabolism	Trt	AT	0.498908964395859	0.158049585697381	24	24	0.0054580055504211	0.0963177450074313	FL
Peptidoglycan.biosynthesis	Trt	FV2	-0.0952884536668228	0.030298553226417	24	24	0.0059062666653964	0.10125028569251	FL
D.Glutamine.and.D.glutamate.metabolism	Trt	AT	-0.214124912610279	0.071097047361358	24	24	0.0078557431773444	0.121795973710838	FL
Nitrogen.metabolism	Trt	AT	0.0581611291242553	0.019334829971985	24	24	0.0079167382912044	0.121795973710838	FL
Pantothenate.and.CoA.biosynthesis	Trt	AN1	0.106767753513465	0.0351108697111431	24	24	0.0073817785291487	0.121795973710838	FL
Sphingolipid.metabolism	Trt	AT	0.453779413141113	0.150452271894769	24	24	0.0077827562256995	0.121795973710838	FL
Biotin.metabolism	Trt	AT	-0.30072439413972	0.100464915066085	24	24	0.0081700785644798	0.122551178467198	FL
Glycosphingolipid.biosynthesis...lacto.and.neolacto.series	Trt	AT	0.783462990420735	0.263388133433523	24	24	0.0085033609660603	0.122566884837332	FL
Tropane..piperidine.and.pyridine.alkaloid.biosynthesis	Trt	AT	0.513158293565923	0.173993331801577	24	24	0.0085796819386132	0.122566884837332	FL
Peptidoglycan.biosynthesis	Trt	FV1	-0.0886689386087292	0.030298553226417	24	24	0.0094178958835835	0.131412500701166	FL
Arginine.and.proline.metabolism	Trt	FV2	0.124391029422273	0.043286666413345	24	24	0.0101036619966026	0.131786895607859	FL
Biosynthesis.of.type.II.polyketide.products	Trt	AT	-1.11412512946556	0.384123814869506	24	24	0.0099534486273259	0.131786895607859	FL
Phosphonate.and.phosphinate.metabolism	Trt	FV2	0.291221455625886	0.101130366454872	24	24	0.0099736549289249	0.131786895607859	FL
Peptidoglycan.biosynthesis.and.degradation.proteins	Trt	AT	-0.273931185472455	0.0953267562594486	24	24	0.0105352867439719	0.134493022263471	FL
beta.Alanine.metabolism	Trt	FV1	0.465846625683475	0.166330446571709	24	24	0.0122865153067007	0.153581441333759	FL
beta.Alanine.metabolism	Trt	FV2	0.46408905378096	0.166330446571709	24	24	0.0125626961143959	0.153828932013011	FL
Lipopolysaccharide.biosynthesis	Trt	AT	-0.203082814747252	0.0734439536554114	24	24	0.0132407722686761	0.158889267224113	FL
Primary.bile.acid.biosynthesis	Trt	FV1	-0.439693337422485	0.159967608308876	24	24	0.0137070229027493	0.161259092973521	FL
One.carbon.pool.by.folate	Trt	FV2	-0.154620795383508	0.0568874953260337	24	24	0.0141013767663328	0.162708193457686	FL
Biofilm.formation...Pseudomonas.aeruginosa	Trt	AT	0.768700581796013	0.291194419264754	24	24	0.0166429603011534	0.188410871333813	FL
Nicotinate.and.nicotinamide.metabolism	Trt	FV1	0.0666704765525257	0.025401730237456	24	24	0.017750743310666	0.193672252200391	FL
Nitrogen.metabolism	Trt	AN2	0.050745690487857	0.019334829971985	24	24	0.0177532897850359	0.193672252200391	FL
N.Glycan.biosynthesis	Trt	AT	-0.413082004129715	0.159860320384397	24	24	0.0193073199255497	0.206864142059461	FL
Pantothenate.and.CoA.biosynthesis	Trt	FV2	0.0902119365305321	0.0351108697111431	24	24	0.0199008354454877	0.209482478373555	FL
D.Arginine.and.D.ornithine.metabolism	Trt	AT	0.273544701321745	0.108299762530833	24	24	0.0217653884845602	0.225159191219588	FL
