	Domain	Metric	BS	Column	Method	p-omnibus	Group1	Group2	Sample size	Groups	Pseudo-F	Permutations	p-value	q-value
0	Archaea	bray_curtis	FL	Treatment	Omnibus	0.001	-	-	24.0	6.0	5.91945	999.0	-	-
1	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt2	8.0	-	0.8865289328857745	999.0	0.47700000000000004	0.5503846153846154
2	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt3	8.0	-	0.16493347496449454	999.0	0.892	0.892
3	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt4	8.0	-	8.64088905636037	999.0	0.025	0.09
4	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt5	8.0	-	1.1332000799231765	999.0	0.32	0.48
5	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt6	8.0	-	2.28423376620636	999.0	0.115	0.24642857142857144
6	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt3	8.0	-	1.0154031787685942	999.0	0.429	0.53625
7	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt4	8.0	-	9.174949588103539	999.0	0.04	0.1
8	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt5	8.0	-	2.3021086479831143	999.0	0.147	0.275625
9	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt6	8.0	-	4.33283682152617	999.0	0.03	0.09
10	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt3	Trt4	8.0	-	7.93738735743383	999.0	0.028999999999999998	0.09
11	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt3	Trt5	8.0	-	0.3040086753357082	999.0	0.748	0.8014285714285714
12	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt3	Trt6	8.0	-	1.3375657009343638	999.0	0.253	0.4216666666666667
13	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt4	Trt5	8.0	-	8.612993995461023	999.0	0.028999999999999998	0.09
14	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt4	Trt6	8.0	-	7.829757911740461	999.0	0.027000000000000003	0.09
15	Archaea	bray_curtis	FL	Treatment	Pairwise	-	Trt5	Trt6	8.0	-	0.8641584271614624	999.0	0.402	0.53625
16	Archaea	bray_curtis	FR	Treatment	Omnibus	0.041	-	-	22.0	6.0	1.79362	999.0	-	-
17	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt2	8.0	-	0.5701404451460113	999.0	0.536	0.730909090909091
18	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt3	8.0	-	0.24902007449924565	999.0	0.8490000000000001	0.9096428571428572
19	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt4	6.0	-	2.6058468553345957	999.0	0.069	0.25875000000000004
20	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt5	8.0	-	0.18016711510601272	999.0	0.9840000000000001	0.9840000000000001
21	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt6	8.0	-	1.7173808771202186	999.0	0.177	0.331875
22	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt3	8.0	-	0.7930448790051494	999.0	0.479	0.7185
23	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt4	6.0	-	3.899614494696975	999.0	0.054000000000000006	0.25875000000000004
24	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt5	8.0	-	1.3255249731995071	999.0	0.23199999999999998	0.3866666666666667
25	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt6	8.0	-	4.889975179090853	999.0	0.037000000000000005	0.25875000000000004
26	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt3	Trt4	6.0	-	2.5861520436418655	999.0	0.055	0.25875000000000004
27	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt3	Trt5	8.0	-	0.5560480650269589	999.0	0.6679999999999999	0.7707692307692308
28	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt3	Trt6	8.0	-	1.7700607205212204	999.0	0.172	0.331875
29	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt4	Trt5	6.0	-	2.013694374040896	999.0	0.132	0.331875
30	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt4	Trt6	6.0	-	2.1180886328409203	999.0	0.139	0.331875
31	Archaea	bray_curtis	FR	Treatment	Pairwise	-	Trt5	Trt6	8.0	-	0.6302049802083627	999.0	0.631	0.7707692307692308
32	Bacteria	bray_curtis	FL	Treatment	Omnibus	0.023	-	-	24.0	6.0	1.90947	999.0	-	-
33	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt2	8.0	-	0.8633398317969309	999.0	0.555	0.8325000000000001
34	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt3	8.0	-	0.6691294617668467	999.0	0.73	0.971
35	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt4	8.0	-	4.734493423924265	999.0	0.085	0.273
36	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt5	8.0	-	1.1019180734083427	999.0	0.27699999999999997	0.6925
37	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt1	Trt6	8.0	-	0.9119175542760336	999.0	0.5429999999999999	0.8325000000000001
38	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt3	8.0	-	0.3751844216712772	999.0	0.9490000000000001	0.971
39	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt4	8.0	-	3.317423262398842	999.0	0.07400000000000001	0.273
40	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt5	8.0	-	0.20415479208695606	999.0	0.971	0.971
41	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt2	Trt6	8.0	-	0.2954054724937027	999.0	0.943	0.971
42	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt3	Trt4	8.0	-	4.079668384730832	999.0	0.087	0.273
43	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt3	Trt5	8.0	-	0.6743543652140584	999.0	0.55	0.8325000000000001
44	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt3	Trt6	8.0	-	0.7422235431219225	999.0	0.508	0.8325000000000001
45	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt4	Trt5	8.0	-	4.1172937525763365	999.0	0.091	0.273
46	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt4	Trt6	8.0	-	4.090386225489648	999.0	0.077	0.273
47	Bacteria	bray_curtis	FL	Treatment	Pairwise	-	Trt5	Trt6	8.0	-	0.331102779981068	999.0	0.805	0.971
48	Bacteria	bray_curtis	FR	Treatment	Omnibus	0.605	-	-	24.0	6.0	0.867472	999.0	-	-
49	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt2	8.0	-	0.258973639769783	999.0	0.893	0.893
50	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt3	8.0	-	1.3495159949999502	999.0	0.26	0.8625
51	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt4	8.0	-	0.9471172005003652	999.0	0.47	0.8625
52	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt5	8.0	-	0.2083520414081748	999.0	0.792	0.8625
53	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt1	Trt6	8.0	-	0.8471330107921096	999.0	0.569	0.8625
54	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt3	8.0	-	1.3196718201710766	999.0	0.33899999999999997	0.8625
55	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt4	8.0	-	1.130689136035108	999.0	0.331	0.8625
56	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt5	8.0	-	0.3225729577924728	999.0	0.805	0.8625
57	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt2	Trt6	8.0	-	1.0372176197884309	999.0	0.441	0.8625
58	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt3	Trt4	8.0	-	2.2318387917067852	999.0	0.127	0.8625
59	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt3	Trt5	8.0	-	0.7099373083788479	999.0	0.664	0.8625
60	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt3	Trt6	8.0	-	0.37629251158946936	999.0	0.725	0.8625
61	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt4	Trt5	8.0	-	0.9525394382687592	999.0	0.382	0.8625
62	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt4	Trt6	8.0	-	1.9399364888985555	999.0	0.19899999999999998	0.8625
63	Bacteria	bray_curtis	FR	Treatment	Pairwise	-	Trt5	Trt6	8.0	-	0.36388632380513103	999.0	0.794	0.8625
