Feature ID	Taxon
K00001	Metabolism;Xenobiotics biodegradation and metabolism;Glycolysis / Gluconeogenesis;K00001 alcohol dehydrogenase 
K00002	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00002 alcohol dehydrogenase (NADP+) 
K00003	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00003 homoserine dehydrogenase 
K00004	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00004 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase 
K00005	Metabolism;Carbohydrate metabolism;Propanoate metabolism;K00005 glycerol dehydrogenase 
K00006	Metabolism;Lipid metabolism;Glycerophospholipid metabolism;K00006 glycerol-3-phosphate dehydrogenase (NAD+) 
K00008	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00008 L-iditol 2-dehydrogenase 
K00009	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism;K00009 mannitol-1-phosphate 5-dehydrogenase 
K00010	Metabolism;Carbohydrate metabolism;Inositol phosphate metabolism;K00010 myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase 
K00011	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00011 aldehyde reductase 
K00012	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00012 UDPglucose 6-dehydrogenase 
K00013	Metabolism;Amino acid metabolism;Histidine metabolism;K00013 histidinol dehydrogenase 
K00014	Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;K00014 shikimate dehydrogenase 
K00015	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00015 glyoxylate reductase 
K00016	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00016 L-lactate dehydrogenase 
K00018	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00018 glycerate dehydrogenase 
K00019	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00019 3-hydroxybutyrate dehydrogenase 
K00020	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation;K00020 3-hydroxyisobutyrate dehydrogenase 
K00021	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid backbone biosynthesis;K00021 hydroxymethylglutaryl-CoA reductase (NADPH) 
K00022	Metabolism;Amino acid metabolism;Butanoate metabolism;K00022 3-hydroxyacyl-CoA dehydrogenase 
K00023	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00023 acetoacetyl-CoA reductase 
K00024	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00024 malate dehydrogenase 
K00025	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00025 malate dehydrogenase 
K00026	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00026 malate dehydrogenase 
K00027	Metabolism;Carbohydrate metabolism;Pyruvate metabolism;K00027 malate dehydrogenase (oxaloacetate-decarboxylating) 
K00029	Metabolism;Carbohydrate metabolism;Pyruvate metabolism;K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) 
K00030	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00030 isocitrate dehydrogenase (NAD+) 
K00031	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00031 isocitrate dehydrogenase 
K00032	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway;K00032 phosphogluconate 2-dehydrogenase 
K00033	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway;K00033 6-phosphogluconate dehydrogenase 
K00034	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway;K00034 glucose 1-dehydrogenase 
K00035	Metabolism;Carbohydrate metabolism;Galactose metabolism;K00035 D-galactose 1-dehydrogenase 
K00038	Metabolism;Lipid metabolism;Steroid hormone biosynthesis;K00038 3alpha(or 20beta)-hydroxysteroid dehydrogenase 
