	Grp	Genus	Organism	1	2	3	4
	Grp	Genus	Organism	K17100(DAS)[80]	K00863(DAK)[103]	K01624(FBA)[151]	K03841(FBP)[56]
0	E.FunA	Debaryomyces	M dha	DEHA2F00968gDEHA2B00616g	DEHA2A03542gDEHA2B12892g	DEHA2D17798g	DEHA2F01100g
1	E.FunA	Meyerozyma	M pgu	PGUG_01217	PGUG_00228	PGUG_05240	PGUG_03973
2	E.FunA	Yamadazyma	M cten	CANTEDRAFT_1312	CANTEDRAFT_9779CANTEDRAFT_1096	CANTEDRAFT_1162	CANTEDRAFT_1339
3	E.FunA	Ogataea	M opa	HPODL_04602HPODL_02162	HPODL_01039HPODL_04538	HPODL_03669	HPODL_03321
4	E.FunA	Pyricularia	M mgr	MGG_09856	MGG_03095MGG_04014	MGG_00223MGG_03096MGG_13895	MGG_08895
5	E.FunA	Pyricularia	M ppei	PpBr36_04039	PpBr36_04491PpBr36_09502	PpBr36_03877PpBr36_08920PpBr36_09503	PpBr36_00574
6	E.FunA	Phaeoacremonium	M tmn	UCRPA7_3396UCRPA7_4269	UCRPA7_7089UCRPA7_6890	UCRPA7_438UCRPA7_2032UCRPA7_7088	UCRPA7_2721
7	E.FunA	Fusarium	M fgr	FGSG_04065	FGSG_07017FGSG_08042	FGSG_02770FGSG_08044	FGSG_09280
8	E.FunA	Fusarium	M fpu	FPSE_05207	FPSE_02329FPSE_02774	FPSE_02327FPSE_10318	FPSE_09674
9	E.FunA	Fusarium	M fvr	FVEG_09977FVEG_10248	FVEG_08163	FVEG_07455FVEG_08924	FVEG_03829
10	E.FunA	Fusarium	M fox	FOXG_11937FOXG_11576	FOXG_04497	FOXG_11938FOXG_10275FOXG_04499FOXG_04326	FOXG_05961
11	E.FunA	Fusarium	M nhe	NECHADRAFT_8541NECHADRAFT_4981NECHADRAFT_9473NECHADRAFT_8127	NECHADRAFT_9469NECHADRAFT_6362	NECHADRAFT_6995NECHADRAFT_5077NECHADRAFT_8740NECHADRAFT_3714NECHADRAFT_5007	NECHADRAFT_5857
12	E.FunA	Trichoderma	M tre	TRIREDRAFT_2211	TRIREDRAFT_6846TRIREDRAFT_4480	TRIREDRAFT_2320TRIREDRAFT_1227	TRIREDRAFT_6550
13	E.FunA	Trichoderma	M trr	M419DRAFT_13190	M419DRAFT_13067M419DRAFT_26548	M419DRAFT_38860M419DRAFT_10087	M419DRAFT_83821
14	E.FunA	Purpureocillium	M plj	VFPFJ_03124	VFPFJ_09339	VFPFJ_03171	VFPFJ_04079
15	E.FunA	Purpureocillium	M ptkz	JDV02_004704JDV02_005468	JDV02_009403JDV02_002356JDV02_005068	JDV02_005424	JDV02_004450
16	E.FunA	Verticillium	M val	VDBG_01162	VDBG_07610VDBG_07518VDBG_07776	VDBG_09270VDBG_05624	VDBG_08209
17	E.FunA	Verticillium	M vda	VDAG_00766	VDAG_09331VDAG_09239VDAG_09648	VDAG_07560VDAG_07429	VDAG_10101
