	Grp	Genus	Organism	1	2	3	4	5	6
	Grp	Genus	Organism	K09733(mfnB)[40]	K19793(mfnC)[40]	K07144(mfnE)[40]	K18933(mfnA)[40]	K06914(mfnD)[40]	K07072(mfnF)[40]
0	A.Eur	Methanocaldococcus	M mja	MJ_1099	MJ_0684	MJ_0458	MJ_0050	MJ_0815	MJ_0840
1	A.Eur	Methanocaldococcus	M mfe	Mefer_0778	Mefer_0615	Mefer_0695	Mefer_1281	Mefer_1180	Mefer_0932
2	A.Eur	Methanocaldococcus	M mvu	Metvu_1271	Metvu_0344	Metvu_0230	Metvu_1091	Metvu_0080	Metvu_0143
3	A.Eur	Methanocaldococcus	M mfs	MFS40622_1222	MFS40622_1497	MFS40622_1727	MFS40622_0455	MFS40622_1347	MFS40622_1321
4	A.Eur	Methanocaldococcus	M mjh	JH146_0793	JH146_1215	JH146_1372	JH146_0437	JH146_1087	JH146_1062
5	A.Eur	Methanocaldococcus	M mesg	MLAUSG7_0977	MLAUSG7_1004	MLAUSG7_0190	MLAUSG7_1350	MLAUSG7_1214	MLAUSG7_0359
6	A.Eur	Methanocaldococcus	M mesa	MLASG1_0311	MLASG1_0773	MLASG1_1481	MLASG1_0960	MLASG1_0563	MLASG1_1538
7	A.Eur	Methanotorris	M mig	Metig_1002	Metig_0137	Metig_0917	Metig_1285	Metig_1750	Metig_1150
8	A.Eur	Methanosarcina	M mba	Mbar_A1101	Mbar_A1546	Mbar_A3438	Mbar_A0977	Mbar_A3436	Mbar_A3437
9	A.Eur	Methanosarcina	M mby	MSBRM_3356	MSBRM_2902	MSBRM_1197	MSBRM_3518	MSBRM_1199	MSBRM_1198
10	A.Eur	Methanosarcina	M mbw	MSBRW_3621	MSBRW_3183	MSBRW_1295	MSBRW_3745	MSBRW_1297	MSBRW_1296
11	A.Eur	Methanosarcina	M mbar	MSBR2_3309	MSBR2_2861	MSBR2_1213	MSBR2_3469	MSBR2_1211	MSBR2_1212
