Bin ID	Method	Tax	Tax 16S	Length	GC perc	Num contigs	Disparity	Completeness	Contamination	Strain het	Coverage 100	TPM 100	Coverage 102	TPM 102	Coverage 104	TPM 104	Coverage 106	TPM 106	Coverage 108	TPM 108	Coverage 110	TPM 110	Coverage 11	TPM 11	Coverage 123	TPM 123	Coverage 124	TPM 124	Coverage 125	TPM 125	Coverage 126	TPM 126	Coverage 127	TPM 127	Coverage 128	TPM 128	Coverage 129	TPM 129	Coverage 130	TPM 130	Coverage 131	TPM 131	Coverage 132	TPM 132	Coverage 133	TPM 133	Coverage 134	TPM 134	Coverage 13	TPM 13	Coverage 15	TPM 15	Coverage 17	TPM 17	Coverage 19	TPM 19	Coverage 1	TPM 1	Coverage 21	TPM 21	Coverage 23	TPM 23	Coverage 25	TPM 25	Coverage 27	TPM 27	Coverage 29	TPM 29	Coverage 31	TPM 31	Coverage 44	TPM 44	Coverage 45	TPM 45	Coverage 46	TPM 46	Coverage 47	TPM 47	Coverage 48	TPM 48	Coverage 49	TPM 49	Coverage 4	TPM 4	Coverage 50	TPM 50	Coverage 51	TPM 51	Coverage 52	TPM 52	Coverage 53	TPM 53	Coverage 54	TPM 54	Coverage 55	TPM 55	Coverage 80	TPM 80	Coverage 83	TPM 83	Coverage 88	TPM 88	Coverage 90	TPM 90	Coverage 92	TPM 92	Coverage 94	TPM 94	Coverage 96	TPM 96	Coverage 98	TPM 98	Coverage 9	TPM 9
MAG_000	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella		3512670	52.09	289	0.553	83.79	4.01	5.0	1.481	411.868	1.489	369.239	1.211	382.828	0.98	257.022	1.606	465.355	1.233	379.542	25.203	6097.541	1.586	484.443	0.943	291.69	0.905	301.338	1.091	346.286	1.03	307.134	0.987	313.568	2.849	958.078	1.739	551.197	1.09	352.401	0.984	345.832	1.124	379.973	1.023	317.423	37.038	11616.324	36.095	9221.448	40.808	11356.838	44.498	10844.164	2.596	3107.944	31.932	7924.434	32.601	7256.265	35.925	10268.74	37.878	9817.752	36.939	9793.771	31.453	9764.988	10.732	3206.919	3.888	1230.109	7.424	2356.918	9.306	2661.946	7.522	2284.697	8.273	2434.045	4.168	4570.128	9.364	3779.01	10.36	3699.782	7.031	1899.524	12.082	3486.139	4.34	1377.388	5.741	1770.719	2.721	2994.066	4.035	4782.068	1.018	235.616	1.257	359.18	0.677	214.986	1.568	374.681	1.168	390.144	1.166	373.99	33.896	10487.645
MAG_001	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes		2065825	45.73	859	0.118	76.03	3.29	50.0	0.145	40.464	0.164	40.724	0.828	261.967	0.747	195.693	0.707	204.863	0.469	144.317	0.382	92.447	0.385	117.777	0.452	139.913	0.579	192.944	0.447	141.761	0.415	123.724	0.641	203.837	0.364	122.467	0.517	163.92	1.266	409.467	0.511	179.428	2.902	981.204	0.604	187.388	0.703	220.466	0.52	132.931	0.359	100.034	0.507	123.619	1.123	1344.646	0.157	38.857	0.237	52.777	0.422	120.598	0.671	173.912	0.351	93.069	0.474	147.037	1.375	411.047	1.337	423.146	2.426	770.554	1.986	568.375	1.276	387.639	1.197	352.337	0.491	538.366	0.396	159.899	0.386	137.88	2.93	791.917	2.984	861.262	1.391	441.583	2.927	902.938	1.376	1514.566	0.527	625.128	0.134	30.879	0.21	59.999	0.425	134.91	0.212	50.643	0.303	101.149	0.362	116.222	0.287	88.913
MAG_002	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;n_unclassified Erysipelotrichaceae;s_Erysipelotrichaceae bacterium		1646652	41.69	175	0.077	80.56	1.7	20.0	0.24	66.719	0.429	106.502	0.431	136.248	0.542	142.204	0.428	124.075	0.198	61.069	1.277	309.172	5.903	1804.447	9.286	2871.921	13.861	4619.219	1.467	465.809	50.607	15086.812	0.577	183.358	3.502	1177.934	0.869	275.713	3.96	1280.657	1.002	352.217	7.137	2413.679	2.638	818.519	0.492	154.378	0.274	69.922	0.23	63.924	0.47	114.557	1.535	1838.905	0.305	75.691	0.251	55.908	0.211	60.498	0.456	118.183	0.354	93.919	0.529	164.431	2.079	621.505	8.958	2836.08	5.074	1611.379	1.674	479.036	7.474	2271.235	3.078	905.907	0.346	379.024	2.414	974.253	1.828	653.073	8.404	2271.184	3.582	1033.877	1.447	459.394	4.208	1298.427	1.499	1649.55	0.379	449.164	0.341	79.032	0.469	134.145	0.344	109.169	0.164	39.162	1.097	366.528	0.192	61.661	0.907	280.749
MAG_003	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_Sodaliphilus;s_Sodaliphilus pleomorphus	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Tenericutes;class:Mollicutes;order:Anaeroplasmatales;family:Anaeroplasmataceae;genus:Asteroleplasma	2245157	55.24	131	0.499	71.33	1.25	0.0	13.845	3849.31	13.713	3399.31	22.239	7029.298	9.54	2500.063	12.223	3540.825	14.407	4432.176	95.548	23110.618	1.424	435.086	1.461	451.897	2.011	670.067	1.914	607.709	1.667	496.681	1.943	617.076	18.578	6245.974	3.282	1040.652	2.272	734.51	1.771	622.206	2.351	794.662	2.156	668.777	71.944	22559.535	92.72	23682.298	60.525	16839.928	84.991	20708.064	2.137	2559.231	56.714	14070.463	106.6	23719.423	70.422	20125.187	126.571	32800.869	88.146	23364.155	76.896	23871.01	1.892	565.412	3.395	1074.101	1.821	578.049	2.563	733.111	2.17	659.041	2.312	680.186	2.273	2492.082	31.652	12771.25	31.253	11158.656	2.391	645.735	4.421	1275.439	2.295	728.512	3.028	933.875	2.161	2377.434	2.19	2595.089	6.104	1411.307	20.39	5826.713	4.839	1534.303	13.731	3279.195	19.987	6675.783	27.8	8918.096	46.959	14525.536
MAG_004	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;n_unclassified Bacteroidales;s_Bacteroidales bacterium		1620788	63.04	205	0.0	80.71	1.32	20.0	0.412	114.486	0.877	217.203	0.687	217.225	0.45	117.933	0.606	175.403	0.523	160.983	1.195	289.134	5.639	1722.296	8.573	2649.257	4.893	1629.517	6.438	2042.366	5.138	1530.565	6.07	1927.746	9.241	3106.123	14.08	4462.328	5.136	1660.002	4.676	1641.867	6.927	2341.057	6.446	1998.689	0.733	229.753	0.798	203.878	1.328	369.541	0.938	228.612	9.88	11822.968	0.925	229.347	0.864	192.18	0.742	212.039	0.942	243.962	0.804	213.162	0.854	264.883	2.867	856.229	9.631	3045.989	1.629	516.747	1.836	524.886	8.123	2466.633	2.22	652.874	4.114	4508.49	8.851	3570.017	6.98	2491.645	2.551	688.665	1.939	559.347	3.583	1136.732	1.861	573.855	13.135	14445.74	5.172	6126.143	0.443	102.521	0.904	258.258	0.252	79.966	0.834	199.043	0.577	192.552	0.837	268.422	0.622	192.388
MAG_005	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae		3865918	45.14	298	0.244	97.04	0.59	33.33	130.773	36371.164	75.806	18797.622	57.905	18309.448	25.055	6567.594	34.115	9886.103	87.521	26936.673	6.546	1584.263	1.793	547.914	2.935	907.388	1.549	516.263	2.476	785.799	1.987	592.298	2.438	774.484	19.42	6532.91	2.198	697.011	2.368	765.829	1.691	594.212	1.849	625.202	2.985	925.945	5.445	1707.893	9.19	2348.88	8.555	2381.885	5.905	1439.524	3.761	4503.411	23.118	5738.274	77.335	17215.489	6.226	1780.301	9.612	2492.405	6.687	1773.589	7.566	2349.297	1.787	534.036	1.941	614.126	1.427	453.193	1.638	468.724	2.165	657.597	2.035	598.718	4.853	5322.275	10.033	4050.016	10.546	3767.135	2.179	588.854	1.596	460.455	2.589	821.666	1.554	479.46	3.479	3828.719	4.258	5046.298	21.33	4934.273	68.643	19623.699	34.958	11088.428	37.206	8888.523	96.842	32357.668	76.382	24513.349	5.197	1608.267
MAG_006	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Limosilactobacillus		1563562	50.86	351	0.02	88.69	2.33	66.67	5.155	1433.923	10.425	2584.926	0.73	230.857	2.053	537.982	1.78	516.526	0.642	197.737	38.004	9194.006	0.15	45.775	0.151	46.82	0.167	55.807	0.225	71.424	0.169	50.263	0.123	38.912	0.403	135.632	0.302	95.828	0.179	57.968	0.11	38.498	0.138	46.613	0.206	63.95	0.566	177.632	12.651	3231.958	0.818	227.721	43.56	10614.631	0.072	85.744	6.432	1596.48	266.768	59366.522	0.558	159.665	37.459	9709.654	0.743	197.339	23.849	7403.231	0.173	51.738	4.596	1453.995	0.134	42.617	1.402	401.132	0.156	47.519	7.421	2183.632	0.039	42.989	0.854	344.697	75.704	27029.997	0.115	31.151	7.976	2300.984	0.081	25.612	3.981	1227.818	0.077	84.488	0.053	62.331	12.863	2978.964	1.252	358.021	2.662	848.392	2.02	482.672	0.42	140.317	1.329	426.587	0.832	257.427
MAG_007	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;n_unclassified Prevotella;s_Prevotella sp.	superkingdom:Bacteria;clade:FCB group;clade:Bacteroidetes/Chlorobi group;phylum:Bacteroidetes	2848844	41.91	572	0.167	93.26	1.63	7.32	261.416	72715.697	253.396	62841.633	308.011	97396.579	95.393	25007.672	190.969	55340.798	250.874	77216.494	33.988	8225.08	12.035	3677.632	12.314	3807.264	10.665	3553.488	11.631	3691.458	10.803	3219.463	15.76	5007.317	86.081	28956.526	14.485	4593.69	21.462	6940.472	12.284	4316.454	13.115	4434.6	15.118	4690.561	61.288	19223.523	57.057	14579.744	72.105	20071.227	52.632	12828.827	3.714	4447.127	73.455	18232.88	177.492	39512.672	38.555	11020.81	68.966	17878.111	54.093	14344.565	37.776	11729.687	20.572	6148.835	5.993	1895.909	10.837	3441.008	8.967	2565.29	11.364	3452.668	7.728	2274.243	6.083	6671.102	55.397	22363.798	71.455	25523.762	21.314	5759.062	15.955	4604.444	11.336	3598.177	8.386	2586.787	3.252	3578.086	4.563	5408.911	93.097	21538.391	216.98	62036.43	106.481	33777.551	104.034	24854.703	307.087	102614.644	186.826	59962.781	37.574	11626.109
MAG_008	DAS	k_Bacteria;p_Elusimicrobia;c_Elusimicrobia;o_Elusimicrobiales;f_Elusimicrobiaceae	superkingdom:Bacteria;phylum:Elusimicrobia;class:Elusimicrobia;order:Elusimicrobiales;family:Elusimicrobiaceae;genus:Elusimicrobium	1452057	37.74	186	0.369	88.56	7.76	0.0	2.138	594.604	0.972	240.936	0.942	297.657	1.143	299.508	1.249	361.956	0.872	268.203	1.01	244.365	4.938	1508.482	5.078	1569.66	0.93	309.759	1.032	327.631	1.312	390.854	2.191	696.143	0.577	193.899	0.828	262.424	1.695	548.122	1.741	611.608	1.407	475.573	7.723	2395.808	5.75	1804.319	0.769	196.456	1.01	281.253	0.795	193.635	0.556	666.023	0.75	186.001	0.891	198.289	6.698	1915.165	0.666	172.729	3.015	799.448	0.634	196.789	70.592	21098.549	0.587	185.836	585.422	185909.844	3.42	978.438	16.902	5135.146	0.648	190.546	0.865	948.151	0.748	301.695	0.633	225.943	645.668	174462.277	0.862	248.555	33.782	10724.274	0.818	252.201	0.709	779.582	0.821	973.075	1.596	369.017	1.16	331.521	0.97	307.669	0.974	232.795	0.687	229.337	0.934	299.745	5.099	1577.756
MAG_009	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Clostridia		1200593	45.42	432	0.035	85.42	4.09	33.33	0.097	26.902	0.141	34.851	0.152	48.016	0.12	31.554	0.149	43.066	0.15	46.17	0.152	36.755	0.557	170.129	0.489	151.09	0.619	206.256	0.638	202.394	0.622	185.392	0.547	173.944	0.468	157.416	0.616	195.392	0.614	198.495	0.627	220.452	0.668	225.686	0.621	192.564	0.144	45.056	0.149	37.978	0.141	39.193	0.185	45.182	0.555	664.037	0.104	25.706	0.14	31.259	0.107	30.671	0.164	42.427	0.153	40.572	0.165	51.366	7.204	2152.448	0.909	287.44	1.421	451.088	1.278	365.569	0.526	159.932	0.454	133.803	0.544	596.721	0.376	151.562	0.399	142.437	1.131	305.58	2.889	833.616	0.635	201.396	2.442	753.306	0.674	742.536	1.218	1444.32	0.119	27.617	0.153	43.665	0.082	26.021	0.132	31.644	0.15	49.959	0.175	56.127	0.191	59.201
